State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.187691,0.29182,0.30488,0.266418,,,,,0.015947,0.007982,0.003375,0.013899,0.785338,0.565285,0.650401,0.680907,1
Alaska,0.011737,0.031568,0.031579,0.022579,0.031107,0.0973217,0.0428571,0.0696871,0.034308,0.051072,0.101754,0.060212,0.317801,0.383489,0.42807,0.649745,
Arizona,0.023726,0.03792,0.028416,0.043196,0.1265423,0.3609392,0.3081419,0.31766,0.035364,0.017502,0.014309,0.032547,0.763724,0.454135,0.528953,0.541516,
Arkansas,,,,,,,,,,,,,,,,,
California,0.032902,0.04072,0.062326,0.053472,0.1856639,0.5525963,0.4620739,0.395196,0.13866,0.06826,0.115839,0.147274,0.359577,0.200445,0.315811,0.363519,
Colorado,0.02521,0.03808,0.034427,0.037613,0.0583567,0.3597212,0.2136996,0.217745,0.020892,0.019104,0.020335,0.032126,0.86648,0.542267,0.684267,0.677886,
Connecticut,0.041386,0.108054,0.120331,0.100307,0.0598737,0.2284877,0.1021878,0.168901,0.024866,0.016345,0.011073,0.045914,0.65516,0.467181,0.715848,0.656815,
Delaware,0.101804,0.23568,0.226056,0.218089,0.0283415,0.1734227,0.0535211,0.096865,0.027893,0.022013,0.007746,0.039227,0.723694,0.506869,0.702113,0.614374,
District of Columbia,0.258157,0.489057,0.761523,0.450487,0.0759172,0.2211589,0.1192385,0.112045,,,,,0.32548,0.260044,0.10521,0.366592,
Florida,0.068865,0.144439,0.156285,0.157947,0.1721553,0.3679819,0.2367405,0.2660026,,,,,0.795372,0.401874,0.560657,0.747495,
Georgia,0.193537,0.319644,0.340651,0.313372,0.0249942,0.1268181,0.0554812,0.098293,0.043516,0.026289,0.019408,0.041038,0.688238,0.471941,0.578303,0.520158,
Hawaii,,,,,,,,,,,,,,,,,
Idaho,,,,,,,,,,,,,,,,,
Illinois,0.084976,0.127374,0.183102,0.135892,0.0909314,0.2534865,0.1635813,0.176136,0.054706,0.030901,0.036974,0.056258,0.739389,0.538165,0.60802,0.608517,
