State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.245,NR,0.295,0.266,0.051,NR,0.018,0.044,0.02,NR,0,0.01,0.68,NR,0.68,0.680907,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,0.023,NR,NA,0.023,0.055,NR,0.044,0.07,0.07,NR,0.1,0.06,0.57,NR,0.4,0.649745,
Arizona,0.028,0.04,0.033,0.043,0.163,0.408,0.308,0.318,0.04,0.02,0.02,0.03,0.54,0.45,0.52,0.541516,
Arkansas,0.126,0.195,0.149,0.153,0.062,0.131,0.039,0.078,0.02,0.01,0.01,0.02,0.79,0.64,0.78,0.770207,
California,0.04,0.039,0.063,0.053,0.288,0.63,0.477,0.395,0.18,0.06,0.13,0.15,0.38,0.17,0.32,0.363519,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,0.033,0.033,0.047,0.038,0.111,0.413,0.247,0.218,0.03,0.02,0.03,0.03,0.78,0.5,0.65,0.677886,
Connecticut,0.067,NR,0.128,0.1,0.129,NR,0.106,0.169,0.05,NR,0.02,0.05,0.68,NR,0.75,0.656815,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,0.156,NR,0.22,0.223,0.082,NR,0.043,0.097,0.05,NR,0.01,0.04,0.68,NR,0.72,0.677756,
District of Columbia,0.412,0.559,0.705,0.463,0.131,0.196,0.141,0.112,0.06,0.02,0.02,0.04,0.53,0.19,0.13,0.413906,
Florida,0.081,0.149,0.17,0.15,0.283,0.417,0.253,0.266,NR,NR,NR,NR,0.6,0.37,0.56,0.529687,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,0.254,NR,0.345,0.318,0.077,NR,0.055,0.098,0.07,NR,0.02,0.04,0.57,NR,0.58,0.579853,
Hawaii,0.01,0.015,NA,0.013,,,,,0.53,0.48,0.5,0.4,0.26,0.12,0.08,0.225478,
Idaho,0.007,0.005,NA,0.007,0.1,0.181,0.101,0.129,0.02,0.01,0.01,0.01,0.83,0.76,0.86,0.893515,
Illinois,0.099,0.136,0.176,0.136,0.134,0.296,0.163,0.176,0.07,0.03,0.04,0.06,0.65,0.5,0.62,0.608517,
Indiana,0.069,0.068,0.103,0.094,0.058,0.099,0.039,0.072,0.03,0.02,0.01,0.02,0.84,0.8,0.85,0.830228,
Iowa,0.019,0.044,0.028,0.04,0.04,0.095,0.03,0.063,0.02,0.02,0.01,0.02,0.93,0.84,0.92,0.90223,
Kansas,0.041,0.053,0.06,0.056,0.107,0.174,0.083,0.122,0.03,0.02,0.02,0.03,0.79,0.73,0.82,0.839256,
