State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.25,NR,0.296,0.266,0.055,NR,0.018,0.044,0.03,NR,0,0.014,0.66,NR,0.679,0.681,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,0.023,NR,NA,0.023,0.057,NR,0.046,0.07,0.07,NR,0.1,0.06,0.56,NR,0.4,0.65,
Arizona,0.029,0.04,0.033,0.043,0.176,0.406,0.308,0.318,0.04,0.02,0.02,0.033,0.53,0.45,0.52,0.542,
Arkansas,0.13,0.196,0.15,0.153,0.065,0.13,0.04,0.078,0.02,0.01,0.01,0.016,0.78,0.64,0.78,0.77,
California,0.042,0.04,0.063,0.053,0.302,0.629,0.476,0.395,0.18,0.06,0.12,0.147,0.38,0.17,0.32,0.364,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,0.034,0.034,0.046,0.038,0.115,0.406,0.249,0.218,0.03,0.02,0.03,0.032,0.78,0.5,0.65,0.678,
Connecticut,0.07,NR,0.129,0.1,0.137,NR,0.109,0.169,0.05,NR,0.02,0.046,0.67,NR,0.74,0.657,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,0.16,NR,0.218,0.223,0.089,NR,0.043,0.097,0.05,NR,0.01,0.04,0.66,NR,0.73,0.678,
District of Columbia,0.429,0.561,0.707,0.463,0.141,0.195,0.139,0.112,0.06,0.02,0.02,0.038,0.51,0.19,0.13,0.414,
Florida,0.083,0.15,0.171,0.15,0.304,0.416,0.254,0.266,NR,NR,NR,NR,0.58,0.37,0.56,0.53,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,0.258,NR,0.347,0.318,0.082,NR,0.055,0.098,0.07,NR,0.02,0.041,0.56,NR,0.58,0.58,
Hawaii,0.01,0.015,NA,0.013,NR,NR,NR,NR,0.53,0.48,0.48,0.4,0.26,0.12,0.09,0.225,
Idaho,0.007,0.005,NA,0.007,0.105,0.18,0.1,0.129,0.02,0.01,0.01,0.013,0.83,0.76,0.86,0.894,
Illinois,0.102,0.136,0.178,0.136,0.142,0.294,0.163,0.176,0.07,0.03,0.04,0.056,0.64,0.5,0.62,0.609,
Indiana,0.071,0.07,0.105,0.094,0.062,0.099,0.04,0.072,0.04,0.02,0.01,0.025,0.83,0.8,0.84,0.83,
Iowa,0.02,0.044,0.028,0.04,0.042,0.095,0.03,0.063,0.02,0.02,0.01,0.024,0.93,0.84,0.92,0.902,
Kansas,0.043,0.053,0.059,0.056,0.109,0.174,0.083,0.122,0.03,0.02,0.02,0.029,0.79,0.73,0.82,0.839,
Kentucky,0.066,0.05,0.087,0.081,NR,NR,NR,NR,0.02,0.01,0.01,0.016,0.82,0.88,0.89,0.869,
Louisiana,0.3,NR,0.389,0.321,0.071,NR,0.027,0.052,0.03,NR,0.01,0.017,0.59,NR,0.57,0.622,
Maine,0.015,0.046,0.012,0.014,0.019,0.017,NA,0.017,0.02,0.01,NA,0.011,0.86,0.92,0.96,0.932,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,0.26,NR,0.366,0.302,0.097,NR,0.088,0.106,0.08,NR,0.04,0.064,0.56,NR,0.5,0.546,
Massachusetts,0.062,0.076,0.078,0.07,0.102,0.277,0.082,0.124,0.08,0.04,0.03,0.067,0.75,0.49,0.79,0.705,
Michigan,0.097,0.106,0.228,0.134,0.045,0.076,0.038,0.053,0.04,0.02,0.01,0.032,0.75,0.74,0.71,0.749,
Minnesota,0.051,0.079,0.052,0.064,0.045,0.102,0.029,0.056,0.06,0.04,0.04,0.049,0.83,0.73,0.86,0.791,
