Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Alabama,Yes,0.6,0.25,0.06,0.02,<0.01,<0.01,0.13,0.91,0.09,0.72,0.28,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.6,0.03,0.06,0.08,0.22,0.01,0.05,0.84,0.16,0.8,0.2,
Arizona,,0.5,0.03,0.22,0.04,0.05,NR,0.15,0.88,0.12,0.88,0.12,
Arkansas,Yes,0.75,0.14,0.07,0.02,<0.01,<0.01,0.08,0.94,0.06,NR,NR,
California,,0.35,0.05,0.33,0.17,<0.01,0,0.1,0.96,0.04,0.96,0.04,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.74,0.04,1,0.03,0.01,<0.01,0.04,0.89,0.11,NR,NR,
Connecticut,,0.65,0.08,0.16,0.05,<0.01,NR,0.06,0.97,0.03,0.97,0.03,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.7,0.2,0.11,0.06,NR,NR,0.04,0.97,0.03,0.81,0.19,
District of Columbia,Yes,0.48,0.46,0.14,0.06,NR,NR,NR,0.88,0.12,0.92,0.08,
Florida,,0.7,0.14,0.29,NR,NR,NR,0.16,0.86,0.14,0.86,0.14,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.52,0.28,0.09,0.06,<0.01,NR,0.14,0.97,0.03,0.93,0.07,
Hawaii,Yes,0.19,0.01,NR,0.4,NR,0.22,0.18,0.91,0.09,NR,NR,
Idaho,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Illinois,,0.6,0.12,0.17,0.07,<0.01,<0.01,0.04,0.97,0.03,0.97,0.03,
Indiana,Yes,0.66,0.07,0.08,0.03,NR,NR,0.24,0.97,0.03,0.93,0.07,
Iowa,Yes,NR,NR,NR,NR,NR,<0.01,NR,NR,NR,NR,NR,
Kansas,Yes,0.72,0.04,0.12,0.03,<0.01,<0.01,0.2,0.92,0.08,0.89,0.11,
