State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.213252,0.292121,0.288,0.266418,,,,,0.018043,0.00802,0.005,0.013899,0.756148,0.565777,0.686,0.680907,"1,6"
Alaska,0.013958,0.031508,NA,0.022579,0.0427651,0.0974042,0.037,0.0696871,0.045862,0.051435,0.108,0.060212,0.36341,0.384656,0.374,0.649745,
Arizona,0.022079,0.037996,0.032,0.043196,0.148286,0.3604861,0.31,0.31766,0.03518,0.017573,0.021,0.032547,0.579964,0.454705,0.513,0.541516,
Arkansas,0.112409,0.178974,0.144,0.153123,0.0998057,0.1056961,0.039,0.0775951,0.012998,0.010254,0.008,0.015645,0.837835,0.730781,0.789,0.770207,
California,0.034562,0.040834,0.062,0.053472,0.2235023,0.5537625,0.473,0.395196,0.135945,0.068459,0.126,0.147274,0.345622,0.200585,0.321,0.363519,
Colorado,0.027414,0.037879,0.045,0.037613,0.0922534,0.3573657,0.246,0.217745,0.025481,0.019202,0.032,0.032126,0.825617,0.54454,0.652,0.677886,
Connecticut,0.059633,0.107394,0.126,0.100307,0.073993,0.2269252,0.1,0.168901,0.029164,0.016499,0.014,0.045914,0.753497,0.467092,0.754,0.656815,
Delaware,0.112008,0.23516,0.209,0.222567,0.0409156,0.1728724,0.043,0.0968649,0.031355,0.021912,0.01,0.039584,0.744911,0.508315,0.734,0.677756,
District of Columbia,0.360312,0.490584,0.69,0.463252,0.0774746,0.2191209,0.15,0.1120453,,,,,0.408212,0.260523,0.135,0.413906,
Florida,0.074975,0.143941,0.168,0.157947,0.1933997,0.3681683,0.252,0.2660026,,,,,0.801961,0.402043,0.561,0.747495,
Georgia,0.227454,0.319624,0.338,0.317576,0.033256,0.1264188,0.057,0.098293,0.048809,0.026461,0.02,0.041356,0.646482,0.472196,0.583,0.579853,7
Hawaii,0.008416,0.029994,NA,0.013185,,,,,0.567667,0.313803,0.507,0.399855,0.286768,0.18855,0.086,0.225478,
Idaho,0.003955,0.008557,NA,0.006645,0.0635949,0.189963,0.104,0.1288393,0.014094,0.010348,0.011,0.013211,0.829784,0.848202,0.856,0.893515,
Illinois,0.090213,0.126988,0.171,0.135892,0.1056218,0.2523292,0.164,0.176136,0.057712,0.031057,0.037,0.056258,0.723015,0.53953,0.621,0.608517,
Indiana,0.057161,0.076877,0.098,0.093833,0.0307364,0.0986738,0.038,0.0723306,0.019672,0.015536,0.009,0.024507,0.891992,0.781834,0.851,0.830228,
Iowa,0.013264,0.047618,0.027,0.039938,0.0201683,0.096773,0.029,0.0626245,0.01256,0.015874,0.011,0.02356,0.950933,0.936494,0.922,0.90223,
Kansas,0.029521,0.058759,0.058,0.056329,0.0803658,0.1767612,0.082,0.1216081,0.01972,0.022655,0.014,0.029006,0.779731,0.860069,0.82,0.839256,
Kentucky,0.049208,0.080379,0.088,0.081118,,,,,0.012362,0.011003,0.005,0.016404,0.85576,0.856414,0.888,0.868845,
