Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.64,0.59,1.09,-5.2,0.67,0.96,2.82,0.87,0.73,23.12,
Alabama,Yes,0.49,0.52,0.95,2.73,0.59,0.82,10.47,0.83,0.59,34.23,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.56,0.92,0.6,36.77,0.5,1.12,-5.76,0.81,0.69,25.21,
Arizona,,0.62,0.53,1.16,-8.4,0.47,1.32,-15.04,0.82,0.75,20.59,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.76,0.68,1.13,-8.64,0.65,1.17,-11.3,0.89,0.85,13.14,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.79,0.75,1.06,-4.52,0.42,1.87,-36.68,0.74,1.07,-5.29,
Connecticut,,0.81,0.68,1.19,-13.03,0.78,1.04,-2.77,0.9,0.9,9.01,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.75,0.67,1.12,-8.02,0.72,1.05,-3.39,>.99,0.76,23.64,
District of Columbia,Yes,0.82,0.7,1.18,-12.38,0.95,0.86,12.89,>.99,0.83,16.78,
Florida,,0.63,0.45,1.4,-18,0.73,0.87,9.84,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.56,0.55,1.02,-1.21,0.57,0.98,1.23,0.95,0.59,39.51,
Hawaii,Yes,0.71,0.64,1.11,-7.12,NR,NR,NR,0.85,0.84,13.34,
Idaho,Yes,0.46,0.48,0.96,2,0.44,1.05,-2,0.63,0.73,17,
Illinois,,0.7,0.63,1.1,-6.55,0.68,1.03,-1.82,0.91,0.77,21.03,
Indiana,Yes,0.49,0.46,1.07,-3.38,0.65,0.75,16.1,0.72,0.68,23.15,
Iowa,Yes,0.54,0.51,1.06,-3,0.46,1.17,-8,0.79,0.68,25,
Kansas,Yes,0.52,0.47,1.11,-4.99,0.58,0.89,6.09,0.65,0.8,13.17,
Kentucky,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Louisiana,Yes,0.57,0.64,0.89,6.91,0.69,0.82,12.49,>.99,0.57,42.29,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.8,0.78,1.04,-2.79,0.86,0.94,5.1,>.99,0.81,18.6,
Massachusetts,,0.88,0.85,1.03,-2.55,0.82,1.07,-5.4,>.99,0.89,11.25,
Michigan,,0.55,0.45,1.23,-10.1,0.6,0.91,5.15,0.67,0.82,12.13,
Minnesota,,0.67,0.64,1.05,-3.1,0.62,1.09,-5.3,0.82,0.82,15.2,
Mississippi,Yes,0.54,0.61,0.89,6.82,0.6,0.9,6,>.99,0.55,44.99,
Missouri,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data."
Nevada,,0.48,0.42,1.13,-5.65,0.6,0.8,11.83,0.64,0.75,16.4,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.7,0.64,1.1,-6.63,0.8,0.88,9.43,0.95,0.74,24.91,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.78,0.62,1.25,-15.4,0.55,1.42,-23,>.99,0.78,21.4,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.71,0.71,1,-0.1,0.84,0.84,13.53,>.99,0.72,28.14,
North Carolina,Yes,0.59,0.58,1.01,-0.6,0.62,0.96,2.75,0.92,0.64,33.35,
North Dakota,Yes,0.57,0.41,1.39,-15.94,0.48,1.18,-8.88,0.55,1.04,-2.19,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.61,0.55,1.11,-5.92,0.65,0.93,4.52,0.96,0.63,35.54,
Oklahoma,Yes,0.49,0.48,1.02,-1.05,0.5,0.98,0.83,0.9,0.55,40.43,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.85,0.82,1.04,-3.6,0.68,1.25,-17.1,0.93,0.92,7.3,
Pennsylvania,Yes,0.64,0.63,1.03,-1.64,0.71,0.91,6.3,0.79,0.82,14.33,"10. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.77,0.71,1.08,-5.77,NR,NR,NR,0.9,0.85,13.35,
South Carolina,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
South Dakota,,0.63,0.39,1.61,-23.84,0.07,9.4,-56.41,0.14,4.37,-48.69,
Tennessee,Yes,0.49,0.46,1.06,-2.66,0.67,0.73,18.01,0.63,0.78,13.98,
Texas,,0.55,0.49,1.12,-5.98,0.68,0.8,13.57,0.77,0.71,22.16,
Utah,,0.7,0.86,0.81,16.3,0.63,1.11,-6.88,0.98,0.71,28.53,
Vermont,Yes,0.86,0.76,1.13,-9.73,>.99,0.87,12.81,0.94,0.92,7.8,
Virginia,,0.68,0.68,1,-0.18,0.82,0.83,14.16,>.99,0.69,30.84,
Washington,,0.65,0.74,0.87,9.58,0.66,0.98,1.13,0.93,0.7,27.99,
West Virginia,Yes,0.61,0.73,0.83,12.43,NR,NR,NR,NR,NR,NR,11. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.63,0.55,1.15,-8.05,0.61,1.03,-1.7,0.79,0.79,16.24,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
