Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Alabama,Yes,0.61,0.24,0.06,0.02,<0.01,<0.01,0.12,0.91,0.09,0.71,0.29,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.61,0.02,0.06,0.08,0.22,0.01,0.05,0.84,0.16,0.79,0.21,
Arizona,,0.51,0.03,0.21,0.04,0.05,NR,0.16,0.9,0.1,0.9,0.1,
Arkansas,Yes,0.76,0.14,0.07,0.02,<0.01,<0.01,0.08,0.94,0.06,NR,NR,
California,,0.35,0.04,0.32,0.17,<0.01,0.01,0.11,0.95,0.05,0.95,0.05,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.75,0.04,0.13,0.03,0.01,<0.01,0.04,0.89,0.11,0.89,0.11,
Connecticut,,0.65,0.08,0.15,0.05,<0.01,NR,0.06,0.96,0.04,0.96,0.04,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.69,0.19,0.11,0.05,NR,NR,0.07,0.97,0.03,0.75,0.25,
District of Columbia,Yes,0.5,0.44,0.14,0.06,NR,NR,NR,0.84,0.16,0.91,0.09,
Florida,,0.7,0.14,0.28,NR,NR,NR,0.17,0.86,0.14,0.86,0.14,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.52,0.27,0.09,0.06,<0.01,NR,0.14,0.96,0.04,0.92,0.08,
Hawaii,Yes,0.19,0.01,NR,0.41,NR,0.21,0.17,0.81,0.19,NR,NR,
Idaho,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Illinois,,0.61,0.12,0.16,0.07,<0.01,<0.01,0.04,0.97,0.03,0.97,0.03,
Indiana,Yes,0.68,0.07,0.07,0.03,NR,NR,0.23,0.97,0.03,0.93,0.07,
Iowa,Yes,0.9,0.04,0.05,0.04,0.01,<0.01,0.02,0.92,0.08,0.91,0.09,
Kansas,Yes,0.73,0.04,0.12,0.03,<0.01,<0.01,0.2,0.92,0.08,0.88,0.12,
Kentucky,Yes,0.81,0.07,NR,0.02,<0.01,<0.01,0.1,0.94,0.06,NR,NR,
Louisiana,Yes,0.58,0.32,0.07,0.03,<0.01,<0.01,0.06,0.86,0.14,0.94,0.06,
Maine,,0.77,0.02,0.02,0.02,0.01,<0.01,0.16,0.96,0.04,0.96,0.04,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.54,0.28,0.11,0.08,0.01,<0.01,0.09,0.96,0.04,0.96,0.04,
Massachusetts,,0.73,0.07,0.11,0.08,<0.01,<0.01,0.02,NR,NR,NR,NR,
Michigan,,0.74,0.1,0.05,0.04,0.01,NR,0.06,0.89,0.11,0.89,0.11,
Minnesota,,0.81,0.06,0.05,0.06,0.01,NR,0.01,0.93,0.07,0.93,0.07,
Mississippi,Yes,0.56,0.39,0.03,0.02,<0.01,<0.01,0.03,NR,NR,NR,NR,
Missouri,Yes,0.86,0.11,0.05,0.03,<0.01,<0.01,NR,NR,NR,NR,NR,"5. The state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data"
Nevada,,0.37,0.06,0.27,0.09,0.01,NR,0.2,NR,NR,NR,NR,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.88,0.01,0.03,0.03,<0.01,<0.01,0.04,0.91,0.09,0.91,0.09,
New Jersey,,0.5,0.09,0.18,0.11,NR,NR,0.11,0.91,0.09,0.91,0.09,
New Mexico,,0.42,0.02,0.39,0.02,0.11,NR,0.04,0.9,0.1,0.9,0.1,
New York,Yes,0.68,0.16,0.22,0.15,NR,NR,0.02,NR,NR,NR,NR,
North Carolina,Yes,0.67,0.2,0.1,0.05,0.01,NR,0.08,0.93,0.07,0.85,0.15,
North Dakota,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,Yes,0.79,0.1,0.04,0.03,<0.01,<0.01,0.07,0.97,0.03,0.87,0.13,
Oklahoma,Yes,0.76,0.07,0.13,0.04,0.07,NR,0.05,0.81,0.19,0.72,0.28,8. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.75,0.03,0.1,0.06,0.03,0.01,0.01,0.95,0.05,0.95,0.05,
Pennsylvania,Yes,0.75,0.07,0.07,0.02,<0.01,<0.01,0.16,0.91,0.09,0.78,0.22,"9. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.74,0.05,0.16,0.04,<0.01,<0.01,NR,NR,NR,NR,NR,
South Carolina,,0.59,0.22,0.06,NR,NR,NR,0.13,0.93,0.07,0.93,0.07,"10. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
