Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.52,0.43,1.21,-9.12,0.48,1.09,-4.18,0.68,0.77,15.8,
Alabama,Yes,0.41,0.41,1,-0.14,0.39,1.05,-1.81,0.69,0.59,28.76,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.42,0.53,0.78,11.48,0.34,1.21,-7.19,0.59,0.7,17.87,
Arizona,,0.48,0.36,1.33,-12.01,0.29,1.69,-19.73,0.62,0.78,13.75,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.64,0.52,1.24,-12.31,0.5,1.27,-13.68,0.73,0.87,9.62,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.66,0.56,1.18,-10.23,0.35,1.89,-31.1,0.61,1.08,-4.78,
Connecticut,,0.68,0.51,1.32,-16.55,0.58,1.16,-9.58,0.73,0.93,5.2,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.55,0.43,1.25,-11.09,0.51,1.08,-3.94,0.65,0.84,10.2,
District of Columbia,Yes,0.51,0.4,1.27,-10.65,0.57,0.89,5.98,0.68,0.75,16.96,
Florida,,0.56,0.33,1.68,-22.53,0.51,1.09,-4.47,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.46,0.41,1.12,-4.8,0.41,1.13,-5.43,0.77,0.6,31.01,
Hawaii,Yes,0.49,0.32,1.52,-16.61,NR,NR,NR,0.55,0.89,6.2,
Idaho,Yes,0.33,0.41,0.82,7.2,0.28,1.22,-5.95,0.53,0.63,19.78,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.49,0.4,1.23,-9.19,0.44,1.11,-4.74,0.7,0.7,21.37,
Iowa,Yes,0.51,0.28,1.82,-22.87,0.36,1.41,-14.84,0.52,0.98,1.08,
