State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.24,0.283,0.291,0.266,NR,NR,NR,NR,0.02,0,0,0.013899,0.71,0.61,0.683,0.680907,1
Alaska,0.017,NR,NA,0.023,0.049,NR,0.041,0.07,0.05,NR,0.11,0.060212,0.39,NR,0.38,0.649745,
Arizona,0.025,0.039,0.032,0.043,0.141,0.402,0.309,0.318,0.04,0.016115152,0.02,0.032547,0.56,0.45,0.51,0.541516,
Arkansas,0.119,0.194,0.147,0.153,0.195,0.137,0.039,0.078,0.02,0.007969584,0.01,0.015645,0.82,0.64,0.79,0.770207,
California,0.034,NR,0.062,0.053,0.249,NR,0.476,0.395,0.15,NR,0.13,0.147274,0.33,NR,0.32,0.363519,
Colorado,0.029,0.034,0.045,0.038,0.097,0.422,0.246,0.218,0.03,0.018394632,0.03,0.032126,0.81,0.49,0.65,0.677886,
Connecticut,0.061,NR,0.126,0.1,0.092,NR,0.103,0.169,0.04,NR,0.01,0.045914,0.74,NR,0.75,0.656815,
Delaware,0.135,NR,0.216,0.223,0.057,NR,0.041,0.097,0.04,NR,0.01,0.039584,0.72,NR,0.73,0.677756,
District of Columbia,0.367,0.543,0.692,0.463,0.103,0.212,0.149,0.112,NR,NR,NR,NR,0.47,0.19,0.13,0.413906,
Florida,0.079,0.153,0.169,0.158,0.223,0.412,0.252,0.266,NR,NR,NR,NR,0.79,0.37,0.56,0.747495,
Georgia,0.24,NR,0.341,0.318,0.06,NR,0.056,0.098,0.07,NR,0.02,0.041356,0.6,NR,0.58,0.579853,
Hawaii,0.01,0.014,NA,0.013,NR,NR,NR,NR,0.54,0.489264298,0.51,0.399855,0.29,0.12,0.08,0.225478,
Idaho,0.005,0.005,NA,0.007,0.079,0.156,0.105,0.129,0.02,0.005983988,0.01,0.013211,0.83,0.76,0.85,0.893515,
Illinois,0.093,0.126,0.171,0.136,0.116,0.305,0.164,0.176,0.06,0.030689433,0.04,0.056258,0.69,0.5,0.62,0.608517,
Indiana,0.061,0.067,0.098,0.094,0.043,0.091,0.039,0.072,0.03,0.013849562,0.01,0.024507,0.87,0.77,0.85,0.830228,
Iowa,0.015,0.041,0.027,0.04,0.027,0.095,0.029,0.063,0.02,0.016995164,0.01,0.02356,0.94,0.84,0.92,0.90223,
Kansas,0.037,0.051,0.059,0.056,0.095,0.175,0.082,0.122,0.03,0.017522356,0.02,0.029006,0.8,0.73,0.82,0.839256,
Kentucky,0.054,0.041,0.088,0.081,NR,NR,NR,NR,0.01,0.003704899,0.01,0.016404,0.85,0.9,0.89,0.868845,
Louisiana,0.283,NR,0.389,0.321,NR,NR,NR,NR,0.03,NR,0.01,0.017151,0.61,NR,0.57,0.622472,
Maine,0.009,0.055,0.013,0.014,0.015,0.016,NA,0.017,0.01,0.009747183,NA,0.011138,0.86,0.91,0.97,0.931784,2
Maryland,0.234,NR,0.353,0.302,0.063,NR,0.089,0.106,0.08,NR,0.04,0.063907,0.62,NR,0.52,0.545958,
Massachusetts,0.053,0.077,0.076,0.07,0.071,0.277,0.08,0.124,0.06,0.035807216,0.03,0.067365,0.79,0.5,0.8,0.704733,
Michigan,0.084,0.095,0.231,0.134,0.028,0.079,0.035,0.053,0.03,0.0163144,0.01,0.03235,0.78,0.75,0.71,0.749195,
Minnesota,0.038,0.084,0.049,0.064,0.028,0.086,0.029,0.056,0.04,0.044742382,0.04,0.049414,0.88,0.74,0.86,0.790904,
Mississippi,0.335,0.549,0.408,0.378,0.022,0.04,0.009,0.03,0.02,0.000742554,0.01,0.010101,0.58,0.4,0.56,0.583318,
Missouri,0.076,0.25,0.121,0.113,0.045,0.132,0.022,0.043,0.03,0.015317635,0.01,0.020722,0.84,0.54,0.84,0.820775,
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,0.033,0.03,0.036,0.049,0.073,0.219,0.075,0.113,0.03,0.01462888,0.01,0.02427,0.88,0.73,0.87,0.863287,6
Nevada,0.056,0.076,0.096,0.092,0.196,0.488,0.257,0.293,0.12,0.067300066,0.11,0.084979,0.48,0.32,0.51,0.478193,
New Hampshire,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,0.064,0.114,0.162,0.124,0.11,0.151,0.204,0.21,0.1,0.048540724,0.06,0.096146,0.62,0.48,0.57,0.544699,
New Mexico,0.016,0.012,0.012,0.017,0.401,0.576,0.39,0.495,0.03,0.004551012,0.01,0.016121,0.45,0.15,0.28,0.367383,
New York,0.106,NR,0.2,0.157,0.144,NR,0.214,0.193,0.14,NR,0.07,0.086539,0.74,NR,0.49,0.634198,
North Carolina,0.171,0.193,0.265,0.213,0.064,0.211,0.057,0.097,0.04,0.014265651,0.01,0.029242,0.73,0.54,0.65,0.682953,
