Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.62,0.57,1.09,-5.06,0.64,0.97,1.95,0.84,0.73,22.56,
Alabama,Yes,0.49,0.51,0.96,2.06,0.58,0.85,8.89,0.82,0.6,32.98,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.55,0.61,0.9,5.89,0.49,1.12,-5.71,0.8,0.69,24.97,
Arizona,,0.6,0.51,1.18,-9.33,0.44,1.37,-16.09,0.79,0.76,19.22,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.74,0.65,1.13,-8.75,0.64,1.16,-10.13,0.88,0.84,13.62,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.79,0.71,1.12,-8.27,0.42,1.87,-36.8,0.74,1.07,-5.25,
Connecticut,,0.8,0.65,1.22,-14.16,0.75,1.06,-4.82,0.87,0.92,7.25,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.74,0.64,1.15,-9.51,0.68,1.08,-5.67,>.99,0.73,27.91,
District of Columbia,Yes,0.69,0.56,1.23,-12.74,0.77,0.89,8.61,0.99,0.7,30.17,
Florida,,0.62,0.44,1.42,-18.27,0.7,0.89,7.94,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections"
Georgia,Yes,0.55,0.53,1.03,-1.71,0.55,0.99,0.34,0.92,0.59,37.87,
Hawaii,Yes,0.63,0.57,1.11,-6.29,NR,NR,NR,0.77,0.82,13.64,
Idaho,Yes,0.44,0.45,0.98,1,0.42,1.05,-2,0.61,0.72,17,
Illinois,,0.71,0.64,1.12,-7.39,0.7,1.02,-1.05,0.92,0.77,21.14,
Indiana,Yes,0.47,0.42,1.12,-5.25,0.61,0.77,13.83,0.69,0.69,21.14,
Iowa,Yes,0.61,0.55,1.12,-6.3,0.5,1.22,-10.96,0.99,0.62,37.89,
Kansas,Yes,0.51,0.46,1.12,-5.34,0.56,0.91,5.09,0.63,0.8,12.62,
Kentucky,Yes,0.58,0.55,1.06,-3.35,NR,NR,NR,0.8,0.72,22.35,
Louisiana,Yes,0.56,0.62,0.9,6.14,0.67,0.84,10.93,0.99,0.56,43.78,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.79,0.75,1.06,-4.19,0.84,0.94,5.08,0.97,0.81,18.47,
Massachusetts,,0.86,0.82,1.05,-3.72,0.79,1.08,-6.42,>.99,0.86,14.47,
Michigan,,0.55,0.44,1.25,-10.92,0.58,0.94,3.44,0.67,0.82,12.09,
Minnesota,,0.66,0.64,1.03,-1.82,0.63,1.04,-2.69,0.83,0.79,17.33,
Mississippi,Yes,0.53,0.59,0.9,6.13,0.58,0.92,4.72,0.98,0.54,44.5,
Missouri,Yes,0.53,0.51,1.04,-2.13,0.76,0.69,23.55,0.76,0.69,23.4,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data."
Nevada,,0.47,0.41,1.15,-6.25,0.59,0.81,11.42,0.63,0.75,15.98,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.63,0.53,1.19,-10.03,0.61,1.03,-2.06,0.84,0.76,20.41,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.85,0.74,1.14,-10.4,0.66,1.27,-18.2,>.99,0.85,14.4,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.69,0.68,1.02,-1.11,0.82,0.84,12.75,>.99,0.62,41.84,
North Carolina,Yes,0.58,0.57,1.02,-1.08,0.6,0.97,2.02,0.9,0.64,32.37,
