Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.35,0.22,1.57,-12.68,0.22,1.61,-13.29,0.39,0.9,3.71,
Alabama,Yes,0.24,0.21,1.16,-3.23,NR,NR,NR,0.37,0.65,12.71,1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.
Alaska,Yes,0.2,0.25,0.81,4.78,0.2,1.01,-0.22,0.3,0.69,9.36,
Arizona,,0.34,0.19,1.81,-15.19,0.14,2.35,-19.49,0.39,0.87,5.2,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.37,0.26,1.42,-10.85,0.25,1.44,-11.24,0.4,0.91,3.46,
Colorado,,0.44,0.28,1.57,-15.92,0.16,2.68,-27.39,0.37,1.18,-6.64,
Connecticut,,0.54,0.29,1.85,-24.84,0.26,2.06,-27.86,0.42,1.27,-11.66,
Delaware,Yes,0.38,0.22,1.74,-16.38,0.19,2,-19.16,0.37,1.03,-1.05,
District of Columbia,Yes,0.28,0.2,1.42,-8.31,0.19,1.46,-8.93,NR,NR,NR,
Florida,Yes,0.34,0.16,2.13,-18.24,0.21,1.61,-13.05,NR,NR,NR,
Georgia,Yes,0.32,0.23,1.37,-8.69,0.17,1.89,-15.05,0.51,0.62,19.38,
Hawaii,Yes,0.38,0.22,1.7,-15.41,NR,NR,NR,0.39,0.95,1.88,
Idaho,Yes,0.22,0.18,1.21,-3.79,0.12,1.78,-9.57,0.32,0.69,9.91,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.36,0.22,1.62,-13.61,0.2,1.81,-15.93,0.4,0.89,4.61,
Iowa,Yes,0.37,0.13,2.78,-23.56,0.15,2.52,-22.22,0.29,1.29,-8.2,
Kansas,Yes,0.32,0.22,1.47,-10.12,0.24,1.32,-7.73,0.35,0.92,2.95,
Kentucky,Yes,0.32,0.22,1.46,-10.19,NR,NR,NR,0.3,1.07,-2.16,
Louisiana,Yes,0.3,0.27,1.12,-3.15,NR,NR,NR,0.48,0.63,18.1,
