State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.249,NR,0.283,0.266,0.058,NR,0.019,0.044,0.022,NR,0.004,0.014,0.631,NR,0.691,0.681,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,0.025,NR,0.02,0.023,0.059,NR,0.039,0.07,0.073,NR,0.098,0.06,0.556,NR,0.451,0.65,
Arizona,0.031,0.043,0.034,0.043,0.193,0.4,0.305,0.318,0.041,0.02,0.02,0.034,0.514,0.454,0.522,0.542,
Arkansas,0.135,0.196,0.144,0.153,0.071,0.12,0.039,0.078,0.019,0.01,0.007,0.016,0.763,0.654,0.793,0.77,
California,0.044,0.045,0.066,0.053,0.313,0.607,0.466,0.395,0.167,0.06,0.12,0.147,0.358,0.188,0.327,0.364,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,0.036,0.034,0.045,0.038,0.13,0.398,0.249,0.218,0.033,0.02,0.03,0.032,0.754,0.508,0.651,0.678,
Connecticut,0.078,NR,0.129,0.1,0.147,NR,0.11,0.169,0.049,NR,0.015,0.046,0.651,NR,0.741,0.657,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,0.167,NR,0.214,0.223,0.101,NR,0.043,0.097,0.043,NR,0.012,0.04,0.609,NR,0.727,0.678,
District of Columbia,0.451,0.563,0.708,0.463,0.137,0.187,0.133,0.112,0.062,0.02,0.023,0.038,0.487,0.191,0.132,0.414,
Florida,0.095,0.155,0.173,0.15,0.327,0.409,0.231,0.266,NR,NR,NR,NR,0.529,0.371,0.576,0.53,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. "
Georgia,0.268,NR,0.332,0.318,0.088,NR,0.052,0.098,0.062,NR,0.018,0.041,0.535,NR,0.595,0.58,
Hawaii,0.01,0.016,NA,0.013,NR,NR,NR,NR,0.536,0.44,0.433,0.4,0.258,0.13,0.088,0.225,
Idaho,0.007,0.005,0.004,0.007,0.115,0.175,0.098,0.129,0.019,0.01,0.011,0.013,0.817,0.762,0.863,0.894,
