Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.28,0.17,1.63,-10.86,0.16,1.8,-12.52,0.27,1.03,-0.76,
Alabama,Yes,0.19,0.16,1.21,-3.34,NR,NR,NR,0.26,0.73,7.03,1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.
Alaska,Yes,0.17,0.2,0.86,2.68,0.16,1.05,-0.73,0.24,0.71,6.78,
Arizona,,0.29,0.14,2.01,-14.62,0.11,2.71,-18.38,0.3,0.96,1.1,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.28,0.19,1.44,-8.44,0.17,1.63,-10.66,0.27,1.01,-0.26,
Colorado,,0.35,0.21,1.63,-13.36,0.12,2.84,-22.43,0.25,1.4,-9.83,
Connecticut,,0.37,0.2,1.91,-17.81,0.16,2.37,-21.62,0.23,1.61,-14.11,
Delaware,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
District of Columbia,Yes,0.21,0.17,1.28,-4.73,0.13,1.72,-8.98,NR,NR,NR,
Florida,Yes,0.27,0.12,2.21,-14.91,0.15,1.83,-12.32,NR,NR,NR,
Georgia,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"2. As of 3/29, the state has removed reporting of vaccine data by race/ethnicity."
Hawaii,Yes,0.3,0.15,2,-15.16,NR,NR,NR,0.34,0.89,3.65,
Idaho,Yes,0.18,0.12,1.45,-5.48,0.09,2.07,-9.16,0.22,0.8,4.49,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.29,0.17,1.71,-12.14,0.13,2.33,-16.74,0.24,1.2,-4.9,
Iowa,Yes,0.3,0.1,3.08,-20.38,0.1,3.15,-20.59,0.18,1.71,-12.57,
Kansas,Yes,0.25,0.15,1.66,-10.12,0.17,1.48,-8.2,0.22,1.15,-3.41,
Kentucky,Yes,0.26,0.16,1.61,-9.88,NR,NR,NR,0.21,1.27,-5.55,
Louisiana,Yes,0.27,0.23,1.16,-3.64,NR,NR,NR,0.39,0.7,11.66,
Maine,,0.3,0.17,1.71,-12.38,0.19,1.59,-10.98,0.23,1.3,-6.87,3. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Maryland,Yes,0.37,0.24,1.51,-12.4,0.16,2.29,-20.64,0.35,1.04,-1.43,
Massachusetts,,0.36,0.24,1.46,-11.23,0.15,2.3,-20.13,0.23,1.52,-12.16,
Michigan,,0.22,0.13,1.74,-9.33,0.09,2.53,-13.23,0.35,0.62,13.63,
Minnesota,,0.3,0.16,1.96,-14.89,0.12,2.52,-18.35,0.2,1.51,-10.26,
Mississippi,Yes,0.26,0.22,1.18,-4,0.15,1.75,-11.26,0.44,0.6,17.36,
Missouri,Yes,0.23,0.14,1.65,-9.18,0.22,1.07,-1.43,0.24,0.98,0.56,
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.12,0.08,1.41,-3.36,0.09,1.33,-2.89,0.15,0.77,3.45,
Nevada,,0.29,0.16,1.81,-13.18,0.15,1.93,-14.12,0.33,0.88,4.07,
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.43,0.26,1.63,-16.6,0.32,1.34,-10.8,0.41,1.05,-2.2,4. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.32,0.17,1.85,-14.86,0.18,1.79,-14.27,0.37,0.87,5.03,
North Carolina,Yes,0.3,0.22,1.38,-8.39,0.15,2.09,-15.88,0.35,0.88,4.09,
North Dakota,Yes,0.44,0.18,2.48,-26.1,0.22,1.98,-21.6,0.29,1.51,-14.7,5. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.32,0.18,1.78,-14.11,0.17,1.91,-15.36,0.34,0.94,2,
Oklahoma,Yes,0.23,0.15,1.56,-8.38,0.12,1.88,-10.84,0.32,0.71,9.28,3. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.29,0.26,1.11,-2.82,0.13,2.3,-16.37,0.27,1.09,-2.42,
Pennsylvania,Yes,0.27,0.09,3,-17.75,0.08,3.14,-18.16,0.02,14.86,-24.85,6. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.34,0.18,1.91,-15.99,0.16,2.1,-17.63,0.18,1.92,-16.07,
South Carolina,Yes,0.25,0.17,1.45,-7.7,0.12,2.13,-13.2,NR,NR,NR,
South Dakota,,0.34,0.1,3.5,-24.05,0.02,21.75,-32.14,0.05,6.5,-28.51,
Tennessee,Yes,0.25,0.18,1.41,-7.38,0.15,1.63,-9.77,0.28,0.9,2.72,
Texas,,0.28,0.17,1.69,-11.41,0.18,1.6,-10.54,0.37,0.76,8.73,
Utah,,0.29,0.13,2.3,-16.62,0.14,2.08,-15.25,0.22,1.34,-7.39,
Vermont,Yes,0.34,0.15,2.34,-19.65,NR,NR,NR,0.24,1.44,-10.51,
Virginia,,0.21,0.15,1.44,-6.43,0.17,1.26,-4.33,0.13,1.6,-7.85,
Washington,,0.27,0.19,1.39,-7.6,0.15,1.83,-12.32,0.3,0.89,3.38,
West Virginia,Yes,0.29,0.22,1.31,-6.73,NR,NR,NR,NR,NR,NR,3. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.33,0.16,2.08,-17.15,0.16,2.04,-16.83,0.24,1.38,-9.01,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
