State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.208987,0.292121,0.305483,0.266418,,,,,0.017636,0.00802,0.003298,0.013899,0.761084,0.565777,0.649993,0.680907,1
Alaska,0.012768,0.031508,0.030201,0.022579,0.0358166,0.0974042,0.0443686,0.0696871,0.040127,0.051435,0.097315,0.060212,0.338041,0.384656,0.426174,0.649745,
Arizona,0.025927,0.037996,0.028433,0.043196,0.1335522,0.3604861,0.3075711,0.31766,0.036372,0.017573,0.014446,0.032547,0.757154,0.454705,0.529647,0.541516,
Arkansas,,,,,,,,,,,,,,,,,
California,0.032931,0.040834,0.06218,0.053472,0.2052689,0.5537625,0.4632998,0.395196,0.135016,0.068459,0.11591,0.147274,0.351262,0.200585,0.314904,0.363519,
Colorado,0.027519,0.037879,0.033811,0.037613,0.0612174,0.3573657,0.2131351,0.217745,0.022505,0.019202,0.020358,0.032126,0.858675,0.54454,0.6849,0.677886,
Connecticut,0.054138,0.107394,0.119557,0.100307,0.0634427,0.2269252,0.1031935,0.168901,0.027621,0.016499,0.010953,0.045914,0.754334,0.467092,0.714305,0.656815,
Delaware,0.10729,0.23516,0.223657,0.218089,0.0352264,0.1728724,0.0543848,0.096865,0.028931,0.021912,0.007478,0.039227,0.745463,0.508315,0.704283,0.614374,
District of Columbia,0.307896,0.490584,0.76459,0.463252,0.0849071,0.2191209,0.1177052,0.1120453,,,,,0.370602,0.260523,0.103858,0.413906,
Florida,0.07258,0.143941,0.155829,0.157947,0.1901881,0.3681683,0.2372085,0.2660026,,,,,0.799956,0.402043,0.560751,0.747495,
Georgia,0.217826,0.319624,0.341457,0.317576,0.0293618,0.1264188,0.0550779,0.098293,0.047062,0.026461,0.019264,0.041356,0.657289,0.472196,0.577865,0.579853,
Hawaii,,,,,,,,,,,,,,,,,
Idaho,0.003536,0.008557,0.004831,0.006645,0.0514646,0.189963,0.0995717,0.1288393,0.0114,0.010348,0.009125,0.013211,0.819561,0.848202,0.94525,0.893515,
Illinois,0.086833,0.126988,0.182815,0.135892,0.0968755,0.2523292,0.1640251,0.176136,0.053658,0.031057,0.036732,0.056258,0.735305,0.53953,0.608154,0.608517,
Indiana,0.052905,0.076877,0.080284,0.093833,0.024838,0.0986738,0.0387433,0.0723306,0.017635,0.015536,0.005985,0.024507,0.899378,0.781834,0.777702,0.830228,2
Iowa,0.012017,0.047618,0.024673,0.039938,0.017006,0.096773,0.0248291,0.0626245,0.01025,0.015874,0.011232,0.02356,0.953346,0.936494,0.948997,0.90223,
Kansas,0.026181,0.058759,0.054613,0.056329,0.0740894,0.1767612,0.0755177,0.1216081,0.013866,0.022655,0.014873,0.029006,0.771546,0.860069,0.864746,0.839256,
