Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.43,0.29,1.48,-14.06,0.32,1.34,-10.88,0.54,0.79,11.13,
Alabama,Yes,0.29,0.27,1.1,-2.76,0.21,1.41,-8.58,0.52,0.56,23.01,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.24,0.3,0.78,6.61,0.27,0.88,3.1,0.35,0.68,11.34,
Arizona,,0.4,0.25,1.61,-15.12,0.19,2.05,-20.34,0.5,0.8,9.81,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.54,0.37,1.44,-16.35,0.35,1.54,-18.74,0.61,0.88,7.18,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.53,0.38,1.41,-15.39,0.22,2.38,-30.88,0.5,1.07,-3.71,
Connecticut,,0.58,0.36,1.63,-22.42,0.39,1.49,-19.1,0.6,0.98,1.43,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.47,0.32,1.5,-15.73,0.33,1.45,-14.66,0.54,0.87,7.17,
District of Columbia,Yes,0.38,0.26,1.47,-12.3,0.34,1.12,-4.03,0.45,0.85,6.85,
Florida,Yes,0.42,0.22,1.95,-20.57,0.32,1.34,-10.62,NR,NR,NR,
Georgia,Yes,0.36,0.28,1.28,-8.08,0.24,1.5,-12.21,0.62,0.59,25.35,
Hawaii,Yes,0.36,0.15,2.4,-21,NR,NR,NR,0.46,0.78,10,
Idaho,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,3. Data not reported due to unresolved data issues.
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.42,0.29,1.44,-12.75,0.3,1.4,-11.88,0.56,0.74,14.44,
Iowa,Yes,0.43,0.19,2.33,-24.76,0.23,1.86,-20.04,0.41,1.06,-2.34,
