Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.4,0.27,1.51,-13.64,0.29,1.4,-11.51,0.5,0.8,9.97,
Alabama,Yes,0.28,0.25,1.13,-3.2,0.18,1.54,-9.9,0.49,0.57,21.15,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.24,0.3,0.79,6.39,0.28,0.87,3.7,0.35,0.68,11.12,
Arizona,,0.38,0.23,1.67,-15.18,0.18,2.14,-20.1,0.46,0.82,8.4,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.51,0.35,1.48,-16.57,0.32,1.62,-19.52,0.57,0.89,6.12,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.5,0.34,1.46,-15.58,0.2,2.46,-29.5,0.46,1.09,-4.18,
Connecticut,,0.56,0.33,1.7,-22.87,0.35,1.6,-20.94,0.55,1.01,-0.81,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.44,0.28,1.56,-15.89,0.28,1.57,-16.04,0.49,0.9,5.06,
District of Columbia,Yes,0.35,0.24,1.47,-11,0.28,1.22,-6.18,NR,NR,NR,
Florida,Yes,0.39,0.2,2.02,-19.84,0.28,1.42,-11.65,NR,NR,NR,
Georgia,Yes,0.35,0.27,1.31,-8.33,0.22,1.6,-13.06,0.58,0.6,23.36,
Hawaii,Yes,0.34,0.12,2.83,-22,NR,NR,NR,0.43,0.79,9,
Idaho,Yes,0.24,0.22,1.09,-1.99,0.15,1.57,-8.78,0.37,0.66,12.72,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.4,0.26,1.5,-13.21,0.26,1.53,-13.7,0.5,0.8,10.13,
Iowa,Yes,0.41,0.17,2.46,-24.23,0.2,2.05,-20.9,0.37,1.1,-3.86,
Kansas,Yes,0.34,0.25,1.39,-9.52,0.27,1.24,-6.64,0.4,0.86,5.71,
Kentucky,Yes,0.35,0.26,1.35,-8.98,NR,NR,NR,0.38,0.93,2.78,
Louisiana,Yes,0.33,0.3,1.09,-2.6,0.27,1.22,-5.95,0.55,0.59,22.24,
Maine,,0.43,0.37,1.14,-5.17,0.39,1.09,-3.4,0.58,0.74,14.9,
Maryland,Yes,0.52,0.38,1.36,-13.66,0.34,1.51,-17.62,0.6,0.87,7.54,
Massachusetts,,0.58,0.41,1.43,-17.4,0.35,1.67,-23.26,0.59,0.99,0.63,
Michigan,,0.33,0.21,1.55,-11.7,0.2,1.64,-12.85,0.37,0.88,4.46,
Minnesota,,0.47,0.28,1.66,-18.66,0.28,1.68,-19.04,0.47,0.99,0.29,
