Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Alabama,Yes,0.67,0.25,0.05,0.03,<0.01,<0.01,0.06,0.87,0.13,0.58,0.42,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.57,0.02,0.06,0.07,0.21,0.01,0.12,0.91,0.09,0.77,0.23,
Arizona,,0.53,0.03,0.17,0.04,0.03,NR,0.2,0.89,0.11,0.89,0.11,
Arkansas,Yes,0.79,0.13,0.06,0.02,<0.01,<0.01,0.06,0.93,0.07,NR,NR,
California,,0.38,0.04,0.29,0.18,<0.01,0.01,0.1,0.95,0.05,0.95,0.05,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.78,0.03,0.11,0.03,0.01,<0.01,0.03,0.88,0.12,0.88,0.12,
Connecticut,,0.68,0.07,0.13,0.05,<0.01,<0.01,0.07,0.95,0.05,0.95,0.05,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.67,0.16,0.09,0.05,NR,NR,0.13,0.96,0.04,0.86,0.14,
District of Columbia,Yes,0.52,0.43,0.14,0.06,NR,NR,NR,0.72,0.28,0.74,0.26,
Florida,,0.58,0.08,0.3,NR,NR,NR,0.1,0.86,0.14,0.68,0.32,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.56,0.26,0.08,0.07,<0.01,NR,0.11,0.95,0.05,0.88,0.12,
Hawaii,Yes,0.26,0.01,NR,0.53,NR,0.17,0.03,0.82,0.18,NR,NR,
Idaho,Yes,0.83,<0.01,0.1,0.02,0.01,<0.01,0.13,0.78,0.22,0.67,0.33,
Illinois,,0.64,0.1,0.14,0.07,<0.01,<0.01,0.04,0.95,0.05,0.95,0.05,
Indiana,Yes,0.84,0.07,0.06,0.04,NR,NR,0.06,0.95,0.05,0.93,0.07,
Iowa,Yes,0.93,0.02,0.04,0.02,<0.01,<0.01,0.03,0.87,0.13,0.83,0.17,
Kansas,Yes,0.79,0.04,0.11,0.03,<0.01,<0.01,0.13,0.89,0.11,0.84,0.16,
Kentucky,Yes,0.82,0.06,NR,0.02,<0.01,<0.01,0.09,0.93,0.07,NR,NR,
Louisiana,Yes,0.59,0.3,0.07,0.03,<0.01,<0.01,0.08,0.86,0.14,0.95,0.05,
Maine,,0.86,0.01,0.02,0.02,0.01,<0.01,0.1,0.93,0.07,0.77,0.23,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections; 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.57,0.26,0.09,0.08,0.01,<0.01,0.08,0.94,0.06,0.94,0.06,
Massachusetts,,0.74,0.06,0.1,0.08,<0.01,<0.01,0.02,NR,NR,NR,NR,
Michigan,,0.76,0.1,0.04,0.04,0.01,NR,0.06,0.78,0.22,0.78,0.22,
Minnesota,,0.84,0.05,0.04,0.06,0.01,NR,0.01,0.93,0.07,0.93,0.07,
Mississippi,Yes,0.58,0.37,0.03,0.02,<0.01,<0.01,0.04,NR,NR,0.91,0.09,
Missouri,Yes,0.82,0.09,0.05,0.03,<0.01,<0.01,0.06,NR,NR,NR,NR,"5. The state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data"
Nevada,,0.44,0.06,0.25,0.11,0.01,NR,0.14,NR,NR,NR,NR,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,0.54,0.08,0.16,0.12,NR,NR,0.1,0.91,0.09,0.91,0.09,
New Mexico,,0.44,0.02,0.39,0.03,0.1,NR,0.03,0.9,0.1,0.9,0.1,
New York,Yes,0.71,0.12,0.19,0.15,NR,NR,0.02,NR,NR,NR,NR,
North Carolina,Yes,0.7,0.18,0.09,0.05,0.01,NR,0.07,0.95,0.05,0.89,0.11,
North Dakota,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,Yes,0.81,0.09,0.04,0.03,<0.01,<0.01,0.06,0.96,0.04,0.82,0.18,
Oklahoma,Yes,0.8,0.06,0.11,0.04,0.06,NR,0.04,0.79,0.21,0.71,0.29,8. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.74,0.02,0.09,0.06,0.02,0.01,0.05,0.92,0.08,0.92,0.08,
Pennsylvania,Yes,0.84,0.05,0.06,0.01,<0.01,<0.01,0.09,0.9,0.1,0.77,0.23,"9. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.77,0.05,0.14,0.04,<0.01,<0.01,NR,NR,NR,NR,NR,
South Carolina,Yes,0.65,0.22,0.05,NR,NR,NR,0.14,0.93,0.07,0.86,0.14,"10. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,,0.94,0.01,<0.01,<0.01,0.02,NR,0.03,0.91,0.09,0.76,0.24,
Tennessee,Yes,0.66,0.12,0.06,0.02,NR,NR,0.2,0.96,0.04,0.89,0.11,
Texas,,0.39,0.08,0.34,0.07,NR,NR,0.11,0.92,0.08,0.92,0.08,
Utah,,0.79,0.01,0.11,0.03,0.01,0.01,0.04,0.88,0.12,0.88,0.12,11. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,Yes,0.96,0.01,0.02,0.02,<0.01,<0.01,0.01,0.96,0.04,0.93,0.07,
Virginia,,0.58,0.15,0.14,0.06,0.01,NR,0.06,0.59,0.41,0.59,0.41,
Washington,,0.63,0.03,0.09,0.12,0.01,0.01,0.1,0.93,0.07,0.93,0.07,
West Virginia,Yes,0.92,0.03,NR,NR,NR,NR,0.05,0.93,0.07,NR,NR,12. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.91,0.04,0.05,0.04,0.01,NR,0.04,0.94,0.06,0.94,0.06,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
