Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.45,0.32,1.43,-13.57,0.36,1.25,-9.01,0.59,0.77,13.65,
Alabama,Yes,0.3,0.28,1.08,-2.23,0.23,1.34,-7.6,0.55,0.55,24.5,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.37,0.42,0.87,5.44,0.28,1.32,-9.04,0.51,0.72,14.04,
Arizona,,0.43,0.28,1.51,-14.47,0.22,1.93,-20.69,0.55,0.78,12.08,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.57,0.41,1.39,-15.86,0.4,1.43,-17.19,0.66,0.86,9.21,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.56,0.42,1.33,-13.97,0.25,2.26,-31.49,0.53,1.06,-3.43,
Connecticut,,0.62,0.4,1.55,-22.2,0.46,1.36,-16.57,0.66,0.94,3.74,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.5,0.35,1.43,-15.02,0.38,1.32,-12.2,0.59,0.85,9.09,
District of Columbia,Yes,0.4,0.28,1.43,-12.1,0.4,1.01,-0.4,0.49,0.81,9.51,
Florida,,0.48,0.23,2.1,-25.39,0.36,1.35,-12.64,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.39,0.32,1.23,-7.22,0.29,1.35,-9.96,0.69,0.56,29.94,
Hawaii,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Idaho,Yes,0.28,0.29,0.94,1.72,0.2,1.39,-7.84,0.45,0.62,17.07,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.44,0.31,1.39,-12.11,0.33,1.31,-10.31,0.61,0.72,17.17,
Iowa,Yes,0.45,0.21,2.18,-24.48,0.26,1.71,-18.76,0.45,1.01,-0.55,
Kansas,Yes,0.37,0.29,1.29,-8.36,0.33,1.14,-4.67,0.46,0.81,8.54,
Kentucky,Yes,0.38,0.3,1.26,-7.95,NR,NR,NR,0.46,0.83,8.01,
Louisiana,Yes,0.36,0.34,1.05,-1.63,0.35,1.03,-1.13,0.64,0.56,28.42,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections; 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.59,0.46,1.27,-12.34,0.47,1.25,-11.77,0.69,0.85,10.74,
Massachusetts,,0.66,0.51,1.29,-14.61,0.47,1.41,-19.02,0.71,0.93,5.15,
Michigan,,0.38,0.26,1.45,-11.74,0.3,1.28,-8.34,0.45,0.85,6.47,
Minnesota,,0.52,0.37,1.42,-15.34,0.37,1.41,-15.08,0.56,0.92,4.47,
Mississippi,Yes,0.34,0.33,1.04,-1.43,0.28,1.21,-5.92,0.68,0.5,33.55,
