Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.5,0.4,1.25,-10.11,0.45,1.12,-5.28,0.67,0.75,16.66,
Alabama,Yes,0.37,0.37,1,-0.05,0.34,1.1,-3.29,0.68,0.55,30.4,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.4,0.5,0.81,9.68,0.33,1.23,-7.46,0.58,0.7,17.57,
Arizona,,0.47,0.34,1.36,-12.5,0.29,1.63,-18.16,0.61,0.77,13.74,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.62,0.48,1.28,-13.4,0.47,1.3,-14.43,0.72,0.86,10.22,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.64,0.53,1.21,-11.2,0.33,1.92,-30.82,0.6,1.07,-4.12,
Connecticut,,0.66,0.48,1.39,-18.5,0.55,1.21,-11.32,0.71,0.93,5.3,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.54,0.42,1.29,-12.04,0.48,1.13,-6.07,0.64,0.84,10.31,
District of Columbia,Yes,0.49,0.37,1.31,-11.59,0.54,0.91,4.79,0.64,0.77,14.77,
Florida,,0.54,0.31,1.77,-23.53,0.48,1.13,-6.3,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.43,0.38,1.13,-4.98,0.37,1.16,-6.12,0.75,0.57,32.24,
Hawaii,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Idaho,Yes,0.31,0.37,0.85,5.66,0.25,1.26,-6.52,0.51,0.62,19.33,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.47,0.37,1.26,-9.57,0.41,1.15,-6.1,0.67,0.7,20.23,
Iowa,Yes,0.49,0.25,1.92,-23.47,0.33,1.5,-16.27,0.5,0.97,1.26,
Kansas,Yes,0.43,0.37,1.16,-5.79,0.41,1.05,-1.96,0.54,0.79,11.37,
Kentucky,Yes,0.44,0.39,1.13,-4.93,NR,NR,NR,0.57,0.76,13.82,
Louisiana,Yes,0.44,0.44,0.99,0.5,0.47,0.92,3.6,0.77,0.57,33.42,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.64,0.55,1.16,-8.58,0.59,1.08,-4.76,0.75,0.85,11.34,
Massachusetts,,0.7,0.6,1.16,-9.7,0.55,1.26,-14.53,0.76,0.92,6.12,
Michigan,,0.41,0.31,1.34,-10.48,0.37,1.12,-4.5,0.49,0.85,7.38,
Minnesota,,0.57,0.44,1.29,-12.82,0.46,1.24,-11.04,0.66,0.86,9.21,
