Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.19,0.11,1.8,-8,0.09,2.2,-10,0.16,1.2,-3,
Alabama,Yes,0.13,0.09,1.4,-3.84,NR,NR,NR,0.15,0.9,1.74,1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.
Alaska,Yes,0.12,0.13,0.9,1.06,0.1,1.2,-1.97,0.16,0.8,3.43,
Arizona,,0.21,0.09,2.3,-11.81,0.06,3.3,-14.47,0.17,1.3,-4.15,
Arkansas,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.19,0.12,1.6,-6.8,0.1,1.9,-8.68,0.18,1.1,-0.96,
Colorado,,0.24,0.14,1.7,-10.23,0.05,4.5,-18.84,0.13,1.8,-10.83,
Connecticut,,0.24,0.11,2.1,-12.83,0.08,3.1,-16.28,0.13,1.9,-11.52,
Delaware,NR,NR,NR,NR,-21.67,NR,NR,-27.08,NR,NR,-14.3,
District of Columbia,Yes,0.11,0.08,1.3,-2.87,0.06,1.9,-5.38,NR,NR,NR,
Florida,Yes,0.18,0.08,2.3,-10.34,0.09,2,-9.17,NR,NR,NR,
Georgia,Yes,0.17,0.1,1.7,-6.62,0.04,4.7,-13.17,0.17,1,0.07,
Hawaii,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Idaho,Yes,0.11,0.07,1.7,-4.75,0.04,2.8,-7.23,0.11,1.1,-0.67,
Illinois,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.2,0.11,1.9,-9.77,0.06,3.3,-14.18,0.14,1.5,-6.84,2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Iowa,Yes,0.21,0.06,3.5,-15.23,0.05,4.1,-16.1,0.09,2.4,-12.53,
Kansas,Yes,0.15,0.07,2,-7.28,0.09,1.6,-5.5,0.08,1.9,-7.07,
Kentucky,Yes,0.16,0.09,1.7,-6.43,NR,NR,NR,0.1,1.6,-5.67,
Louisiana,Yes,0.18,0.14,1.3,-3.82,NR,NR,NR,0.2,0.9,1.88,
Maine,,0.2,0.12,1.6,-7.7,0.11,1.9,-9.19,0.14,1.5,-6.38,2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Maryland,Yes,0.25,0.14,1.7,-10.42,0.08,3.1,-16.82,0.2,1.2,-4.96,
Massachusetts,,0.23,0.16,1.5,-7.28,0.09,2.8,-14.91,0.14,1.7,-9.47,
Michigan,Yes,0.13,0.07,1.8,-5.52,NR,NR,NR,0.08,1.7,-5.21,
Minnesota,,0.21,0.1,2.1,-11.26,0.05,4,-16.09,0.11,1.9,-10.12,
Mississippi,Yes,0.21,0.15,1.4,-5.36,0.09,2.4,-11.92,0.28,0.7,7.79,
Missouri,Yes,0.16,0.08,1.9,-7.43,0.13,1.2,-2.52,0.11,1.4,-4.33,
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.22,0.11,1.9,-10.41,0.07,3,-14.38,0.14,1.6,-8.11,
Nevada,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Hampshire,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.29,0.16,1.8,-13,0.21,1.4,-8,0.3,1,1,3. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.22,0.11,2,-10.72,0.1,2.1,-11.34,0.22,1,0.53,
North Carolina,Yes,0.2,0.14,1.4,-6.01,0.06,3.3,-13.78,0.17,1.2,-3.25,
North Dakota,Yes,0.34,0.11,3,-23,0.14,2.3,-20,0.15,2.2,-19,4. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.2,0.1,1.9,-9.81,0.08,2.7,-12.7,0.2,1,-0.47,
Oklahoma,Yes,0.17,0.1,1.8,-7.93,0.06,2.7,-10.96,0.2,0.9,2.41,2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.2,0.16,1.2,-3.17,0.07,2.8,-12.7,0.16,1.2,-3.64,
Pennsylvania,Yes,0.16,0.05,3.4,-11.62,0.04,4.7,-12.9,0.01,20.8,-15.62,5. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.22,0.11,2,-11.11,0.09,2.4,-13.1,0.1,2.2,-11.99,
South Carolina,,0.18,0.11,1.7,-7.67,0.06,3.3,-12.71,NR,NR,NR,
South Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Tennessee,Yes,0.16,0.1,1.6,-6.44,0.07,2.3,-9.3,0.13,1.3,-3.88,
Texas,,0.19,0.1,1.9,-8.67,0.1,1.9,-8.94,0.22,0.8,3.55,
Utah,,0.16,0.06,2.62,-10.08,0.06,2.81,-10.51,0.09,1.9,-7.74,
Vermont,Yes,0.22,0.08,2.8,-14.11,NR,NR,NR,0.14,1.5,-7.77,
Virginia,,0.15,0.1,1.6,-5.48,0.08,1.9,-6.92,0.08,1.9,-7.04,
Washington,,0.18,0.11,1.6,-6.3,0.07,2.4,-10.22,0.17,1,-0.3,
West Virginia,,0.22,0.16,1.4,-6.33,NR,NR,NR,NR,NR,NR,2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.22,0.09,2.4,-12.44,0.07,2.9,-14.16,0.12,1.8,-9.78,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
