Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.44,0.31,1.43,-13.32,0.35,1.26,-9.22,0.56,0.8,11.26,
Alabama,Yes,0.3,0.27,1.09,-2.4,0.22,1.36,-7.96,0.54,0.56,23.86,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.36,0.41,0.89,4.59,0.27,1.34,-9.23,0.5,0.73,13.75,
Arizona,,0.42,0.27,1.54,-14.64,0.21,1.94,-20.14,0.53,0.79,11.34,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.56,0.4,1.4,-15.9,0.38,1.45,-17.29,0.64,0.87,8.45,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.55,0.4,1.37,-14.83,0.24,2.32,-31.3,0.51,1.07,-3.59,
Connecticut,,0.62,0.39,1.58,-22.55,0.44,1.39,-17.4,0.65,0.95,3.31,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.5,0.34,1.44,-15.27,0.37,1.36,-13.09,0.58,0.85,8.57,
District of Columbia,Yes,0.39,0.27,1.44,-11.99,0.37,1.06,-2.16,0.46,0.84,7.34,
Florida,Yes,0.44,0.23,1.91,-20.77,0.34,1.28,-9.58,NR,NR,NR,
Georgia,Yes,0.38,0.31,1.24,-7.42,0.28,1.38,-10.54,NR,NR,NR,
Hawaii,Yes,0.37,0.16,2.31,-21,NR,NR,NR,0.48,0.77,11,
Idaho,Yes,0.27,0.29,0.95,1.41,0.19,1.41,-8.01,0.44,0.62,16.71,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.43,0.31,1.41,-12.49,0.32,1.34,-10.85,0.6,0.72,16.85,
Iowa,Yes,0.45,0.2,2.23,-24.69,0.26,1.74,-19.01,0.44,1.03,-1.15,
Kansas,Yes,0.37,0.28,1.3,-8.59,0.32,1.16,-5.03,0.45,0.82,8.01,
Kentucky,Yes,0.38,0.3,1.26,-7.95,NR,NR,NR,0.46,0.83,8.01,
Louisiana,Yes,0.35,0.33,1.06,-1.84,0.33,1.06,-2,0.63,0.56,27.45,
Maine,,0.47,0.51,0.92,4.17,0.47,0.99,0.3,0.69,0.68,21.64,3. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Maryland,Yes,0.58,0.45,1.28,-12.71,0.45,1.29,-13.06,0.68,0.85,10.01,
Massachusetts,,0.65,0.5,1.31,-15.26,0.45,1.45,-20.04,0.69,0.93,4.56,
Michigan,,0.37,0.25,1.47,-11.9,0.28,1.33,-9.31,0.43,0.86,6.11,
Minnesota,,0.51,0.35,1.45,-16.08,0.36,1.45,-15.94,0.56,0.92,4.23,
Mississippi,Yes,0.34,0.32,1.06,-1.79,0.27,1.25,-6.66,0.66,0.51,32.36,
Missouri,Yes,0.36,0.28,1.3,-8.26,0.42,0.85,6.15,0.54,0.66,18.39,"4. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"5. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose; 6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts."
Nevada,,0.35,0.23,1.51,-11.97,0.31,1.15,-4.67,0.46,0.76,11,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.6,0.42,1.44,-18.2,0.46,1.31,-14,0.81,0.74,21.2,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.49,0.33,1.51,-16.62,0.41,1.2,-8.33,0.73,0.67,24.09,
North Carolina,Yes,0.44,0.36,1.22,-7.96,0.34,1.28,-9.71,0.67,0.66,22.65,
North Dakota,Yes,0.56,0.33,1.7,-22.8,0.33,1.69,-22.7,0.49,1.14,-6.9,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.46,0.32,1.43,-13.86,0.36,1.25,-9.25,0.68,0.68,21.8,
Oklahoma,Yes,0.32,0.23,1.35,-8.16,0.24,1.32,-7.6,0.54,0.59,22.34,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.51,0.61,0.82,10.76,0.32,1.57,-18.4,0.65,0.78,13.9,
Pennsylvania,Yes,0.47,0.21,2.19,-25.51,0.28,1.69,-19.19,0.1,4.72,-36.98,10. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.58,0.41,1.44,-17.87,0.4,1.45,-18.25,0.6,0.97,2.06,
South Carolina,Yes,0.34,0.28,1.23,-6.28,0.28,1.21,-5.82,NR,NR,NR,
South Dakota,,0.43,0.18,2.35,-24.97,0.03,14.26,-40.4,0.08,5.17,-35.04,
Tennessee,Yes,0.34,0.28,1.21,-5.89,0.33,1.02,-0.71,0.46,0.73,12.67,
Texas,,0.42,0.3,1.4,-11.79,0.35,1.17,-6.03,0.61,0.68,19.52,
Utah,,0.44,0.27,1.63,-16.8,0.31,1.41,-12.75,0.39,1.12,-4.69,
Vermont,Yes,0.68,0.47,1.43,-20.41,0.8,0.84,12.63,0.72,0.94,4.38,
Virginia,,0.31,0.25,1.25,-6.13,0.45,0.68,14.66,0.28,1.1,-2.77,
Washington,,0.46,0.4,1.15,-6.04,0.33,1.39,-13.01,0.65,0.71,19.1,
West Virginia,Yes,0.43,0.39,1.1,-4.01,NR,NR,NR,NR,NR,NR,11. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.48,0.3,1.61,-17.98,0.34,1.4,-13.56,0.51,0.93,3.56,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
