Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Alabama,Yes,0.71,0.24,NR,0.02,<.01,<.01,0.03,0.79,0.21,0.33,0.67,1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.
Alaska,Yes,0.39,0.02,0.05,0.05,0.2,0.01,0.33,0.87,0.13,0.74,0.26,
Arizona,,0.56,0.02,0.14,0.04,0.03,NR,0.2,0.86,0.14,0.86,0.14,
Arkansas,Yes,0.82,0.12,0.2,0.02,NR,<.01,0.04,0.9,0.1,NR,NR,
California,,0.33,0.03,0.25,0.15,<.01,<.01,0.23,0.94,0.06,0.94,0.06,
Colorado,,0.81,0.03,0.1,0.03,0.01,<.01,0.03,0.88,0.12,0.88,0.12,
Connecticut,,0.74,0.06,0.09,0.04,<.01,NR,0.07,0.94,0.06,0.94,0.06,
Delaware,Yes,0.72,0.13,0.06,0.04,NR,NR,0.11,0.94,0.06,0.85,0.15,
District of Columbia,Yes,0.47,0.37,0.1,NR,NR,NR,0.17,0.79,0.21,0.67,0.33,
Florida,Yes,0.79,0.08,0.22,NR,<.01,NR,0.12,0.85,0.15,0.67,0.33,
Georgia,Yes,0.6,0.24,0.06,0.07,<.01,NR,0.09,0.94,0.06,0.84,0.16,
Hawaii,Yes,0.29,0.01,NR,0.54,NR,0.15,0.01,0.82,0.18,NR,NR,
Idaho,Yes,0.83,0.01,0.08,0.02,0.01,<.01,0.13,0.75,0.25,0.64,0.36,
Illinois,,0.69,0.09,0.12,0.06,<.01,<.01,0.03,0.94,0.06,0.94,0.06,
Indiana,Yes,0.87,0.06,0.04,0.03,NR,NR,0.04,0.95,0.05,0.92,0.08,
Iowa,Yes,0.94,0.01,0.03,0.02,<.01,<.01,0.02,0.85,0.15,0.81,0.19,
