Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Alabama,Yes,0.64,0.25,0.06,0.02,<0.01,<0.01,0.09,0.88,0.12,0.63,0.37,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.56,0.02,0.06,0.07,0.21,0.01,0.12,0.92,0.08,0.77,0.23,
Arizona,,0.51,0.03,0.19,0.04,0.03,NR,0.19,0.89,0.11,0.89,0.11,
Arkansas,Yes,0.77,0.14,0.07,0.02,<0.01,<0.01,0.07,0.93,0.07,NR,NR,
California,,0.36,0.04,0.31,0.17,<0.01,0.01,0.11,0.95,0.05,0.95,0.05,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.76,0.04,0.13,0.03,0.01,<0.01,0.04,0.9,0.1,0.9,0.1,
Connecticut,,0.65,0.08,0.15,0.05,<0.01,<0.01,0.07,0.95,0.05,0.95,0.05,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.63,0.17,0.1,0.04,NR,NR,0.15,0.97,0.03,0.84,0.16,
District of Columbia,Yes,0.49,0.45,0.14,0.06,NR,NR,NR,0.78,0.22,0.85,0.15,
Florida,,0.54,0.09,0.32,NR,NR,NR,0.11,0.87,0.13,0.69,0.31,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.54,0.27,0.09,0.06,<0.01,NR,0.13,0.95,0.05,0.89,0.11,
Hawaii,Yes,0.25,0.01,NR,0.53,NR,0.19,0.03,0.81,0.19,NR,NR,
