Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Alabama,Yes,0.62,0.24,0.06,0.02,<0.01,<0.01,0.12,0.9,0.1,0.67,0.33,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.56,0.03,0.06,0.07,0.21,0.01,0.12,0.92,0.08,0.79,0.21,
Arizona,,0.51,0.03,0.2,0.04,0.04,NR,0.18,0.89,0.11,0.89,0.11,
Arkansas,Yes,0.76,0.13,0.07,0.02,<0.01,<0.01,0.08,0.93,0.07,NR,NR,
California,,0.36,0.04,0.32,0.17,<0.01,0.01,0.11,0.95,0.05,0.95,0.05,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.75,0.04,0.13,0.03,0.01,<0.01,0.04,0.9,0.1,0.9,0.1,
Connecticut,,0.65,0.08,0.15,0.05,<0.01,<0.01,0.07,0.96,0.04,0.96,0.04,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.56,0.16,0.1,0.04,NR,NR,0.23,0.97,0.03,0.77,0.23,
District of Columbia,Yes,0.48,0.46,0.14,0.06,NR,NR,NR,0.8,0.2,0.87,0.13,
Florida,,0.51,0.1,0.26,NR,NR,NR,0.13,0.87,0.13,0.87,0.13,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.53,0.27,0.09,0.06,<0.01,NR,0.14,0.96,0.04,0.91,0.09,
Hawaii,Yes,0.25,0.01,NR,0.52,NR,0.19,0.03,0.81,0.19,NR,NR,
Idaho,Yes,0.81,0.01,0.11,0.02,0.01,<0.01,0.15,0.83,0.17,0.73,0.27,
Illinois,,0.63,0.11,0.15,0.07,<0.01,<0.01,0.04,0.96,0.04,0.96,0.04,
Indiana,Yes,0.78,0.08,0.07,0.03,NR,NR,0.11,0.96,0.04,0.92,0.08,
Iowa,Yes,0.9,0.03,0.05,0.04,<0.01,<0.01,0.03,0.91,0.09,0.9,0.1,
Kansas,Yes,0.73,0.04,0.11,0.03,<0.01,<0.01,0.19,0.91,0.09,0.86,0.14,
Kentucky,Yes,0.81,0.07,NR,0.02,<0.01,<0.01,0.1,0.94,0.06,NR,NR,
Louisiana,Yes,0.58,0.31,0.07,0.03,<0.01,<0.01,0.07,0.86,0.14,0.95,0.05,
Maine,,0.78,0.02,0.02,0.02,0.01,<0.01,0.17,0.94,0.06,0.94,0.06,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.54,0.27,0.1,0.07,0.01,<0.01,0.1,0.95,0.05,0.94,0.06,
Massachusetts,,0.73,0.07,0.11,0.08,<0.01,<0.01,0.03,NR,NR,NR,NR,
Michigan,,0.72,0.1,0.05,0.04,0.01,NR,0.09,0.85,0.15,0.85,0.15,
Minnesota,,0.81,0.06,0.05,0.06,0.01,NR,0.01,0.93,0.07,0.93,0.07,
Mississippi,Yes,0.56,0.39,0.03,0.02,<0.01,<0.01,0.03,NR,NR,NR,NR,
Missouri,Yes,0.81,0.1,0.05,0.03,<0.01,<0.01,NR,NR,NR,NR,NR,"5. The state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data"
Nevada,,0.38,0.06,0.26,0.09,0.01,NR,0.2,NR,NR,NR,NR,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.88,0.01,0.03,0.03,<0.01,<0.01,0.04,0.92,0.08,0.92,0.08,
New Jersey,,0.5,0.09,0.17,0.11,NR,NR,0.13,0.92,0.08,0.92,0.08,
New Mexico,,0.41,0.02,0.38,0.03,0.12,NR,0.04,0.89,0.11,0.89,0.11,
New York,Yes,0.69,0.15,0.21,0.14,NR,NR,0.02,NR,NR,NR,NR,
North Carolina,Yes,0.67,0.2,0.1,0.04,0.01,NR,0.08,0.93,0.07,0.86,0.14,
North Dakota,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,Yes,0.77,0.1,0.04,0.03,<0.01,<0.01,0.09,0.96,0.04,0.84,0.16,
Oklahoma,Yes,0.77,0.07,0.12,0.04,0.07,NR,0.05,0.81,0.19,0.72,0.28,8. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.74,0.03,0.1,0.06,0.03,0.01,0.04,0.93,0.07,0.93,0.07,
Pennsylvania,Yes,0.77,0.06,0.07,0.02,<0.01,<0.01,0.14,0.9,0.1,0.76,0.24,"9. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.74,0.05,0.16,0.04,<0.01,<0.01,NR,NR,NR,NR,NR,
South Carolina,,0.59,0.22,0.05,NR,NR,NR,0.13,0.93,0.07,0.93,0.07,"10. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category. 11. As of 11/1, South Carolina race classification was updated to exclude Hispanic from race categories. Data should not be compared to earlier periods due to this data change."
South Dakota,,0.92,0.01,<0.01,<0.01,0.03,NR,0.03,0.91,0.09,0.76,0.24,
Tennessee,Yes,0.63,0.12,0.06,0.02,NR,NR,0.22,0.96,0.04,0.91,0.09,
Texas,,0.35,0.08,0.35,0.06,NR,NR,0.16,0.94,0.06,0.94,0.06,
Utah,,0.78,0.01,0.12,0.03,0.01,0.01,0.03,0.87,0.13,0.87,0.13,12. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,Yes,0.95,0.01,0.02,0.02,<0.01,<0.01,0.02,0.97,0.03,0.95,0.05,
Virginia,,0.58,0.17,0.1,0.09,<0.01,NR,0.06,0.92,0.08,0.92,0.08,
Washington,,0.61,0.04,0.11,0.11,0.01,0.01,0.11,0.93,0.07,0.93,0.07,
West Virginia,Yes,0.87,0.03,NR,NR,NR,NR,0.1,0.94,0.06,NR,NR,13. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.9,0.05,0.06,0.04,0.01,NR,0.1,0.95,0.05,0.95,0.05,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
