Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.42,0.28,1.5,-13.83,0.3,1.37,-11.19,0.52,0.8,10.51,
Alabama,Yes,0.29,0.26,1.12,-2.98,0.2,1.46,-9.11,0.51,0.57,22.1,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2. Data not reported due to unresolved data issues.
Arizona,,0.39,0.24,1.64,-15.16,0.19,2.09,-20.26,0.48,0.81,9.06,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.52,0.36,1.46,-16.37,0.33,1.57,-19.01,0.59,0.89,6.73,"3. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.51,0.36,1.44,-15.59,0.21,2.43,-30.18,0.47,1.08,-3.88,
Connecticut,,0.57,0.35,1.66,-22.68,0.37,1.54,-20,0.58,0.99,0.81,"3. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.45,0.3,1.53,-15.81,0.3,1.52,-15.45,0.52,0.88,6.22,
District of Columbia,Yes,0.37,0.25,1.48,-11.89,0.32,1.16,-5.03,NR,NR,NR,
Florida,Yes,0.41,0.2,1.99,-20.14,0.29,1.38,-11.2,NR,NR,NR,
Georgia,Yes,0.36,0.27,1.3,-8.19,0.23,1.55,-12.72,0.6,0.59,24.29,
Hawaii,Yes,0.35,0.14,2.5,-21,NR,NR,NR,0.45,0.78,10,
Idaho,Yes,0.25,0.24,1.06,-1.4,0.16,1.52,-8.56,0.39,0.65,13.67,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.41,0.28,1.47,-12.99,0.28,1.46,-12.84,0.53,0.77,12.18,
Iowa,Yes,0.42,0.17,2.41,-24.43,0.21,1.98,-20.63,0.39,1.08,-3.17,
Kansas,Yes,0.35,0.25,1.36,-9.27,0.29,1.21,-5.99,0.41,0.85,6.36,
Kentucky,Yes,0.35,0.26,1.33,-8.77,NR,NR,NR,0.39,0.9,3.82,
Louisiana,Yes,0.33,0.31,1.08,-2.46,0.28,1.18,-4.98,0.56,0.59,23.18,
