Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.13,0.07,1.99,-6.67,0.05,2.57,-8.21,0.11,1.1,-2.13,
Alabama,Yes,0.1,0.06,1.64,-3.88,NR,NR,NR,0.1,1.01,-0.05,1
Alaska,Yes,0.08,0.08,0.94,0.48,0.07,1.11,-0.77,0.09,0.86,1.27,
Arizona,,0.14,0.06,2.57,-8.82,0.04,3.54,-10.36,0.11,1.3,-3.32,
Arkansas,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Colorado,,0.18,0.09,1.91,-8.38,0.04,4.77,-13.93,0.09,1.97,-8.66,
Connecticut,,0.14,0.06,2.42,-8.38,0.05,2.81,-9.21,0.08,1.84,-6.53,
Delaware,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,
District of Columbia,,0.06,0.04,1.41,-1.83,0.03,2.08,-3.27,NR,NR,NR,
Florida,Yes,0.13,0.05,2.44,-7.64,0.06,2.26,-7.23,NR,NR,NR,
Georgia,,0.13,0.07,1.95,-6.51,0.02,6.33,-11.27,0.12,1.13,-1.52,
Hawaii,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Idaho,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Illinois,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.16,0.07,2.19,-8.73,0.04,3.61,-11.64,0.11,1.51,-5.44,
Iowa,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Kansas,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Kentucky,Yes,0.11,0.06,1.86,-5.12,NR,NR,NR,0.07,1.49,-3.64,
Louisiana,Yes,0.14,0.09,1.47,-4.36,NR,NR,NR,0.14,0.99,0.17,
Maine,,0.14,0.1,1.37,-3.66,0.06,2.17,-7.3,0.1,1.39,-3.78,2
Maryland,Yes,0.16,0.08,2.1,-8.48,0.05,3.28,-11.23,0.13,1.22,-2.86,
Massachusetts,,0.16,0.12,1.33,-3.93,0.06,2.76,-10.05,0.1,1.6,-5.91,
Michigan,,0.08,0.04,2.02,-4.07,NR,NR,NR,0.05,1.56,-2.9,
Minnesota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Mississippi,Yes,0.14,0.08,1.74,-5.88,0.05,2.99,-9.2,0.17,0.82,3.12,
Missouri,Yes,0.11,0.05,2.11,-5.84,0.08,1.35,-2.88,0.08,1.44,-3.39,
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.15,0.08,2,-7.58,0.04,3.64,-10.98,0.08,1.8,-6.73,
Nevada,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Hampshire,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.2,0.12,1.64,-7.65,0.12,1.67,-7.92,0.22,0.91,2.01,3
New York,Yes,0.19,0.08,2.44,-11.37,0.07,2.61,-11.87,0.17,1.12,-2.08,
North Carolina,Yes,0.16,0.1,1.53,-5.53,0.04,4.21,-12.14,0.12,1.35,-4.13,
North Dakota,,0.25,0.08,3.17,-17.19,0.09,2.75,-15.97,0.11,2.39,-14.59,4
