Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.6,0.54,1.12,-6.47,0.6,1.01,-0.74,0.81,0.75,20.61,
Alabama,Yes,0.47,0.48,0.98,1.19,0.53,0.88,6.15,0.78,0.61,30.73,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.53,0.58,0.9,5.64,0.47,1.12,-5.47,0.77,0.69,23.91,
Arizona,,0.58,0.47,1.22,-10.55,0.4,1.45,-18.05,0.75,0.77,17.18,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.72,0.62,1.16,-9.97,0.6,1.2,-12.05,0.84,0.85,12.3,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.77,0.67,1.14,-9.33,0.4,1.93,-36.79,0.71,1.08,-5.89,
Connecticut,,0.78,0.62,1.26,-16.08,0.7,1.12,-8.06,0.83,0.93,5.56,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.7,0.57,1.22,-12.89,0.62,1.12,-7.8,0.87,0.81,16.88,
District of Columbia,Yes,0.66,0.52,1.27,-14.16,0.73,0.91,6.33,0.93,0.71,26.88,
Florida,,0.61,0.41,1.46,-19.04,0.66,0.92,5.23,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. "
Georgia,Yes,0.53,0.5,1.05,-2.73,0.51,1.03,-1.67,0.89,0.6,35.69,
Hawaii,Yes,0.66,0.59,1.11,-6.59,NR,NR,NR,0.8,0.82,14.29,
Idaho,Yes,0.43,0.42,1.02,-1,0.4,1.08,-3,0.58,0.74,15,
Illinois,,0.69,0.59,1.17,-10.18,0.64,1.08,-5.29,0.88,0.79,18.77,
Indiana,Yes,0.48,0.41,1.17,-7.03,0.57,0.83,9.64,0.67,0.71,19.14,
Iowa,Yes,0.6,0.53,1.13,-6.99,0.48,1.25,-12.02,0.96,0.62,36.51,
Kansas,Yes,0.49,0.43,1.15,-6.28,0.52,0.95,2.52,0.61,0.81,11.25,
Kentucky,Yes,0.56,0.52,1.08,-4,NR,NR,NR,0.76,0.74,20,
Louisiana,Yes,0.54,0.59,0.92,4.71,0.63,0.86,8.99,0.95,0.57,40.95,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.76,0.7,1.09,-6.07,0.77,0.99,0.8,0.93,0.82,16.58,
Massachusetts,,0.85,0.76,1.11,-8.12,0.72,1.18,-12.66,0.94,0.9,8.92,
Michigan,,0.54,0.42,1.29,-12.24,0.54,1.01,-0.35,0.65,0.82,11.43,
Minnesota,,0.65,0.59,1.11,-6.71,0.58,1.12,-7.01,0.77,0.84,12.02,
Mississippi,Yes,0.52,0.57,0.92,4.76,0.54,0.95,2.5,0.94,0.55,42.12,
Missouri,Yes,0.51,0.48,1.07,-3.46,0.72,0.72,20.39,0.73,0.7,21.7,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data."
Nevada,,0.46,0.39,1.18,-7.02,0.55,0.84,9,0.61,0.76,14.73,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.59,0.47,1.27,-12.8,0.53,1.12,-6.51,0.76,0.78,17.04,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.82,0.7,1.17,-12.2,0.64,1.29,-18.7,0.99,0.83,16.6,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.67,0.63,1.06,-3.82,0.77,0.87,10.02,>.99,0.63,38.64,
North Carolina,Yes,0.57,0.54,1.05,-2.45,0.57,1,0.09,0.88,0.65,30.9,
North Dakota,Yes,0.67,0.51,1.3,-15.5,0.56,1.19,-10.8,0.58,1.14,-8.2,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.58,0.5,1.17,-8.39,0.59,0.98,1,0.89,0.65,30.95,
