Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.55,0.48,1.15,-7.1,0.53,1.04,-2.31,0.71,0.78,15.66,
Alabama,Yes,0.43,0.43,0.99,0.53,0.45,0.95,2.45,0.7,0.61,27.47,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.45,0.59,0.76,13.89,0.37,1.21,-7.8,0.63,0.71,18.38,
Arizona,,0.5,0.39,1.26,-10.35,0.33,1.49,-16.24,0.63,0.79,13.56,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.66,0.56,1.17,-9.8,0.54,1.23,-12.37,0.76,0.88,9.35,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.69,0.61,1.14,-8.66,0.37,1.86,-32.22,0.63,1.1,-6.23,
Connecticut,,0.71,0.57,1.26,-14.64,0.63,1.13,-8.26,0.76,0.94,4.24,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.51,0.45,1.14,-6.23,0.54,0.95,2.8,0.63,0.82,11.43,
District of Columbia,Yes,0.54,0.46,1.17,-7.93,0.61,0.88,7.47,0.75,0.72,21.4,
Florida,,0.56,0.37,1.53,-19.33,0.57,0.99,0.81,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.49,0.46,1.07,-3.32,0.46,1.08,-3.43,0.79,0.62,29.83,
Hawaii,Yes,0.47,0.32,1.46,-14.92,NR,NR,NR,0.54,0.87,7.1,
Idaho,Yes,0.38,0.47,0.81,8.92,0.33,1.17,-5.39,0.58,0.66,19.97,
Illinois,,0.6,0.46,1.28,-13.08,0.49,1.22,-10.83,0.7,0.85,10.87,
Indiana,Yes,0.5,0.42,1.17,-7.34,0.49,1.02,-1.06,0.7,0.71,20.06,
Iowa,Yes,0.54,0.47,1.16,-7.39,0.41,1.31,-12.78,0.85,0.64,30.53,
Kansas,Yes,0.44,0.38,1.16,-5.98,0.45,0.98,1.01,0.53,0.83,9.25,
Kentucky,Yes,0.51,0.46,1.1,-4.46,NR,NR,NR,0.62,0.81,11.81,
Louisiana,Yes,0.51,0.53,0.96,2.19,0.55,0.92,4.67,0.85,0.59,34.94,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
