Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.54,0.46,1.18,-8.1,0.51,1.06,-3.22,0.69,0.78,15.4,
Alabama,Yes,0.42,0.42,0.99,0.3,0.43,0.99,0.58,0.71,0.6,28.36,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.43,0.56,0.77,13.12,0.36,1.2,-7.06,0.61,0.7,18.25,
Arizona,,0.5,0.38,1.31,-11.88,0.32,1.56,-18.05,0.64,0.79,13.46,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.65,0.54,1.2,-10.6,0.52,1.24,-12.67,0.74,0.87,9.52,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.68,0.58,1.16,-9.23,0.36,1.87,-31.43,0.62,1.09,-5.54,
Connecticut,,0.69,0.54,1.27,-14.86,0.61,1.14,-8.38,0.74,0.93,5.01,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.54,0.45,1.2,-8.76,0.53,1.01,-0.76,0.64,0.83,10.78,
District of Columbia,Yes,0.52,0.43,1.21,-8.9,0.59,0.88,7.35,0.71,0.73,19.44,
Florida,,0.56,0.36,1.58,-20.76,0.54,1.03,-1.82,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.48,0.44,1.09,-4.05,0.44,1.1,-4.32,0.78,0.62,30.11,
Hawaii,Yes,0.48,0.33,1.46,-15.19,NR,NR,NR,0.56,0.85,8.31,
Idaho,Yes,0.36,0.44,0.81,8.14,0.3,1.18,-5.42,0.55,0.65,19.35,
Illinois,,0.58,0.44,1.32,-14.08,0.47,1.24,-11.37,0.69,0.85,10.57,
Indiana,Yes,0.5,0.41,1.21,-8.58,0.47,1.06,-2.6,0.68,0.73,18.78,
Iowa,Yes,0.55,0.23,2.42,-32.31,0.4,1.38,-15.26,0.5,1.1,-5.02,
Kansas,Yes,0.43,0.37,1.18,-6.55,0.44,0.98,0.77,0.53,0.81,9.96,
Kentucky,Yes,0.49,0.44,1.11,-4.68,NR,NR,NR,0.61,0.8,12.01,
Louisiana,Yes,0.49,0.51,0.97,1.69,0.56,0.88,6.93,0.84,0.59,34.43,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.66,0.6,1.1,-6.28,0.65,1.02,-1.6,0.77,0.86,10.75,
Massachusetts,,0.73,0.66,1.11,-7.41,0.59,1.23,-13.53,0.79,0.92,6.25,
Michigan,,0.44,0.34,1.28,-9.7,0.41,1.06,-2.53,0.51,0.86,7.28,
Minnesota,,0.6,0.49,1.21,-10.36,0.52,1.16,-8.08,0.7,0.85,10.12,
Mississippi,Yes,0.47,0.5,0.95,2.66,0.46,1.01,-0.5,0.84,0.56,36.77,
Missouri,Yes,0.45,0.41,1.1,-4.11,0.6,0.74,15.4,0.63,0.72,17.89,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data."
Nevada,,0.42,0.34,1.25,-8.39,0.47,0.9,4.73,0.56,0.75,14.13,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.57,0.43,1.32,-13.84,0.49,1.15,-7.38,0.72,0.79,15.18,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.72,0.57,1.25,-14.4,0.6,1.2,-12.1,0.97,0.74,25.7,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.57,0.49,1.16,-7.71,0.63,0.9,6,0.88,0.65,30.71,
North Carolina,Yes,0.53,0.49,1.08,-3.79,0.5,1.05,-2.34,0.79,0.66,26.66,
North Dakota,Yes,0.63,0.45,1.39,-17.6,0.51,1.23,-11.5,0.55,1.14,-7.6,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.52,0.42,1.23,-9.56,0.49,1.05,-2.54,0.76,0.68,24.5,
Oklahoma,Yes,0.41,0.37,1.12,-4.44,0.38,1.09,-3.51,0.73,0.56,31.59,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.61,0.89,0.68,28.65,0.45,1.35,-15.85,0.78,0.78,16.71,
Pennsylvania,Yes,0.52,0.52,1,-0.05,0.51,1.03,-1.44,0.29,1.81,-23.41,"10. As of 10/4, PA total population data was updated; data should not be compared to earlier periods due to these data changes or corrections. 11. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.64,0.54,1.17,-9.41,0.57,1.13,-7.26,0.69,0.92,5.35,
South Carolina,Yes,0.43,0.41,1.06,-2.49,0.45,0.95,2.27,NR,NR,NR,
South Dakota,,0.51,0.28,1.8,-22.73,0.04,11.87,-46.72,0.1,4.9,-40.62,
Tennessee,Yes,0.43,0.39,1.1,-3.76,0.53,0.8,10.51,0.54,0.79,11.47,
Texas,,0.5,0.42,1.2,-8.25,0.51,0.98,0.97,0.69,0.73,18.51,
Utah,,0.54,0.39,1.36,-14.31,0.45,1.18,-8.29,0.47,1.14,-6.77,
