Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.53,0.45,1.2,-8.75,0.49,1.08,-3.84,0.69,0.77,15.49,
Alabama,Yes,0.42,0.42,1,0.05,0.41,1.02,-0.67,0.7,0.59,28.55,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.42,0.54,0.78,12.04,0.35,1.2,-7.07,0.6,0.7,18.11,
Arizona,,0.49,0.37,1.32,-11.78,0.31,1.56,-17.62,0.63,0.78,13.72,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.65,0.53,1.22,-11.78,0.51,1.26,-13.4,0.74,0.87,9.33,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.67,0.57,1.17,-9.73,0.36,1.88,-31.3,0.62,1.08,-5.14,
Connecticut,,0.68,0.53,1.3,-15.62,0.6,1.15,-8.89,0.74,0.93,5.12,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.55,0.44,1.23,-10.36,0.52,1.06,-3.01,0.65,0.84,10.26,
District of Columbia,Yes,0.51,0.41,1.24,-9.85,0.58,0.88,6.87,0.7,0.73,18.53,
Florida,,0.56,0.35,1.62,-21.6,0.53,1.06,-3.13,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.48,0.43,1.1,-4.49,0.43,1.12,-4.95,0.78,0.61,30.45,
Hawaii,Yes,0.47,0.32,1.46,-14.98,NR,NR,NR,0.56,0.85,8.2,
Idaho,Yes,0.35,0.42,0.82,7.79,0.29,1.2,-5.74,0.54,0.64,19.63,
Illinois,,0.57,0.43,1.34,-14.43,0.45,1.26,-11.61,0.68,0.84,10.64,"13. As of 9/20, KFF began reporting fully vaccinated people for Illinois; previous periods reflected total doses administered."
Indiana,Yes,0.49,0.4,1.22,-9.01,0.46,1.07,-3.11,0.69,0.71,20.13,
Iowa,Yes,0.51,0.29,1.77,-22.43,0.37,1.38,-14.27,0.52,0.98,0.9,
Kansas,Yes,0.43,0.36,1.19,-6.87,0.43,0.99,0.31,0.53,0.81,10.3,"12. As of 9/08, Kansas removed non-resident data, resulting in a decrease in overall vaccination counts."
Kentucky,Yes,0.48,0.43,1.11,-4.85,NR,NR,NR,0.6,0.79,12.5,
Louisiana,Yes,0.48,0.5,0.97,1.37,0.55,0.89,6.08,0.82,0.59,33.8,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.66,0.59,1.12,-6.86,0.63,1.04,-2.36,0.77,0.86,11,
Massachusetts,,0.72,0.64,1.12,-7.45,0.58,1.23,-13.52,0.78,0.92,6.21,
