Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.46,0.33,1.4,-13.18,0.38,1.22,-8.37,0.6,0.76,14.32,
Alabama,Yes,0.32,0.3,1.07,-2,0.25,1.27,-6.76,0.59,0.54,27.34,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.37,0.43,0.87,5.7,0.28,1.32,-9,0.52,0.72,14.38,
Arizona,,0.43,0.29,1.49,-14.22,0.23,1.89,-20.41,0.56,0.78,12.53,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.58,0.42,1.37,-15.7,0.41,1.41,-16.88,0.67,0.86,9.68,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.57,0.44,1.31,-13.59,0.26,2.23,-31.54,0.54,1.06,-3.17,
Connecticut,,0.63,0.41,1.53,-21.87,0.47,1.34,-15.77,0.67,0.94,4.15,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.51,0.36,1.41,-14.68,0.39,1.29,-11.33,0.6,0.84,9.43,
District of Columbia,Yes,0.41,0.29,1.41,-11.82,0.42,0.98,1.05,0.51,0.8,10.4,
Florida,,0.49,0.24,2.07,-25.3,0.37,1.31,-11.52,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.39,0.32,1.22,-6.97,0.3,1.31,-9.26,0.7,0.56,30.74,
Hawaii,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Idaho,Yes,0.28,0.3,0.93,2.05,0.2,1.38,-7.66,0.45,0.62,17.42,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.44,0.32,1.36,-11.66,0.34,1.28,-9.66,0.62,0.71,17.55,
Iowa,Yes,0.46,0.21,2.14,-24.32,0.27,1.67,-18.36,0.46,1,-0.1,
Kansas,Yes,0.38,0.29,1.28,-8.22,0.33,1.13,-4.46,0.46,0.81,8.67,
Kentucky,Yes,0.4,0.32,1.23,-7.5,NR,NR,NR,0.49,0.81,9.54,
Louisiana,Yes,0.36,0.35,1.04,-1.43,0.36,1.01,-0.4,0.66,0.55,29.59,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.59,0.47,1.26,-12.05,0.48,1.22,-10.87,0.7,0.84,11,
Massachusetts,,0.66,0.52,1.27,-14.08,0.48,1.38,-18.12,0.72,0.92,5.56,
Michigan,,0.39,0.27,1.43,-11.62,0.31,1.25,-7.71,0.45,0.85,6.71,
Minnesota,,0.52,0.38,1.39,-14.58,0.37,1.41,-15.1,0.58,0.9,5.64,
Mississippi,Yes,0.34,0.33,1.04,-1.25,0.29,1.2,-5.64,0.68,0.5,34.04,
Missouri,Yes,0.37,0.29,1.26,-7.63,0.45,0.83,7.67,0.57,0.65,20,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose."
Nevada,,0.36,0.24,1.49,-11.94,0.33,1.11,-3.59,0.48,0.75,11.92,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.62,0.44,1.4,-17.9,0.47,1.32,-15,0.84,0.74,21.6,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
