State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.25,NR,0.287,0.266,0.058,NR,0.018,0.044,0.02,NR,0,0.014,0.64,NR,0.687,0.681,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,0.025,NR,NA,0.023,0.059,NR,0.044,0.07,0.07,NR,0.1,0.06,0.56,NR,0.43,0.65,
Arizona,0.031,0.043,0.034,0.043,0.193,0.4,0.305,0.318,0.04,0.02,0.02,0.034,0.51,0.45,0.52,0.542,
Arkansas,0.136,0.196,0.145,0.153,0.071,0.12,0.038,0.078,0.02,0.01,0.01,0.016,0.77,0.65,0.79,0.77,
California,0.043,0.045,0.065,0.053,0.311,0.607,0.47,0.395,0.17,0.06,0.12,0.147,0.36,0.19,0.32,0.364,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,0.036,0.034,0.046,0.038,0.129,0.398,0.25,0.218,0.03,0.02,0.03,0.032,0.76,0.51,0.65,0.678,
Connecticut,0.077,NR,0.129,0.1,0.146,NR,0.11,0.169,0.05,NR,0.02,0.046,0.65,NR,0.74,0.657,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,0.168,NR,0.215,0.223,0.098,NR,0.044,0.097,0.04,NR,0.01,0.04,0.63,NR,0.73,0.678,
District of Columbia,0.445,0.563,0.709,0.463,0.138,0.187,0.135,0.112,0.06,0.02,0.02,0.038,0.49,0.19,0.13,0.414,
Florida,0.094,0.155,0.171,0.15,0.322,0.409,0.237,0.266,NR,NR,NR,NR,0.54,0.37,0.57,0.53,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. "
Georgia,0.267,NR,0.338,0.318,0.087,NR,0.054,0.098,0.06,NR,0.02,0.041,0.54,NR,0.59,0.58,
Hawaii,0.01,0.016,NA,0.013,NR,NR,NR,NR,0.53,0.44,0.44,0.4,0.25,0.13,0.1,0.225,
Idaho,0.007,0.005,0.005,0.007,0.114,0.175,0.096,0.129,0.02,0.01,0.01,0.013,0.82,0.76,0.86,0.894,
Illinois,0.106,0.138,0.178,0.136,0.146,0.28,0.16,0.176,0.07,0.03,0.04,0.056,0.63,0.52,0.62,0.609,
Indiana,0.075,0.075,0.104,0.094,0.068,0.097,0.04,0.072,0.03,0.01,0.01,0.025,0.81,0.79,0.85,0.83,
Iowa,0.023,0.046,0.029,0.04,0.048,0.094,0.03,0.063,0.02,0.02,0.01,0.024,0.92,0.84,0.92,0.902,
Kansas,0.043,0.058,0.061,0.056,0.118,0.168,0.081,0.122,0.03,0.02,0.01,0.029,0.76,0.73,0.82,0.839,
Kentucky,0.068,0.058,0.085,0.081,NR,NR,NR,NR,0.02,0.01,0.01,0.016,0.81,0.87,0.89,0.869,
Louisiana,0.31,NR,0.377,0.321,0.073,NR,0.027,0.052,0.03,NR,0.01,0.017,0.58,NR,0.58,0.622,
Maine,0.017,0.045,0.012,0.014,0.02,0.017,NA,0.017,0.02,0.01,NA,0.011,0.82,0.92,0.96,0.932,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,0.271,0.319,0.367,0.302,0.104,0.177,0.087,0.106,0.07,0.02,0.04,0.064,0.55,0.39,0.51,0.546,
Massachusetts,0.065,0.076,0.078,0.07,0.104,0.275,0.082,0.124,0.08,0.04,0.03,0.067,0.73,0.49,0.79,0.705,
Michigan,0.101,0.109,0.226,0.134,0.048,0.075,0.038,0.053,0.04,0.02,0.01,0.032,0.74,0.74,0.71,0.749,
Minnesota,0.054,0.081,0.053,0.064,0.049,0.101,0.031,0.056,0.06,0.04,0.04,0.049,0.82,0.73,0.86,0.791,
Mississippi,0.383,0.55,0.401,0.378,0.03,0.04,0.01,0.03,0.02,0,0.01,0.01,0.56,0.4,0.57,0.583,
Missouri,0.106,0.25,0.121,0.113,0.055,0.132,0.023,0.043,0.03,0.02,0.01,0.021,0.86,0.54,0.84,0.821,"5. The state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data"
Nevada,0.061,0.087,0.104,0.092,0.267,0.451,0.242,0.293,0.1,0.07,0.11,0.091,0.4,0.35,0.51,0.478,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,0.01,0.019,0.01,0.013,0.033,0.085,0.025,0.039,0.03,0.02,0.01,0.026,0.88,0.85,0.95,0.898,
New Jersey,0.086,0.135,0.168,0.124,0.179,0.303,0.205,0.21,0.11,0.05,0.06,0.096,0.51,0.46,0.56,0.545,
New Mexico,0.018,0.012,0.012,0.017,0.4,0.583,0.394,0.495,0.03,0.01,0.01,0.016,0.42,0.2,0.28,0.367,
New York,0.143,NR,0.205,0.157,0.209,NR,0.002,0.193,0.15,NR,0.08,0.087,0.69,NR,0.5,0.634,
North Carolina,0.194,0.205,0.256,0.213,0.097,0.191,0.048,0.097,0.04,0.01,0.01,0.03,0.68,0.54,0.67,0.683,
North Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,0.097,0.14,0.128,0.123,0.043,0.047,0.018,0.04,0.03,0.02,0.01,0.023,0.79,0.74,0.84,0.811,
Oklahoma,0.066,0.066,0.069,0.07,0.122,0.136,0.061,0.111,0.04,0.02,0.01,0.022,0.78,0.64,0.73,0.725,8. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,0.025,0.029,0.021,0.018,0.097,0.296,0.103,0.134,0.06,0.03,0.03,0.047,0.74,0.6,0.81,0.75,
Pennsylvania,0.061,NR,0.127,0.081,0.071,NR,0.042,0.067,0.02,NR,0.02,0.036,0.8,NR,0.81,0.881,"9. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,0.053,0.054,0.046,0.059,0.153,0.364,0.082,0.166,0.04,0.02,0.02,0.033,0.75,0.52,0.84,0.705,
South Carolina,0.219,0.263,0.322,0.264,0.057,0.084,0.023,0.057,NR,NR,NR,NR,0.6,0.6,0.64,0.668,"10. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,0.014,0.02,NA,0.022,0.003,0.045,0.013,0.037,0,0.01,0.01,0.013,0.92,0.8,0.85,0.819,
Tennessee,0.123,0.166,0.179,0.165,0.062,0.078,0.026,0.057,0.02,0.01,0.01,0.018,0.64,0.71,0.78,0.775,
Texas,0.085,0.148,0.104,0.117,0.354,0.516,0.443,0.4,0.06,0.01,0.02,0.05,0.37,0.32,0.43,0.411,
Utah,0.012,0.012,0.009,0.01,0.119,0.219,0.153,0.144,0.03,0.02,0.03,0.023,0.78,0.7,0.74,0.778,11. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,0.012,0.026,NA,0.015,0.023,0.017,NA,0.018,0.02,0.04,NA,0.016,0.95,0.89,0.96,0.938,
Virginia,0.169,0.219,0.251,0.189,0.101,0.18,0.066,0.096,0.09,0.04,0.04,0.068,0.58,0.51,0.64,0.613,
Washington,0.036,0.052,0.036,0.038,0.103,0.304,0.118,0.13,0.11,0.06,0.07,0.089,0.62,0.52,0.72,0.675,
West Virginia,0.031,0.05,0.034,0.033,NR,NR,NR,NR,NR,NR,NR,NR,0.9,0.92,0.96,0.936,12. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,0.049,0.05,0.067,0.063,0.06,0.108,0.05,0.071,0.04,0.02,0.02,0.03,0.9,0.79,0.85,0.856,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
