Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Alabama,Yes,0.72,0.24,NR,0.02,<.01,<.01,0.02,0.78,0.22,0.27,0.73,1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.
Alaska,Yes,0.37,0.02,0.05,0.05,0.22,0.01,0.34,0.85,0.15,0.73,0.27,
Arizona,,0.57,0.02,0.13,0.04,0.03,NR,0.2,0.86,0.14,0.86,0.14,
Arkansas,Yes,0.82,0.12,0.15,0.02,<.01,<.01,0.04,0.9,0.1,NR,NR,
California,,0.34,0.03,0.24,0.14,<.01,<.01,0.24,0.93,0.07,0.93,0.07,
Colorado,,0.82,0.03,0.09,0.03,0.01,<.01,0.02,0.88,0.12,0.88,0.12,
Connecticut,,0.75,0.06,0.08,0.03,<.01,NR,0.08,0.94,0.06,0.94,0.06,
Delaware,Yes,0.72,0.13,0.05,0.04,NR,NR,0.11,0.93,0.07,0.83,0.17,
District of Columbia,Yes,0.44,0.37,0.1,NR,NR,NR,0.19,0.82,0.18,0.67,0.33,
Florida,Yes,0.8,0.08,0.21,NR,<.01,NR,0.12,0.85,0.15,0.66,0.34,
Georgia,Yes,0.61,0.24,NR,0.07,<.01,NR,0.08,0.94,0.06,NR,NR,
Hawaii,Yes,0.29,0.01,NR,0.54,NR,0.15,0.01,0.82,0.18,NR,NR,
Idaho,Yes,0.83,<.01,0.07,0.02,0.01,<.01,0.13,0.74,0.26,0.63,0.37,
Illinois,,0.7,0.09,0.11,0.06,<.01,<.01,0.02,0.95,0.05,0.95,0.05,
Indiana,Yes,0.88,0.06,0.04,0.03,NR,NR,0.04,0.96,0.04,0.92,0.08,
Iowa,Yes,0.94,0.01,0.02,0.02,<.01,<.01,0.02,0.85,0.15,0.81,0.19,
Kansas,Yes,0.8,0.03,0.09,0.03,<.01,<.01,0.13,0.88,0.12,0.81,0.19,
Kentucky,Yes,0.85,0.05,NR,0.01,<.01,<.01,0.08,0.93,0.07,NR,NR,
Louisiana,Yes,0.62,0.28,NR,0.03,<.01,<.01,0.07,0.86,0.14,NR,NR,
Maine,,0.86,0.01,0.01,0.01,<.01,<.01,0.1,0.92,0.08,0.75,0.25,
Maryland,Yes,0.62,0.23,0.06,0.07,0.01,<.01,0.06,0.95,0.05,0.94,0.06,
Massachusetts,,0.8,0.05,0.07,0.06,<.01,<.01,0.02,0.9,0.1,0.9,0.1,
Michigan,,0.79,0.08,0.03,0.03,0.01,NR,0.07,0.72,0.28,0.72,0.28,
Minnesota,,0.89,0.04,0.03,0.04,0.01,NR,<.01,0.9,0.1,0.9,0.1,
Mississippi,Yes,0.58,0.33,0.02,0.02,<.01,<.01,0.06,NR,NR,0.91,0.09,
Missouri,Yes,0.84,0.07,0.04,0.02,<.01,<.01,0.06,NR,NR,NR,NR,"2. As of 3/29, the state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.89,0.03,0.07,0.03,0,<.01,0.05,0.96,0.04,0.93,0.07,
Nevada,,0.49,0.06,0.18,0.12,0.01,NR,0.15,NR,NR,NR,NR,
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,0.63,0.06,0.1,0.1,NR,NR,0.11,0.91,0.09,0.91,0.09,
New Mexico,,0.45,0.02,0.4,0.03,0.09,NR,0.02,0.92,0.08,0.92,0.08,
New York,Yes,0.76,0.1,0.14,0.13,NR,NR,0.01,NR,NR,NR,NR,
North Carolina,Yes,0.73,0.17,0.06,0.04,0.01,NR,0.05,0.95,0.05,0.91,0.09,
