Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Alabama,Yes,0.76,0.21,NR,0.02,<.01,<.01,0.01,0.72,0.28,0.11,0.89,"1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state. 2. Data is as of 3/16, the most recently available data. "
Alaska,Yes,0.36,0.01,0.04,0.05,0.22,0.01,0.35,0.86,0.14,0.73,0.27,
Arizona,,0.58,0.02,0.15,0.04,0.03,NR,0.21,0.85,0.15,0.85,0.15,
Arkansas,Yes,0.84,0.11,0.1,0.01,<.01,<.01,0.03,0.9,0.1,NR,NR,
California,,0.35,0.03,0.22,0.14,<.01,<.01,0.25,0.87,0.13,0.87,0.13,
Colorado,,0.83,0.03,0.09,0.03,0.01,<.01,0.02,0.88,0.12,0.88,0.12,
Connecticut,,0.75,0.06,0.07,0.03,<.01,NR,0.08,0.93,0.07,0.93,0.07,
Delaware,Yes,0.74,0.11,0.04,0.03,NR,NR,0.11,0.91,0.09,0.79,0.21,
District of Columbia,Yes,0.41,0.36,0.08,NR,NR,NR,0.23,0.9,0.1,0.7,0.3,
Florida,Yes,0.8,0.07,0.19,NR,<.01,NR,0.12,0.84,0.16,0.64,0.36,
Georgia,Yes,0.65,0.23,0.03,0.05,<.01,<.01,0.07,0.93,0.07,0.74,0.26,"3. As of 3/29, the state has removed reporting of vaccine data by race/ethnicity. Data is as of 3/22."
Hawaii,Yes,0.29,0.01,NR,0.57,NR,0.12,0.01,0.82,0.18,NR,NR,
Idaho,Yes,0.83,<.01,0.06,0.01,0.01,<.01,0.14,0.72,0.28,0.6,0.4,
Illinois,,0.72,0.09,0.11,0.06,<.01,<.01,0.02,0.95,0.05,0.95,0.05,
Indiana,Yes,0.89,0.06,0.03,0.02,NR,NR,0.03,0.96,0.04,0.93,0.07,
Iowa,Yes,0.95,0.01,0.02,0.01,<.01,<.01,0.02,0.85,0.15,0.81,0.19,
Kansas,Yes,0.78,0.03,0.08,0.02,<.01,<.01,0.17,0.87,0.13,0.81,0.19,
Kentucky,Yes,0.86,0.05,NR,0.01,<.01,<.01,0.08,0.93,0.07,NR,NR,
Louisiana,Yes,0.63,0.27,NR,0.02,<.01,<.01,0.07,0.86,0.14,NR,NR,
Maine,,0.97,0.01,0.01,0.01,0.01,<.01,NR,0.8,0.2,0.73,0.27,4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Maryland,Yes,0.64,0.23,0.05,0.07,0.01,<.01,0.06,0.95,0.05,0.94,0.06,
Massachusetts,,0.82,0.06,0.06,0.05,<.01,<.01,0.02,0.88,0.12,0.88,0.12,
Michigan,,0.81,0.08,0.02,0.05,0.01,NR,0.03,0.7,0.3,0.7,0.3,
Minnesota,,0.9,0.04,0.02,0.03,0.01,NR,<.01,0.83,0.17,0.83,0.17,
Mississippi,Yes,0.6,0.32,0.02,0.02,<.01,<.01,0.06,NR,NR,0.9,0.1,
Missouri,Yes,0.84,0.07,0.04,0.02,<.01,<.01,0.07,NR,NR,NR,NR,"5. As of 3/29, the state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.88,0.03,0.07,0.03,<.01,<.01,0.05,0.91,0.09,0.9,0.1,
Nevada,,0.52,0.05,0.16,0.11,0.01,NR,0.16,NR,NR,NR,NR,
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,0.65,0.06,0.08,0.09,NR,NR,0.12,0.9,0.1,0.9,0.1,
New Mexico,,0.46,0.01,0.38,0.02,0.1,NR,0.02,0.91,0.09,0.91,0.09,
New York,Yes,0.77,0.1,0.13,0.12,NR,NR,0.01,NR,NR,NR,NR,
North Carolina,Yes,0.74,0.17,0.05,0.03,0.01,NR,0.05,0.95,0.05,0.92,0.08,
North Dakota,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,Yes,0.85,0.07,0.02,0.02,<.01,<.01,0.05,0.94,0.06,0.79,0.21,
Oklahoma,Yes,0.83,0.05,0.07,0.03,0.06,NR,0.03,0.77,0.23,0.69,0.31,4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.8,0.02,0.06,0.04,0.02,0.01,0.06,0.9,0.1,0.9,0.1,
Pennsylvania,Yes,0.85,0.04,0.03,<.01,<.01,<.01,0.11,0.85,0.15,0.68,0.32,7. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.8,0.03,0.09,0.02,<.01,<.01,0.05,0.88,0.12,0.88,0.12,
South Carolina,Yes,0.66,0.17,0.02,NR,NR,NR,0.14,0.93,0.07,0.88,0.12,"8. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Tennessee,Yes,0.75,0.11,0.03,0.02,NR,NR,0.12,0.93,0.07,0.86,0.14,
Texas,,0.48,0.08,0.28,0.07,NR,NR,0.09,0.85,0.15,0.85,0.15,
Utah,,0.84,0.01,0.07,0.03,0.01,0.01,0.04,0.91,0.09,0.91,0.09,9. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,Yes,0.97,0.01,NR,0.01,<.01,<.01,0.01,0.94,0.06,NR,NR,
Virginia,,0.68,0.14,0.07,0.04,<.01,NR,0.06,0.63,0.37,0.63,0.37,
Washington,,0.67,0.03,0.07,0.09,0.02,0.01,0.12,0.93,0.07,0.93,0.07,
West Virginia,Yes,0.96,0.03,NR,NR,NR,NR,0.01,0.93,0.07,NR,NR,4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.94,0.03,0.03,0.02,0.01,NR,0.04,0.93,0.07,0.93,0.07,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
