Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.58,0.51,1.14,-7.01,0.56,1.03,-1.94,0.77,0.76,18.22,
Alabama,Yes,0.46,0.46,0.99,0.6,0.5,0.91,4.43,0.75,0.61,29,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.48,0.53,0.9,5.13,0.43,1.12,-4.97,0.7,0.69,21.73,
Arizona,,0.56,0.45,1.24,-10.99,0.37,1.49,-18.47,0.72,0.78,15.61,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.69,0.59,1.17,-10.04,0.57,1.22,-12.44,0.79,0.87,10.43,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.74,0.65,1.15,-9.65,0.4,1.86,-34.33,0.68,1.09,-6.4,
Connecticut,,0.75,0.59,1.26,-15.73,0.66,1.13,-8.67,0.79,0.95,4.14,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.68,0.55,1.25,-13.5,0.59,1.16,-9.45,0.82,0.83,13.52,
District of Columbia,Yes,0.61,0.49,1.24,-11.9,0.67,0.92,5.45,0.85,0.72,23.38,
Florida,,0.58,0.38,1.52,-19.58,0.62,0.93,4.43,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.52,0.49,1.07,-3.21,0.49,1.06,-2.84,0.85,0.61,32.92,
Hawaii,Yes,0.6,0.54,1.11,-5.95,NR,NR,NR,0.74,0.8,14.68,
Idaho,Yes,0.41,0.4,1.03,-1,0.38,1.08,-3,0.55,0.75,14,"4. As of 12/13, ID has switched to reporting rates of each race and ethnicity group vaccinated, instead of distribution counts or percentages."
Illinois,,0.68,0.56,1.2,-11.3,0.6,1.13,-7.87,0.83,0.81,15.95,
Indiana,Yes,0.48,0.41,1.19,-7.56,0.54,0.89,5.82,0.67,0.72,18.92,
Iowa,Yes,0.58,0.5,1.16,-8.07,0.45,1.28,-12.68,0.92,0.63,34.16,
Kansas,Yes,0.48,0.41,1.16,-6.58,0.49,0.97,1.3,0.57,0.83,9.88,
Kentucky,Yes,0.54,0.5,1.09,-4.34,NR,NR,NR,0.72,0.75,17.9,"5. As of 12/13, KY transitioned to reporting Asian and Pacific Islander categories jointly."
Louisiana,Yes,0.53,0.57,0.94,3.51,0.6,0.88,7.08,0.91,0.58,37.87,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 6. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.74,0.67,1.1,-6.73,0.73,1.01,-0.7,0.88,0.84,13.98,
Massachusetts,,0.81,0.73,1.11,-8.23,0.68,1.2,-13.65,0.89,0.91,7.69,
Michigan,,0.52,0.4,1.3,-12,0.5,1.03,-1.66,0.61,0.85,9.41,
Minnesota,,0.64,0.57,1.11,-6.56,0.57,1.12,-6.86,0.76,0.84,11.76,
Mississippi,Yes,0.51,0.55,0.93,3.82,0.52,0.98,1.3,0.91,0.56,40.1,
Missouri,Yes,0.49,0.45,1.08,-3.83,0.67,0.73,18.16,0.69,0.72,19.44,"7. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"8. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data."
Nevada,,0.45,0.37,1.2,-7.4,0.52,0.85,7.59,0.58,0.76,13.86,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.58,0.45,1.3,-13.34,0.51,1.13,-6.82,0.74,0.78,16.19,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.8,0.67,1.19,-12.8,0.62,1.3,-18.6,0.99,0.81,18.9,9. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.64,0.59,1.09,-5.52,0.72,0.89,8.17,0.99,0.65,34.61,
North Carolina,Yes,0.56,0.53,1.06,-3.12,0.55,1.02,-0.85,0.85,0.66,29.28,
North Dakota,Yes,0.66,0.5,1.32,-16,0.55,1.2,-11,0.57,1.15,-8.6,10. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.57,0.48,1.19,-8.97,0.56,1.01,-0.57,0.84,0.67,27.83,
Oklahoma,Yes,0.46,0.42,1.07,-3.15,0.43,1.05,-2.25,0.8,0.57,34.78,11. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.69,>.99,0.62,42.36,0.5,1.37,-18.43,0.9,0.76,21.36,
Pennsylvania,Yes,0.59,0.64,0.91,5.86,0.44,1.34,-14.87,0.47,1.25,-11.79,"12. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.7,0.6,1.17,-9.96,0.63,1.11,-7.21,0.76,0.92,6.17,
