Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.47,0.34,1.38,-12.93,0.39,1.21,-7.96,0.62,0.76,15.03,
Alabama,Yes,0.32,0.3,1.06,-1.78,0.26,1.23,-5.98,0.61,0.53,28.36,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.38,0.44,0.86,5.96,0.29,1.3,-8.76,0.52,0.72,14.71,
Arizona,,0.44,0.3,1.47,-14.02,0.24,1.85,-20.18,0.57,0.77,12.88,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.58,0.43,1.36,-15.44,0.42,1.39,-16.31,0.68,0.85,10,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.58,0.44,1.3,-13.41,0.26,2.21,-31.68,0.54,1.06,-3.34,
Connecticut,,0.63,0.42,1.52,-21.57,0.48,1.31,-15.05,0.68,0.93,4.51,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.51,0.37,1.39,-14.47,0.41,1.26,-10.53,0.61,0.84,9.8,
District of Columbia,Yes,0.44,0.32,1.37,-11.86,0.44,1,0.04,0.54,0.8,11,
Florida,,0.49,0.24,2.04,-25.18,0.39,1.28,-10.65,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.4,0.33,1.21,-6.76,0.31,1.28,-8.72,0.71,0.56,31.33,
Hawaii,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Idaho,Yes,0.28,0.31,0.91,2.74,0.21,1.35,-7.45,0.46,0.61,17.95,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.44,0.33,1.36,-11.68,0.35,1.26,-9.06,0.64,0.69,19.6,
Iowa,Yes,0.46,0.22,2.11,-24.25,0.28,1.64,-18.01,0.46,0.99,0.34,
Kansas,Yes,0.38,0.3,1.27,-8.01,0.34,1.13,-4.25,0.47,0.81,8.78,
Kentucky,Yes,0.4,0.34,1.19,-6.39,NR,NR,NR,0.52,0.77,12.13,
Louisiana,Yes,0.36,0.35,1.04,-1.31,0.36,1,0.07,0.67,0.55,30.15,
