State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.234,0.292,0.289,0.266,,,,,0.020,0.010,0.000,0.014,0.720,0.570,0.685,0.681,"1,6"
Alaska,0.015,0.032,NA,0.023,0.044,0.097,0.039,0.070,0.050,0.051,0.110,0.060,0.370,0.380,0.380,0.650,
Arizona,0.023,0.038,0.032,0.043,0.124,0.360,0.310,0.318,0.040,0.018,0.020,0.033,0.580,0.450,0.510,0.542,
Arkansas,0.117,0.179,0.145,0.153,0.121,0.106,0.039,0.078,0.010,0.010,0.010,0.016,0.830,0.730,0.790,0.770,
California,0.035,0.041,0.062,0.053,0.229,0.554,0.474,0.395,0.140,0.068,0.130,0.147,0.340,0.200,0.320,0.364,
Colorado,0.028,0.038,0.045,0.038,0.093,0.357,0.246,0.218,0.030,0.019,0.030,0.032,0.820,0.540,0.650,0.678,
Connecticut,0.060,0.107,0.126,0.100,0.081,0.227,0.101,0.169,0.030,0.016,0.010,0.046,0.750,0.470,0.750,0.657,
Delaware,0.116,0.235,0.213,0.223,0.045,0.173,0.042,0.097,0.030,0.022,0.010,0.040,0.740,0.510,0.730,0.678,
District of Columbia,0.372,0.491,0.692,0.463,0.084,0.219,0.148,0.112,,,,,0.430,0.260,0.140,0.414,
Florida,0.076,0.144,0.168,0.158,0.201,0.368,0.252,0.266,,,,,0.800,0.400,0.560,0.747,
Georgia,,,,,,,,,,,,,,,,,6
Hawaii,0.008,0.030,NA,0.013,,,,,0.570,0.314,0.510,0.400,0.290,0.190,0.080,0.225,
Idaho,0.004,0.009,NA,0.007,0.069,0.190,0.106,0.129,0.020,0.010,0.010,0.013,0.830,0.850,0.850,0.894,
Illinois,0.092,0.127,0.171,0.136,0.111,0.252,0.164,0.176,0.060,0.031,0.040,0.056,0.710,0.540,0.620,0.609,
Indiana,0.059,0.077,0.097,0.094,0.034,0.099,0.039,0.072,0.020,0.016,0.010,0.025,0.890,0.780,0.850,0.830,
Iowa,0.014,0.048,0.027,0.040,0.022,0.097,0.029,0.063,0.010,0.016,0.010,0.024,0.950,0.940,0.920,0.902,
Kansas,0.032,0.059,0.058,0.056,0.084,0.177,0.081,0.122,0.020,0.023,0.010,0.029,0.790,0.860,0.820,0.839,
Kentucky,0.050,0.080,0.088,0.081,NR,,,,0.010,0.011,0.010,0.016,0.860,0.860,0.890,0.869,
Louisiana,0.276,0.334,0.390,0.321,NR,,,,0.020,0.041,0.010,0.017,0.620,0.540,0.570,0.622,
Maine,0.008,0.056,0.013,0.014,0.012,0.022,NA,0.017,0.010,0.012,NA,0.011,0.970,0.900,0.960,0.932,2
Maryland,0.231,0.333,0.352,0.302,0.054,0.185,0.089,0.106,0.070,0.026,0.040,0.064,0.630,0.400,0.520,0.546,
Massachusetts,0.055,0.079,0.075,0.070,0.062,0.283,0.079,0.124,0.050,0.036,0.030,0.067,0.810,0.490,0.800,0.705,
Michigan,0.079,0.141,0.232,0.134,0.021,0.074,0.035,0.053,0.050,0.020,0.010,0.032,0.770,0.720,0.710,0.749,
Minnesota,0.037,0.086,0.049,0.064,0.025,0.097,0.029,0.056,0.040,0.047,0.040,0.049,0.890,0.720,0.870,0.791,
Mississippi,0.325,0.378,0.399,0.378,0.018,0.025,0.009,0.030,0.020,0.005,0.010,0.010,0.590,0.540,0.570,0.583,
Missouri,0.070,0.116,0.121,0.113,0.042,0.062,0.022,0.043,0.020,0.012,0.010,0.021,0.840,0.690,0.840,0.821,
Montana,,,,,,,,,,,,,,,,,
Nebraska,0.035,0.043,0.036,0.049,0.089,0.223,0.076,0.113,0.030,0.024,0.010,0.024,0.870,0.890,0.870,0.863,
Nevada,0.054,0.076,0.096,0.092,0.162,0.360,0.257,0.293,0.110,0.082,0.110,0.085,0.510,0.370,0.510,0.478,
New Hampshire,,,,,,,,,,,,,,,,,
New Jersey,0.058,0.110,0.162,0.124,0.090,0.253,0.204,0.210,0.090,0.048,0.060,0.096,0.640,0.420,0.570,0.545,
