,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,% of Cases with Known Race,% of Cases with Unknown Race
,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow
Alabama,0.66,0.65,0.27,0.27,0.04,0.04,0.01,0.01,<0.01,<0.01,<0.01,NA,0.03,0.02,0.55,0.45
Alaska,NR,0.60,NR,0.02,NR,0.07,NR,0.06,NR,0.15,NR,0.01,NR,0.08,0.45,0.55
Arizona,0.47,0.54,0.04,0.04,0.39,0.32,0.02,0.03,0.05,0.04,<0.01,<0.01,0.03,0.02,0.75,0.25
Arkansas,0.67,0.72,0.19,0.15,0.11,0.08,0.01,0.02,<0.01,0.01,0.01,<0.01,0.01,0.02,0.83,0.17
California,0.24,0.36,0.05,0.05,0.58,0.40,0.07,0.15,<0.01,<0.01,0.01,<0.01,0.05,0.03,0.73,0.27
Colorado,0.56,0.68,0.03,0.04,0.37,0.22,0.02,0.03,<0.01,0.01,<0.01,<0.01,0.02,0.03,0.57,0.43
Connecticut,NR,0.66,NR,0.10,NR,0.17,NR,0.05,NR,<0.01,NR,NA,NR,0.03,0.35,0.65
Delaware,NR,0.61,NR,0.22,NR,0.10,NR,0.04,NR,<0.01,NR,NA,NR,0.03,0.44,0.56
District of Columbia,0.20,0.37,0.58,0.45,0.16,0.11,0.02,0.04,<0.01,<0.01,<0.01,NA,0.05,0.03,0.81,0.19
Florida,0.40,0.53,0.16,0.15,0.38,0.27,0.01,0.03,<0.01,<0.01,<0.01,<0.01,0.05,0.02,0.85,0.15
Georgia,NR,0.52,NR,0.31,NR,0.10,NR,0.04,NR,<0.01,NR,<0.01,NR,0.02,0.45,0.55
Hawaii,0.13,0.20,0.01,0.01,0.10,0.10,0.42,0.39,<0.01,<0.01,<0.01,0.10,0.33,0.18,0.73,0.27
Idaho,0.80,0.82,0.01,0.01,0.16,0.13,0.01,0.01,0.01,0.01,<0.01,NA,0.01,0.03,0.54,0.46
Illinois,0.55,0.61,0.14,0.14,0.24,0.18,0.03,0.06,<0.01,<0.01,<0.01,<0.01,0.03,0.02,0.62,0.38
Indiana,0.81,0.79,0.08,0.09,0.09,0.07,0.01,0.02,<0.01,<0.01,<0.01,NA,0.01,0.02,0.64,0.36
Iowa,0.84,0.85,0.05,0.04,0.09,0.06,0.02,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,0.02,0.57,0.43
Kansas,0.74,0.76,0.06,0.05,0.15,0.12,0.02,0.03,0.01,0.01,<0.01,NA,0.02,0.03,0.77,0.23
Kentucky,0.88,0.84,0.06,0.08,0.04,0.04,0.01,0.02,<0.01,<0.01,<0.01,NA,0.01,0.02,0.76,0.24
Louisiana,NR,0.59,NR,0.32,NR,0.05,NR,0.02,NR,<0.01,NR,NA,NR,0.02,0.19,0.81
