,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures*,Face Covering Requirement,Emergency Declaration
,Yes/No,Text--narrow,Text--narrow,Text,Text--narrow,Text,Text,Text--narrow,Text--narrow
United States,Paused (4); New Restrictions Imposed (40); Reopened (7),Stay at Home Order Eased or Lifted (42); New Stay at Home Order in Place (3); No Action (6),Traveler Quarantine Mandate in Place (11); Traveler Quarantine Mandate Eased or Lifted (20); No Action (20),Some or All Non-Essential Businesses Permitted to Reopen (29); New Business Closures or Limits (17); No Action (5),All Gatherings Prohibited (7); >10 Prohibited (19); >25 Prohibited (5); >50 Prohibited (5); No Limit (15),"Reopened to Dine-in Service (20), Newly Closed to Indoor Dining (6); New Service Limits (24), No Action (1)",Closed (15); Reopened (17); New Service Limits (19),Required for General Public (40); Required for Certain Employees (5); Allows Local Officals to Require for General Public (4); No Action (4),Yes (51); No (0)
Alabama,Paused,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,No Limit,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Alaska,Reopened,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service ,Reopened,Required for Certain Employees,Yes
Arizona,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,>50 Prohibited,New Service Limits,New Service Limits,"Required for Certain Employees;
Allows Local Officials to Require for General Public",Yes
Arkansas,Paused,-,Lifted,-,No Limit,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
California,New Restrictions Imposed,Regions of High Transmission,-,New Business Closures or Limits,All Gatherings Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Colorado,New Restrictions Imposed,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Connecticut,New Restrictions Imposed,Lifted,From Certain States,New Business Closures or Limits,>10 Prohibited,New Service Limits,Closed,Required for General Public,Yes
Delaware,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Yes
District of Columbia,New Restrictions Imposed,Lifted,From Certain States,New Business Closures or Limits,>10 Prohibited,New Service Limits,Closed,Required for General Public,Yes
Florida,Reopened,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen ,No Limit,Reopened to Dine-in Service ,Reopened,-,Yes
Georgia,Paused,Rolled Back to High Risk Groups,-,All Non-Essential Businesses Permitted to Reopen ,>50 Prohibited,Reopened to Dine-in Service ,Reopened,"Required for Certain Employees;
Allows Local Officials to Require for General Public",Yes
Hawaii,New Restrictions Imposed,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Idaho,New Restrictions Imposed,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen ,>10 Prohibited,New Service Limits,New Service Limits,Required for Certain Employees,Yes
Illinois,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,All Gatherings Prohibited,Newly Closed to Indoor Dining,Closed,Required for General Public,Yes
Indiana,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen,>25 Prohibited,Reopened to Dine-in Service ,Reopened,Required for General Public,Yes
Iowa,New Restrictions Imposed,-,-,All Non-Essential Businesses Permitted to Reopen,>25 Prohibited,New Service Limits,Reopened,Required for General Public,Yes
Kansas,Reopened,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service ,Reopened,Required for General Public,Yes
Kentucky,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Louisiana,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>50 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Maine,New Restrictions Imposed,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>50 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Maryland,New Restrictions Imposed,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,No Limit,New Service Limits,New Service Limits,Required for General Public,Yes
Massachusetts,New Restrictions Imposed,Rolled Back to High Risk Groups,All Travelers,New Business Closures or Limits,>10 Prohibited,New Service Limits,Closed,Required for General Public,Yes
Michigan,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,>10 Prohibited,Newly Closed to Indoor Dining,Closed,Required for General Public,Yes
Minnesota,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,All Gatherings Prohibited,New Service Limits,Reopened,Required for General Public,Yes
Mississippi,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Missouri,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service,Reopened,-,Yes
Montana,New Restrictions Imposed,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>25 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Nebraska,New Restrictions Imposed,-,Rolled Back to International Travel,-,No Limit,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Yes
Nevada,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
New Hampshire,Paused,Lifted,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,No Limit,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
New Jersey,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
New Mexico,New Restrictions Imposed,Lifted,Rolled Back to Certain States,New Business Closures or Limits,>10 Prohibited,Newly Closed to Indoor Dining,Closed,Required for General Public,Yes
New York,New Restrictions Imposed,Rolled Back to High Risk Groups,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
North Carolina,New Restrictions Imposed,During Curfew Hours,-,New Business Closures or Limits,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
North Dakota,New Restrictions Imposed,-,Lifted,All Non-Essential Businesses Permitted to Reopen,>50 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Ohio,New Restrictions Imposed,During Curfew Hours,Lifted,All Non-Essential Businesses Permitted to Reopen,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Oklahoma,New Restrictions Imposed,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,No Limit,New Service Limits,New Service Limits,-,Yes
Oregon,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,>10 Prohibited,Newly Closed to Indoor Dining,New Service Limits,Required for General Public,Yes
