Location,Race Categories Include Hispanic Individuals,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,Unknown Race % of Cases,Unknown Ethnicity% of Cases,Footnotes
Alabama,Yes,0.38,0.68,0.42,0.27,0.09,0.04,<.01,0.01,NR,<.01,NR,NA,0.05,0.04,0.15,0.21,1
Alaska,Yes,0.6,0.64,0.03,0.03,0.08,0.07,0.1,0.06,0.11,0.16,0.03,0.01,0.06,0.1,0.08,0.1,
Arizona,,0.21,0.54,0.03,0.04,0.24,0.32,0.01,0.03,0.13,0.04,NR,<.01,0.03,0.02,0.36,0.36,
Arkansas,Yes,0.47,0.77,0.29,0.15,0.19,0.08,0.01,0.02,<.01,0.01,0.05,<.01,0.09,0.06,0.09,NR,
California,,0.14,0.37,0.04,0.05,0.39,0.39,0.06,0.15,<.01,<.01,0.01,<.01,0.08,0.03,0.29,0.29,
Colorado,,0.34,0.68,0.06,0.04,0.38,0.22,0.03,0.03,0.01,<.01,<.01,<.01,0.02,0.03,0.17,0.17,2
Connecticut,,0.34,0.66,0.13,0.1,0.18,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.32,0.32,
Delaware,,0.28,0.62,0.29,0.21,0.26,0.09,0.02,0.04,NR,<.01,NR,NA,0.05,0.03,0.1,0.1,
District of Columbia,Yes,0.15,0.42,0.46,0.46,0.26,0.11,0.01,0.04,<.01,<.01,<.01,NA,0.25,0.08,0.12,0.18,
Florida,,0.26,0.53,0.19,0.15,0.35,0.26,NR,0.03,NR,<.01,NR,<.01,0.04,0.02,0.16,0.19,
Georgia,,0.25,0.52,0.31,0.31,0.14,0.1,0.01,0.04,<.01,<.01,<.01,<.01,0.02,0.02,0.26,0.36,
Hawaii,Yes,0.24,0.23,0.01,0.02,NR,0.1,0.35,0.39,NR,<.01,0.22,0.1,0.03,0.26,0.16,NR,
Idaho,Yes,0.52,0.9,0.02,0.01,0.23,0.13,0.01,0.02,0.02,0.01,<.01,NA,0.16,0.06,0.28,0.3,
Illinois,,0.2,0.61,0.17,0.14,0.32,0.17,0.03,0.06,<.01,<.01,<.01,<.01,0.04,0.02,0.25,0.25,
Indiana,Yes,0.44,0.83,0.13,0.09,0.12,0.07,0.02,0.02,NR,<.01,NR,NA,0.18,0.05,0.23,0.55,
Iowa,Yes,0.59,0.9,0.11,0.03,0.27,0.06,0.09,0.03,NR,<.01,NR,NA,0.21,0.03,NR,0.16,
Kansas,Yes,0.62,0.84,0.1,0.06,0.43,0.12,0.06,0.03,0.01,0.01,NR,NA,0.03,0.06,0.18,0.17,
Kentucky,Yes,0.5,0.87,0.11,0.08,0.1,0.04,0.04,0.01,<.01,<.01,<.01,NA,0.04,0.03,0.31,0.32,
Louisiana,,NR,0.59,NR,0.32,NR,0.05,NR,0.02,NR,0.01,NR,NA,NR,0.02,NR,NR,1
Maine,Yes,0.61,0.95,0.2,0.01,0.03,0.01,0.01,0.01,<.01,<.01,<.01,NA,0.02,0.02,0.15,0.22,
Maryland,,0.2,0.5,0.29,0.29,0.26,0.1,0.02,0.06,NR,<.01,NR,NA,0.05,0.03,0.18,0.18,1
Massachusetts,,0.29,0.71,0.09,0.07,0.19,0.12,0.02,0.07,NR,<.01,NR,NA,0.05,0.03,0.36,0.36,
Michigan,Yes,0.38,0.78,0.31,0.14,0.07,0.05,0.02,0.03,<.01,0.01,NR,<.01,0.13,0.04,0.16,0.29,1
Minnesota,Yes,0.35,0.83,0.22,0.07,0.21,0.05,0.07,0.05,0.01,0.01,<.01,NA,0.15,0.05,0.21,0.23,
Mississippi,,0.28,0.57,0.54,0.38,0.06,0.03,<.01,0.01,0.05,<.01,NR,NA,0.03,0.01,0.04,0.15,
Missouri,Yes,0.43,0.82,0.31,0.11,0.09,0.04,NR,0.02,NR,<.01,NR,<.01,0.09,0.04,0.17,0.24,2
Montana,Yes,0.85,0.89,<.01,<.01,0.06,0.04,<.01,0.01,0.13,0.06,NR,NA,0.01,0.04,0.01,0.05,
Nebraska,,NR,0.79,NR,0.04,NR,0.11,NR,0.02,NR,0.01,NR,NA,NR,0.03,NR,NR,
Nevada,,0.25,0.49,0.08,0.09,0.23,0.29,0.07,0.08,0.01,0.01,NR,0.01,NR,0.04,0.36,0.36,
New Hampshire,,0.55,0.9,0.05,0.01,0.07,0.04,0.02,0.03,NR,NA,NR,NA,0.05,0.02,0.26,0.26,
New Jersey,,0.2,0.55,0.1,0.13,0.17,0.21,0.03,0.1,NR,<.01,NR,NA,0.07,0.02,0.43,0.43,2
New Mexico,,0.11,0.37,0.02,0.02,0.26,0.49,0.01,0.02,0.55,0.09,NR,NA,NR,0.02,0.05,0.05,
New York (Excludes New York City),,NR,0.55,NR,0.14,NR,0.19,NR,0.09,NR,<.01,NR,NA,NR,0.03,NR,NR,
New York City,,NR,0.32,NR,0.22,NR,0.29,NR,0.07,NR,NA,NR,NA,NR,NA,NR,NR,2
North Carolina,Yes,0.39,0.68,0.2,0.21,0.28,0.1,0.02,0.03,0.01,0.01,<.01,<.01,0.1,0.06,0.28,0.31,
North Dakota,,NR,0.84,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.02,NR,NR,
Ohio,Yes,0.51,0.81,0.25,0.12,0.08,0.04,0.03,0.02,<.01,<.01,<.01,NA,0.11,0.04,0.09,0.23,
Oklahoma,Yes,0.65,0.72,0.09,0.07,NR,0.11,0.03,0.02,0.07,0.08,NR,<.01,0.04,0.11,0.12,NR,1
Oregon,Yes,0.48,0.84,0.03,0.02,0.34,0.13,0.03,0.05,0.02,0.01,0.02,<.01,0.31,0.08,0.11,0.11,1
Pennsylvania,Yes,0.28,0.8,0.12,0.11,0.08,0.08,0.01,0.04,NR,<.01,NR,<.01,0.01,0.05,0.57,0.73,
Rhode Island,,0.28,0.72,0.1,0.06,0.35,0.16,NR,0.03,NR,NA,NR,NA,0.05,0.03,0.23,0.23,
South Carolina,Yes,0.41,0.67,0.42,0.26,0.14,0.06,0.02,0.02,NR,<.01,NR,NA,0.08,0.04,0.08,0.14,2
South Dakota,,0.31,0.82,0.17,0.02,0.17,0.04,0.12,0.01,0.11,0.09,NR,NA,0.12,0.02,<.01,<.01,
Tennessee,Yes,0.43,0.78,0.22,0.17,0.24,0.05,0.02,0.02,NR,<.01,NR,<.01,0.15,0.04,0.19,0.28,
Texas,,0.28,0.41,0.16,0.12,0.4,0.4,0.03,0.05,NR,<.01,NR,<.01,0.01,0.02,0.13,0.13,
Utah,,0.35,0.78,0.03,0.01,0.41,0.14,0.02,0.02,0.03,0.01,0.04,0.01,0.11,0.03,0.12,0.12,
Vermont,Yes,0.86,0.94,0.07,0.01,0.03,0.02,0.03,0.02,<.01,<.01,NR,NA,0.01,0.02,0.03,0.1,
Virginia,Yes,0.31,0.68,0.14,0.19,0.33,0.1,NR,0.07,NR,<.01,NR,<.01,0.23,0.06,0.32,0.34,
Washington,,0.27,0.68,0.05,0.04,0.29,0.13,0.05,0.09,0.01,0.01,0.02,0.01,0.03,0.05,0.29,0.29,
West Virginia,Yes,0.79,0.93,0.07,0.04,NR,0.01,NR,0.01,NR,<.01,NR,NA,0.14,0.02,0,NR,
Wisconsin,Yes,0.52,0.85,0.19,0.06,0.34,0.07,0.04,0.03,0.01,0.01,NR,<.01,0.13,0.05,0.11,0.12,
Wyoming,,0.49,0.84,0.01,<.01,0.11,0.1,0.01,0.01,0.34,0.02,NR,NA,0.02,0.02,0.07,0.07,
