Location,Race Categories Include Hispanic Individuals,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,Unknown Race % of Cases,Unknown Ethnicity% of Cases,Footnotes
Alabama,Yes,0.33,0.68,0.26,0.27,0.06,0.04,<.01,0.01,NR,<.01,NR,NA,0.07,0.04,0.34,0.46,
Alaska,Yes,0.22,0.64,0.03,0.03,0.05,0.07,0.02,0.06,0.15,0.16,0.03,0.01,0.06,0.1,0.47,0.61,
Arizona,,0.24,0.54,0.03,0.04,0.3,0.32,0.01,0.03,0.06,0.04,NR,<.01,0.03,0.02,0.33,0.33,
Arkansas,Yes,0.56,0.77,0.21,0.15,0.2,0.08,0.01,0.02,<.01,0.01,0.03,<.01,0.08,0.06,0.1,0,
California,,0.12,0.37,0.03,0.05,0.42,0.39,0.04,0.15,<.01,<.01,<.01,<.01,0.08,0.03,0.32,0.32,
Colorado,,0.37,0.68,0.05,0.04,0.38,0.22,0.02,0.03,0.01,<.01,<.01,<.01,0.02,0.03,0.16,0.16,
Connecticut,,0.35,0.66,0.13,0.1,0.19,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.3,0.3,
Delaware,,0.36,0.62,0.27,0.21,0.24,0.09,0.01,0.04,NR,<.01,NR,NA,0.05,0.03,0.08,0.08,
District of Columbia,Yes,0.22,0.42,0.51,0.46,0.26,0.11,0.02,0.04,<.01,<.01,<.01,NA,0.24,0.08,0.01,0.09,
Florida,,0.25,0.53,0.15,0.15,0.29,0.26,NR,0.03,NR,<.01,NR,<.01,0.07,0.02,0.25,0.32,
