Location,Race Categories Include Hispanic Individuals,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,Unknown Race % of Cases,Unknown Ethnicity% of Cases
Alabama,Yes,0.34,0.68,0.35,0.27,0.1,0.04,<.01,0.01,NR,<.01,NR,NA,0.06,0.04,0.24,0.31
Alaska,Yes,0.48,0.64,0.02,0.03,0.06,0.07,0.05,0.06,0.12,0.16,0.03,0.01,0.05,0.1,0.26,0.31
Arizona,,0.15,0.54,0.02,0.04,0.23,0.32,0.01,0.03,0.07,0.04,NR,<.01,0.02,0.02,0.5,NR
Arkansas,Yes,0.47,0.77,0.22,0.15,0.24,0.08,0.01,0.02,<.01,0.01,0.07,<.01,0.14,0.06,0.09,NR
California,,0.11,0.37,0.03,0.05,0.37,0.39,0.04,0.15,<.01,<.01,<.01,<.01,0.1,0.03,0.34,NR
Colorado,,0.34,0.68,0.05,0.04,0.38,0.22,0.02,0.03,0.01,<.01,<.01,<.01,0.02,0.03,0.18,0.18
Connecticut,,0.35,0.66,0.13,0.1,0.19,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.3,NR
Delaware,,0.31,0.62,0.26,0.21,0.27,0.09,0.01,0.04,NR,<.01,NR,NA,0.05,0.03,0.1,NR
District of Columbia,Yes,0.21,0.42,0.5,0.46,0.29,0.11,0.02,0.04,<.01,<.01,<.01,NA,0.26,0.08,0.02,0.12
Florida,,0.22,0.53,0.15,0.15,0.27,0.26,NR,0.03,NR,<.01,NR,<.01,0.04,0.02,0.33,0.39
Georgia,,0.24,0.52,0.27,0.31,0.16,0.1,0.01,0.04,<.01,<.01,<.01,<.01,0.03,0.02,0.28,0.37
Hawaii,Yes,0.21,0.23,0.01,0.02,NR,0.1,0.34,0.39,NR,<.01,0.33,0.1,0.02,0.26,0.09,NR
Idaho,Yes,0.49,0.9,0.01,0.01,0.2,0.13,0.01,0.02,0.01,0.01,<.01,NA,0.14,0.06,0.33,0.43
Illinois,,0.21,0.61,0.17,0.14,0.32,0.17,0.03,0.06,<.01,<.01,<.01,<.01,0.04,0.02,0.23,NR
Indiana,Yes,0.45,0.83,0.12,0.09,0.11,0.07,0.01,0.02,NR,<.01,NR,NA,0.18,0.05,0.24,0.55
Iowa,Yes,0.64,0.9,0.09,0.03,0.26,0.06,0.06,0.03,0.01,<.01,0.01,NA,0.01,0.03,0.19,0.16
Kansas,Yes,0.64,0.84,0.08,0.06,0.4,0.12,0.05,0.03,0.01,0.01,NR,NA,0.04,0.06,0.18,0.19
Kentucky,Yes,0.52,0.87,0.1,0.08,0.16,0.04,0.03,0.01,<.01,<.01,<.01,NA,0.04,0.03,0.3,0.06
Louisiana,Yes,NR,0.62,NR,0.32,NR,0.05,NR,0.02,NR,0.01,NR,NA,NR,0.04,NR,NR
Maine,Yes,0.59,0.95,0.23,0.01,0.04,0.01,0.02,0.01,<.01,<.01,<.01,NA,0.03,0.02,0.12,0.18
Maryland,,0.2,0.5,0.29,0.29,0.27,0.1,0.02,0.06,NR,<.01,NR,NA,0.05,0.03,0.18,NR
Massachusetts,,0.3,0.71,0.09,0.07,0.19,0.12,0.02,0.07,NR,<.01,NR,NA,0.05,0.03,0.34,NR
Michigan,Yes,0.4,0.78,0.3,0.14,0.08,0.05,0.02,0.03,<.01,0.01,NR,<.01,0.13,0.04,0.14,0.27
Minnesota,Yes,0.41,0.83,0.21,0.07,0.22,0.05,0.07,0.05,0.01,0.01,<.01,NA,0.15,0.05,0.16,0.17
Mississippi,,0.26,0.57,0.48,0.38,0.05,0.03,<.01,0.01,0.03,<.01,NR,NA,0.06,0.01,0.11,0.26
Missouri,Yes,0.44,0.82,0.27,0.11,0.15,0.04,NR,0.02,NR,<.01,NR,<.01,0.09,0.04,0.19,<.01
Montana,Yes,0.62,0.89,<.01,<.01,0.06,0.04,<.01,0.01,0.11,0.06,NR,NA,0.01,0.04,0.25,0.26
Nebraska,Yes,0.6,0.86,0.06,0.04,0.46,0.11,0.06,0.02,0.01,0.01,<.01,NA,0.09,0.06,0.18,0.2
Nevada,,0.18,0.49,0.05,0.09,0.23,0.29,0.05,0.08,<.01,0.01,NR,0.01,0.07,0.04,0.42,NR
New Hampshire,,0.61,0.9,0.05,0.01,0.09,0.04,0.03,0.03,NR,NA,NR,NA,0.04,0.02,0.18,NR
New Jersey,,0.21,0.55,0.1,0.13,0.18,0.21,0.03,0.1,NR,<.01,NR,NA,0.07,0.02,0.41,NR
New Mexico,,0.12,0.37,0.02,0.02,0.31,0.49,0.01,0.02,0.48,0.09,NR,NA,NR,0.02,0.06,NR
New York (Excludes New York City),,NR,0.55,NR,0.14,NR,0.19,NR,0.09,NR,<.01,NR,NA,NR,0.03,NR,NR
New York City,,NR,0.32,NR,0.22,NR,0.29,NR,0.07,NR,NA,NR,NA,NR,NA,NR,NR
North Carolina,Yes,0.38,0.68,0.16,0.21,0.3,0.1,0.01,0.03,0.01,0.01,<.01,<.01,0.12,0.06,0.32,0.34
North Dakota,,NR,0.84,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.02,NR,NR
Ohio,Yes,0.47,0.81,0.27,0.12,0.08,0.04,0.03,0.02,<.01,<.01,<.01,NA,0.11,0.04,0.12,0.23
Oklahoma,Yes,0.57,0.72,0.07,0.07,NR,0.11,0.08,0.02,0.07,0.08,NR,<.01,0.04,0.11,0.17,NR
Oregon,Yes,0.41,0.84,0.04,0.02,0.36,0.13,0.04,0.05,0.02,0.01,0.03,<.01,0.33,0.08,0.13,0.14
Pennsylvania,Yes,0.31,0.8,0.13,0.11,0.08,0.08,0.01,0.04,NR,<.01,NR,<.01,0.01,0.05,0.54,0.71
Rhode Island,,0.28,0.72,0.1,0.06,0.36,0.16,NR,0.03,NR,NA,NR,NA,0.05,0.03,0.21,NR
South Carolina,Yes,0.46,0.67,0.33,0.26,0.12,0.06,0.01,0.02,NR,<.01,NR,NA,0.1,0.04,0.11,0.31
South Dakota,,0.35,0.82,0.14,0.02,0.16,0.04,0.1,0.01,0.15,0.09,NR,NA,0.1,0.02,0.01,NR
Tennessee,Yes,0.41,0.78,0.2,0.17,0.24,0.05,0.01,0.02,<.01,<.01,<.01,<.01,0.16,0.04,0.21,0.27
Texas,,0.26,0.41,0.12,0.12,0.38,0.4,0.03,0.05,NR,<.01,NR,<.01,0.01,0.02,0.21,NR
Utah,,0.36,0.78,0.03,0.01,0.42,0.14,0.02,0.02,0.02,0.01,0.04,0.01,0.13,0.03,0.11,NR
Vermont,Yes,0.81,0.94,0.1,0.01,0.03,0.02,0.04,0.02,<.01,<.01,NR,NA,0.02,0.02,0.03,0.09
Virginia,,0.21,0.62,0.15,0.19,0.34,0.1,0.03,0.07,<.01,<.01,NR,<.01,0.03,0.04,0.24,NR
Washington,,0.26,0.68,0.04,0.04,0.32,0.13,0.04,0.09,0.01,0.01,0.02,0.01,0.03,0.05,0.27,NR
West Virginia,Yes,0.79,0.93,0.07,0.04,NR,0.01,NR,0.01,NR,<.01,NR,NA,0.14,0.02,NR,NR
