Location,Race Categories Include Hispanic Individuals,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,Unknown Race % of Cases,Unknown Ethnicity% of Cases
Alabama,Yes,0.31,0.68,0.27,0.27,0.06,0.04,<.01,0.01,NR,<.01,NR,NA,0.05,0.04,0.36,0.46
Alaska,Yes,0.25,0.64,0.03,0.03,0.05,0.07,0.03,0.06,0.14,0.16,0.04,0.01,0.06,0.1,0.45,0.56
Arizona,,0.18,0.54,0.02,0.04,0.26,0.32,0.01,0.03,0.05,0.04,NR,<.01,0.03,0.02,0.44,0.44
Arkansas,Yes,0.53,0.77,0.22,0.15,0.22,0.08,0.01,0.02,<.01,0.01,0.04,<.01,0.11,0.06,0.08,0
California,,0.11,0.37,0.03,0.05,0.38,0.39,0.04,0.15,<.01,<.01,<.01,<.01,0.09,0.03,0.35,0.35
Colorado,,0.37,0.68,0.05,0.04,0.38,0.22,0.02,0.03,0.01,<.01,<.01,<.01,0.02,0.03,0.15,0.15
Connecticut,,0.35,0.66,0.13,0.1,0.19,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.3,0.3
Delaware,,0.35,0.62,0.26,0.21,0.25,0.09,0.01,0.04,NR,<.01,NR,NA,0.05,0.03,0.08,0.08
District of Columbia,Yes,0.2,0.42,0.5,0.46,0.25,0.11,0.01,0.04,<.01,<.01,<.01,NA,0.26,0.08,0.02,0.14
Florida,,0.22,0.53,0.15,0.15,0.27,0.26,NR,0.03,NR,<.01,NR,<.01,0.06,0.02,0.3,0.37
Georgia,,0.24,0.52,0.25,0.31,0.13,0.1,0.01,0.04,<.01,<.01,<.01,<.01,0.03,0.02,0.34,0.43
Hawaii,Yes,0.07,0.23,0.01,0.02,NR,0.1,0.15,0.39,NR,<.01,0.2,0.1,0.02,0.26,0.55,NR
Idaho,Yes,0.47,0.9,0.01,0.01,0.17,0.13,0.01,0.02,0.01,0.01,<.01,NA,0.15,0.06,0.35,0.49
Illinois,,0.25,0.61,0.16,0.14,0.29,0.17,0.02,0.06,<.01,<.01,<.01,<.01,0.04,0.02,0.23,0.23
Indiana,Yes,0.49,0.83,0.11,0.09,0.1,0.07,0.01,0.02,NR,<.01,NR,NA,0.15,0.05,0.23,0.54
Iowa,Yes,0.69,0.9,0.07,0.03,0.18,0.06,0.04,0.03,0.01,<.01,0.01,NA,0.01,0.03,0.17,0.16
Kansas,Yes,0.66,0.84,0.07,0.06,0.31,0.12,0.03,0.03,0.01,0.01,NR,NA,0.06,0.06,0.17,0.22
Kentucky,Yes,0.54,0.87,0.08,0.08,0.08,0.04,0.01,0.01,<.01,<.01,<.01,NA,0.04,0.03,0.32,0.36
Louisiana,Yes,0.35,0.62,0.37,0.32,NR,0.05,0.05,0.02,<.01,0.01,<.01,NA,0.09,0.04,0.13,NR
Maine,Yes,0.62,0.95,0.22,0.01,0.04,0.01,0.03,0.01,<.01,<.01,<.01,NA,0.04,0.02,0.09,0.15
Maryland,,0.22,0.5,0.32,0.29,0.25,0.1,0.02,0.06,NR,<.01,NR,NA,0.04,0.03,0.15,0.15
Massachusetts,,0.31,0.71,0.09,0.07,0.2,0.12,0.02,0.07,NR,<.01,NR,NA,0.06,0.03,0.32,0.32
Michigan,Yes,0.43,0.78,0.24,0.14,0.08,0.05,0.02,0.03,<.01,0.01,NR,<.01,0.13,0.04,0.18,0.27
Minnesota,Yes,0.47,0.83,0.21,0.07,0.18,0.05,0.06,0.05,0.01,0.01,<.01,NA,0.13,0.05,0.13,0.17
Mississippi,,0.32,0.57,0.42,0.38,0.03,0.03,<.01,0.01,0.02,<.01,NR,NA,0.07,0.01,0.14,0.36
Missouri,Yes,0.42,0.82,0.18,0.11,0.09,0.04,NR,0.02,NR,<.01,NR,<.01,0.07,0.04,0.33,0.33
Montana,Yes,0.56,0.89,0.01,<.01,0.04,0.04,<.01,0.01,0.14,0.06,NR,NA,0.01,0.04,0.28,0.31
Nebraska,Yes,0.65,0.86,0.07,0.04,0.36,0.11,0.05,0.02,0.01,0.01,<.01,NA,0.06,0.06,0.17,0.2
Nevada,,0.19,0.49,0.05,0.09,0.25,0.29,0.05,0.08,<.01,0.01,NR,0.01,0.11,0.04,0.34,0.34
New Hampshire,,0.64,0.9,0.05,0.01,0.12,0.04,0.03,0.03,NR,NA,NR,NA,0.04,0.02,0.12,0.12
New Jersey,,0.23,0.55,0.11,0.13,0.19,0.21,0.03,0.1,NR,<.01,NR,NA,0.07,0.02,0.37,0.37
New Mexico,,0.14,0.37,0.02,0.02,0.43,0.49,0.01,0.02,0.34,0.09,NR,NA,NR,0.02,0.06,0.06
New York (Excludes New York City),,NR,0.74,NR,0.09,NR,0.12,NR,0.04,NR,NA,NR,NA,NR,0.01,NR,NR
New York City,,0.15,0.32,0.16,0.22,0.19,0.29,0.04,0.14,NR,NA,NR,NA,NR,0.03,0.46,0.46
North Carolina,Yes,0.42,0.68,0.18,0.21,0.25,0.1,0.01,0.03,0.01,0.01,<.01,<.01,0.12,0.06,0.26,0.34
North Dakota,,NR,0.84,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.02,NR,NR
Ohio,Yes,0.51,0.81,0.24,0.12,0.06,0.04,0.03,0.02,<.01,<.01,<.01,NA,0.09,0.04,0.12,0.23
Oklahoma,Yes,0.55,0.72,0.07,0.07,0.2,0.11,0.04,0.02,0.09,0.08,NR,<.01,0.04,0.11,0.21,0.23
Oregon,Yes,0.4,0.84,0.03,0.02,0.39,0.13,0.03,0.05,0.02,0.01,0.02,<.01,0.36,0.08,0.13,0.13
Pennsylvania,Yes,0.34,0.8,0.14,0.11,0.08,0.08,0.01,0.04,NR,<.01,NR,<.01,0.01,0.05,0.5,0.68
Rhode Island,,0.28,0.72,0.1,0.06,0.36,0.16,NR,0.03,NR,NA,NR,NA,0.03,0.03,0.2,0.2
South Carolina,Yes,0.44,0.67,0.34,0.26,0.1,0.06,0.01,0.02,NR,<.01,NR,NA,0.08,0.04,0.12,0.33
South Dakota,,0.46,0.82,0.1,0.02,0.12,0.04,0.07,0.01,0.15,0.09,NR,NA,0.09,0.02,0,0
Tennessee,Yes,0.47,0.78,0.19,0.17,0.15,0.05,0.01,0.02,<.01,<.01,<.01,<.01,0.14,0.04,0.2,0.27
Texas,,0.28,0.41,0.16,0.12,0.4,0.4,0.02,0.05,NR,<.01,NR,<.01,<.01,0.02,0.15,0.15
Utah,,0.41,0.78,0.02,0.01,0.37,0.14,0.02,0.02,0.02,0.01,0.04,0.01,0.12,0.03,0.11,0.11
Vermont,Yes,0.8,0.94,0.11,0.01,0.04,0.02,0.04,0.02,<.01,<.01,NR,NA,0.02,0.02,0.03,0.07
Virginia,,0.24,0.62,0.19,0.19,0.27,0.1,0.03,0.07,<.01,<.01,NR,<.01,0.03,0.04,0.24,0.24
Washington,,0.26,0.68,0.04,0.04,0.29,0.13,0.03,0.09,0.01,0.01,0.02,0.01,0.03,0.05,0.31,0.31
West Virginia,Yes,0.79,0.93,0.08,0.04,NR,0.01,NR,0.01,NR,<.01,NR,NA,0.09,0.02,0.04,NR
Wisconsin,Yes,0.64,0.85,0.14,0.06,0.22,0.07,0.03,0.03,0.01,0.01,NR,<.01,0.09,0.05,0.1,0.13
Wyoming,,0.59,0.84,0.01,<.01,0.16,0.1,0.01,0.01,0.15,0.02,<.01,NA,0.05,0.02,0.05,0.05
