Location,Race Categories Include Hispanic Individuals,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,Unknown Race % of Cases,Unknown Ethnicity% of Cases
Alabama,Yes,0.35,0.68,0.41,0.27,0.1,0.04,<.01,0.01,NR,<.01,NR,NA,0.05,0.04,0.18,0.24
Alaska,Yes,0.57,0.64,0.03,0.03,0.07,0.07,0.08,0.06,0.11,0.16,0.02,0.01,0.06,0.1,0.14,0.17
Arizona,,0.17,0.54,0.03,0.04,0.26,0.32,0.01,0.03,0.1,0.04,NR,<.01,0.02,0.02,0.41,NR
Arkansas,Yes,0.46,0.77,0.25,0.15,0.23,0.08,0.01,0.02,<.01,0.01,0.06,<.01,0.12,0.06,NR,NR
California,,0.12,0.37,0.03,0.05,0.4,0.39,0.05,0.15,<.01,<.01,<.01,<.01,0.09,0.03,0.3,NR
Colorado,,0.34,0.68,0.06,0.04,0.38,0.22,0.03,0.03,0.01,<.01,<.01,<.01,0.02,0.03,0.17,NR
Connecticut,,0.35,0.66,0.13,0.1,0.19,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.31,NR
Delaware,,0.3,0.62,0.27,0.21,0.29,0.09,0.02,0.04,NR,<.01,NR,NA,0.05,0.03,0.09,NR
District of Columbia,Yes,0.2,0.42,0.5,0.46,0.29,0.11,0.02,0.04,<.01,<.01,<.01,NA,0.25,0.08,0.02,0.11
Florida,,0.24,0.53,0.17,0.15,0.35,0.26,NR,0.03,NR,<.01,NR,<.01,0.04,0.02,0.2,0.24
Georgia,,0.26,0.52,0.3,0.31,0.16,0.1,0.02,0.04,<.01,<.01,<.01,<.01,0.02,0.02,0.25,0.34
Hawaii,Yes,0.25,0.23,0.01,0.02,NR,0.1,0.35,0.39,NR,<.01,0.27,0.1,0.04,0.26,0.07,NR
Idaho,Yes,0.51,0.9,0.02,0.01,0.24,0.13,0.01,0.02,0.01,0.01,<.01,NA,0.14,0.06,0.29,0.33
Illinois,,0.2,0.61,0.17,0.14,0.33,0.17,0.03,0.06,<.01,<.01,<.01,<.01,0.04,0.02,0.23,NR
Indiana,Yes,0.45,0.83,0.13,0.09,0.12,0.07,0.02,0.02,NR,<.01,NR,NA,0.18,0.05,0.22,0.55
Iowa,Yes,0.62,0.9,0.1,0.03,0.26,0.06,0.07,0.03,0.01,<.01,0.01,NA,0.01,0.03,0.18,0.16
Kansas,Yes,0.64,0.84,0.09,0.06,0.44,0.12,0.06,0.03,0.01,0.01,NR,NA,0.03,0.06,0.17,0.16
Kentucky,Yes,0.49,0.87,0.1,0.08,0.11,0.04,0.03,0.01,<.01,<.01,<.01,NA,0.04,0.03,0.33,0.32
Louisiana,Yes,NR,0.62,NR,0.32,NR,0.05,NR,0.02,NR,0.01,NR,NA,NR,0.04,NR,NR
Maine,Yes,0.59,0.95,0.24,0.01,0.03,0.01,0.02,0.01,<.01,<.01,NR,NA,0.03,0.02,0.12,0.19
Maryland,,0.2,0.5,0.29,0.29,0.27,0.1,0.02,0.06,NR,<.01,NR,NA,0.05,0.03,0.17,NR
Massachusetts,,0.3,0.71,0.09,0.07,0.19,0.12,0.02,0.07,NR,<.01,NR,NA,0.05,0.03,0.35,NR
Michigan,Yes,0.39,0.78,0.31,0.14,0.08,0.05,0.02,0.03,<.01,0.01,NR,<.01,0.13,0.04,0.14,0.27
Minnesota,Yes,0.38,0.83,0.21,0.07,0.23,0.05,0.07,0.05,0.01,0.01,<.01,NA,0.15,0.05,0.17,0.19
Mississippi,,0.26,0.57,0.52,0.38,0.05,0.03,<.01,0.01,0.05,<.01,NR,NA,0.05,0.01,0.06,0.19
Missouri,Yes,0.44,0.82,0.29,0.11,0.1,0.04,NR,0.02,NR,<.01,NR,<.01,0.1,0.04,0.17,0.25
Montana,Yes,0.77,0.89,<.01,<.01,0.08,0.04,<.01,0.01,0.13,0.06,NR,NA,0.02,0.04,0.08,0.09
Nebraska,Yes,0.56,0.86,0.07,0.04,0.48,0.11,0.07,0.02,0.01,0.01,<.01,NA,0.1,0.06,0.19,0.22
Nevada,,0.2,0.49,0.06,0.09,0.28,0.29,0.06,0.08,<.01,0.01,NR,0.01,0.03,0.04,0.37,NR
New Hampshire,,0.61,0.9,0.05,0.01,0.09,0.04,0.03,0.03,NR,NA,NR,NA,0.05,0.02,0.18,NR
New Jersey,,0.21,0.55,0.1,0.13,0.18,0.21,0.03,0.1,NR,<.01,NR,NA,0.07,0.02,0.42,NR
New Mexico,,0.12,0.37,0.02,0.02,0.28,0.49,0.01,0.02,0.53,0.09,NR,NA,NR,0.02,0.05,NR
