Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Armenia,2024-09-29,453685,111,8782,0,Upper middle income,European Region,2790974,162554.362742183,3146.57177028521,39.7710620020108,0,239770483,2669566,3652,24,2519863638,95152.1659284327,1059.40891393584,1.44928477276595,0.00952432490317161,280145280,2275375,97372,297,930808880,300969.711419169,2444.51363635465,104.610089237653,0.319077316924609
Anguilla,2024-09-29,3904,,12,,,Region of the Americas,15753,247825.810956643,761.759664825748,,,18263889,105690,1,0,,,,,,193301664,3039570,1315,1058,1026253579,188356.628376738,2961.81183890419,1.28135972132868,1.03093428529714
Aruba,2024-09-29,44224,,292,,High income,Region of the Americas,106537,415104.611543408,2740.83182368567,,,456490619,3460879,97276,1338,1245565549,366492.650159193,2778.56031164202,78.0978568956872,1.07421082822515,193301664,3039570,1315,1058,1026253579,188356.628376738,2961.81183890419,1.28135972132868,1.03093428529714
Afghanistan,2024-09-29,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,5865.76448332399,199.454047538094,,,1904847,43239,20,0,718255072,2652.04810137421,60.2000621862647,0.0278452610773906,0,23417911,351975,0,0,761408471,30756.0421139575,462.268300663548,0,0
Austria,2024-09-29,6082656,74,22534,,High income,European Region,8922082,681752.98097462,2525.64367823564,8.29402823242378,,456490619,3460879,97276,1338,1245565549,366492.650159193,2778.56031164202,78.0978568956872,1.07421082822515,280145280,2275375,97372,297,930808880,300969.711419169,2444.51363635465,104.610089237653,0.319077316924609
Albania,2024-09-29,337171,21,3608,0,Upper middle income,European Region,2854710,118110.421023502,1263.87619057628,7.35626385867566,0,239770483,2669566,3652,24,2519863638,95152.1659284327,1059.40891393584,1.44928477276595,0.00952432490317161,280145280,2275375,97372,297,930808880,300969.711419169,2444.51363635465,104.610089237653,0.319077316924609
United Arab Emirates,2024-09-29,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,113936.303175231,250.823665837528,,,456490619,3460879,97276,1338,1245565549,366492.650159193,2778.56031164202,78.0978568956872,1.07421082822515,23417911,351975,0,0,761408471,30756.0421139575,462.268300663548,0,0
Angola,2024-09-29,107482,1,1937,0,Lower middle income,African Region,34503774,3115.07952724244,56.1387864411586,0.0289823368307478,0,60683026,796629,250,5,3396756474,17864.9916367246,234.526380121061,0.0735996242043226,0.00147199248408645,9044726,174423,134,0,1162657993,7779.35218650323,150.020901288381,0.115253153383688,0
Antigua & Barbuda,2024-09-29,9106,,146,,High income,Region of the Americas,93219,97683.948551261,1566.20431457106,,,456490619,3460879,97276,1338,1245565549,366492.650159193,2778.56031164202,78.0978568956872,1.07421082822515,193301664,3039570,1315,1058,1026253579,188356.628376738,2961.81183890419,1.28135972132868,1.03093428529714
Burundi,2024-09-29,54569,,15,,Low income,African Region,12551213,4347.70726940894,1.19510361269465,,,1904847,43239,20,0,718255072,2652.04810137421,60.2000621862647,0.0278452610773906,0,9044726,174423,134,0,1162657993,7779.35218650323,150.020901288381,0.115253153383688,0
Azerbaijan,2024-09-29,836353,68,10353,,Upper middle income,European Region,10312992,81097.0279042202,1003.87937855474,6.59362481809353,,239770483,2669566,3652,24,2519863638,95152.1659284327,1059.40891393584,1.44928477276595,0.00952432490317161,280145280,2275375,97372,297,930808880,300969.711419169,2444.51363635465,104.610089237653,0.319077316924609
Andorra,2024-09-29,48015,,159,,High income,European Region,79034,607523.34438343,2011.79239314725,,,456490619,3460879,97276,1338,1245565549,366492.650159193,2778.56031164202,78.0978568956872,1.07421082822515,280145280,2275375,97372,297,930808880,300969.711419169,2444.51363635465,104.610089237653,0.319077316924609
Bosnia & Herzegovina,2024-09-29,403890,22,16400,0,Upper middle income,European Region,3270943,123478.152936325,5013.84463134943,6.72588913961509,0,239770483,2669566,3652,24,2519863638,95152.1659284327,1059.40891393584,1.44928477276595,0.00952432490317161,280145280,2275375,97372,297,930808880,300969.711419169,2444.51363635465,104.610089237653,0.319077316924609
Belgium,2024-09-29,4882817,1755,34339,,High income,European Region,11611419,420518.542996338,2957.34741808904,151.144317503313,,456490619,3460879,97276,1338,1245565549,366492.650159193,2778.56031164202,78.0978568956872,1.07421082822515,280145280,2275375,97372,297,930808880,300969.711419169,2444.51363635465,104.610089237653,0.319077316924609
Bangladesh,2024-09-29,2051426,9,29499,,Lower middle income,South-East Asia Region,169356251,12113.0810813709,174.183118874071,0.0531424139756141,,60683026,796629,250,5,3396756474,17864.9916367246,234.526380121061,0.0735996242043226,0.00147199248408645,61319001,808839,542,8,2056472695,29817.5614726555,393.313756106059,0.26355808239895,0.00389015619777047
Argentina,2024-09-29,10103850,538,130689,3,Upper middle income,Region of the Americas,45276780,223157.433015334,2886.44643015692,11.8824704406983,0.0662591288514775,239770483,2669566,3652,24,2519863638,95152.1659284327,1059.40891393584,1.44928477276595,0.00952432490317161,193301664,3039570,1315,1058,1026253579,188356.628376738,2961.81183890419,1.28135972132868,1.03093428529714
Saint Barth�lemy,2024-09-29,5507,,5,,,,,,,,,18263889,105690,1,0,,,,,,1310922,4286,2,0,,,,,
Caribbean Netherlands,2024-09-29,11922,,41,,,Region of the Americas,26706,446416.535609975,1535.23552759679,,,18263889,105690,1,0,,,,,,193301664,3039570,1315,1058,1026253579,188356.628376738,2961.81183890419,1.28135972132868,1.03093428529714
