Location,Race Categories Include Hispanic Individuals,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,Unknown Race % of Deaths,Unknown Ethnicity % of Deaths
Alabama,Yes,0.5,0.68,0.44,0.27,0.02,0.04,0.01,0.01,NR,<.01,NR,NA,0.01,0.04,0.04,0.11
Alaska,Yes,0.5,0.64,0,0.03,0,0.07,0.2,0.06,0.2,0.16,0.1,0.01,0,0.1,0,0
Arizona,,0.47,0.54,0.03,0.04,0.17,0.32,0.01,0.03,0.18,0.04,NR,<.01,0.02,0.02,0.11,0.11
Arkansas,Yes,0.58,0.77,0.31,0.15,0.05,0.08,0.01,0.02,NR,0.01,0.03,<.01,0.05,0.06,NR,NR
California,,0.32,0.37,0.09,0.05,0.38,0.39,0.14,0.15,<.01,<.01,<.01,<.01,0.01,0.03,0.04,0.04
Colorado,,0.62,0.68,0.07,0.04,0.2,0.22,0.04,0.03,0.01,<.01,<.01,<.01,0.01,0.03,0.05,0.05
Connecticut,,0.73,0.66,0.15,0.1,0.08,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.02,0.02
Delaware,,0.61,0.62,0.26,0.21,0.06,0.09,<.01,0.04,NR,<.01,NR,NA,0.01,0.03,0.05,0.05
District of Columbia,,0.11,0.37,0.75,0.45,0.12,0.11,0.01,0.04,NR,NA,NR,NA,0.01,0.03,0,0
Florida,,0.5,0.53,0.21,0.15,0.23,0.26,NR,0.03,NR,<.01,NR,<.01,0.03,0.02,0.03,0.07
Georgia,,0.45,0.52,0.48,0.31,0.04,0.1,0.01,0.04,<.01,<.01,<.01,<.01,<.01,0.02,0.01,0.01
Hawaii,,NR,0.21,NR,0.02,NR,0.1,NR,0.38,NR,NA,NR,0.1,NR,0.2,NR,NR
Idaho,Yes,0.96,0.9,0.01,0.01,0.05,0.13,0.02,0.02,NR,0.01,NR,NA,NR,0.06,0,0
Illinois,,0.44,0.61,0.29,0.14,0.2,0.17,0.05,0.06,<.01,<.01,<.01,<.01,0.01,0.02,0.02,0.02
Indiana,Yes,0.65,0.83,0.15,0.09,0.02,0.07,<.01,0.02,NR,<.01,NR,NA,0.12,0.05,0.07,0.43
Iowa,Yes,0.78,0.9,0.05,0.03,0.06,0.06,0.05,0.03,NR,<.01,NR,NA,0.12,0.03,NR,0.14
Kansas,Yes,0.68,0.84,0.26,0.06,0.12,0.12,0.02,0.03,<.01,0.01,NR,NA,0.01,0.06,0.03,0.05
