Location,Race Categories Include Hispanic Individuals,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,Unknown Race % of Deaths,Unknown Ethnicity % of Deaths
Alabama,Yes,0.51,0.68,0.43,0.27,0.03,0.04,<.01,0.01,NR,<.01,NR,NA,0.02,0.04,0.04,0.11
Alaska,Yes,0.61,0.64,0,0.03,0,0.07,0.11,0.06,0.22,0.16,0.06,0.01,0,0.1,0,0
Arizona,,0.39,0.54,0.03,0.04,0.26,0.32,0.01,0.03,0.14,0.04,NR,<.01,0.02,0.02,0.16,0.16
Arkansas,Yes,0.57,0.77,0.26,0.15,0.1,0.08,0.02,0.02,0,0.01,0.08,<.01,0.07,0.06,0.01,0.01
California,,0.3,0.37,0.09,0.05,0.44,0.39,0.13,0.15,<.01,<.01,0.01,<.01,0.02,0.03,0.02,0.02
Colorado,,0.62,0.68,0.07,0.04,0.22,0.22,0.03,0.03,0.01,<.01,<.01,<.01,0.02,0.03,0.03,0.03
Connecticut,,0.73,0.66,0.15,0.1,0.09,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.01,0.01
Delaware,,0.62,0.62,0.26,0.21,0.07,0.09,<.01,0.04,NR,<.01,NR,NA,0.01,0.03,0.04,0.04
District of Columbia,,0.11,0.37,0.74,0.45,0.13,0.11,0.01,0.04,NR,NA,NR,NA,0.01,0.03,NR,NR
Florida,,0.47,0.53,0.2,0.15,0.26,0.26,NR,0.03,NR,<.01,NR,<.01,0.03,0.02,0.04,0.08
Georgia,,0.45,0.52,0.46,0.31,0.06,0.1,0.02,0.04,<.01,<.01,<.01,<.01,<.01,0.02,0.01,0.01
Hawaii,Yes,NR,0.23,NR,0.02,NR,0.1,NR,0.39,NR,<.01,NR,0.1,NR,0.26,NR,NR
Idaho,Yes,0.92,0.9,0.01,0.01,0.08,0.13,0.02,0.02,0.01,0.01,NR,NA,0.01,0.06,0.04,0.04
Illinois,,0.45,0.61,0.28,0.14,0.21,0.17,0.05,0.06,<.01,<.01,<.01,<.01,0.01,0.02,0.01,0.01
Indiana,Yes,0.65,0.83,0.14,0.09,0.02,0.07,0.01,0.02,NR,<.01,NR,NA,0.13,0.05,0.07,0.46
Iowa,Yes,0.79,0.9,0.05,0.03,0.07,0.06,0.03,0.03,0.01,<.01,0.02,NA,0,0.03,0.1,0.12
Kansas,Yes,0.69,0.84,0.21,0.06,0.12,0.12,0.03,0.03,0.01,0.01,NR,NA,0.03,0.06,0.03,0.04
Kentucky,Yes,0.76,0.87,0.14,0.08,0.04,0.04,0.01,0.01,NR,<.01,NR,NA,0.02,0.03,0.07,0.11
Louisiana,Yes,0.47,0.62,0.51,0.32,0.02,0.05,0.01,0.02,<.01,0.01,<.01,NA,<.01,0.04,<.01,0.08
Maine,Yes,0.91,0.95,0.02,0.01,0,0.01,NR,0.01,NR,<.01,NR,NA,0,0.02,0.07,0.15
Maryland,,0.43,0.5,0.41,0.29,0.11,0.1,0.04,0.06,NR,<.01,NR,NA,0.01,0.03,0.01,0.01
Massachusetts,,0.75,0.71,0.08,0.07,0.07,0.12,0.03,0.07,NR,<.01,NR,NA,0.06,0.03,0.01,0.01
Michigan,Yes,0.52,0.78,0.4,0.14,0.02,0.05,0.01,0.03,<.01,0.01,NR,<.01,0.04,0.04,0.03,0.15
Minnesota,Yes,0.8,0.83,0.1,0.07,0.04,0.05,0.04,0.05,0.02,0.01,<.01,NA,0.03,0.05,0.01,0.01
Mississippi,,0.41,0.57,0.5,0.38,0.02,0.03,0,0.01,0.06,<.01,NR,NA,0.01,0.01,0.01,0.07
Missouri,Yes,0.59,0.82,0.34,0.11,0.03,0.04,NR,0.02,NR,<.01,NR,<.01,0.04,0.04,0.04,0.12
Montana,Yes,0.57,0.89,NR,<.01,NR,0.04,NR,0.01,0.33,0.06,NR,NA,NR,0.04,0.1,NR
Nebraska,Yes,0.77,0.86,0.07,0.04,0.24,0.11,0.06,0.02,0.02,0.01,0,NA,0.04,0.06,0.04,0.11
Nevada,,0.43,0.49,0.11,0.09,0.14,0.29,0.13,0.08,0.01,0.01,NR,0.01,0.02,0.04,0.18,0.18
