Location,Race Categories Include Hispanic Individuals,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,Unknown Race % of Deaths,Unknown Ethnicity % of Deaths,Footnotes
Alabama,Yes,0.54,0.68,0.4,0.27,0.03,0.04,<.01,0.01,NR,<.01,NR,NA,0.02,0.04,0.04,0.12,
Alaska,Yes,0.41,0.64,0,0.03,0.02,0.07,0.07,0.06,0.36,0.16,0.11,0.01,0,0.1,0.05,0.07,
Arizona,,0.42,0.54,0.03,0.04,0.31,0.32,0.01,0.03,0.11,0.04,NR,<.01,0.02,0.02,0.11,0.11,
Arkansas,Yes,0.64,0.77,0.22,0.15,0.08,0.08,0.01,0.02,<.01,0.01,0.04,<.01,0.06,0.06,0.02,NR,
California,,0.29,0.37,0.08,0.05,0.48,0.39,0.12,0.15,<.01,<.01,<.01,<.01,0.01,0.03,0.02,0.02,
Colorado,,0.63,0.68,0.06,0.04,0.23,0.22,0.03,0.03,0.01,<.01,<.01,<.01,0.02,0.03,0.02,0.02,
Connecticut,,0.73,0.66,0.15,0.1,0.09,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.01,0.01,
Delaware,,0.64,0.62,0.26,0.21,0.08,0.09,<.01,0.04,NR,<.01,NR,NA,0.02,0.03,0,0,
District of Columbia,,0.11,0.37,0.75,0.45,0.13,0.11,0.01,0.04,NR,NA,NR,NA,0,0.03,0.01,0.01,
Florida,,0.48,0.53,0.19,0.15,0.25,0.26,NR,0.03,NR,<.01,NR,<.01,0.04,0.02,0.04,0.1,
Georgia,,0.48,0.52,0.42,0.31,0.06,0.1,0.02,0.04,<.01,<.01,<.01,<.01,<.01,0.02,0.01,0.02,
Hawaii,Yes,0.07,0.23,0.03,0.02,NR,0.1,0.4,0.39,NR,<.01,0.22,0.1,0.03,0.26,0.26,NR,1
Idaho,Yes,0.95,0.9,0.01,0.01,0.12,0.13,0.01,0.02,0.01,0.01,NR,NA,0.01,0.06,0.01,0.01,
Illinois,,0.47,0.61,0.26,0.14,0.2,0.17,0.05,0.06,<.01,<.01,<.01,<.01,0.01,0.02,0.02,0.02,
Indiana,Yes,0.66,0.83,0.14,0.09,0.02,0.07,0.01,0.02,NR,<.01,NR,NA,0.13,0.05,0.07,0.47,
Iowa,Yes,0.82,0.9,0.04,0.03,0.06,0.06,0.02,0.03,<.01,<.01,0.01,NA,<.01,0.03,0.11,0.12,
Kansas,Yes,0.71,0.84,0.15,0.06,0.14,0.12,0.03,0.03,0.01,0.01,NR,NA,0.06,0.06,0.05,0.07,
Kentucky,Yes,0.76,0.87,0.12,0.08,0.03,0.04,0.01,0.01,0,<.01,NR,NA,0.02,0.03,0.09,0.13,
Louisiana,Yes,0.52,0.62,0.47,0.32,0.03,0.05,0.01,0.02,<.01,0.01,<.01,NA,0.01,0.04,<.01,0.06,
Maine,Yes,0.88,0.95,0.03,0.01,0,0.01,0,0.01,0,<.01,0,NA,0,0.02,0.1,0.18,
Maryland,,0.43,0.5,0.41,0.29,0.11,0.1,0.04,0.06,NR,<.01,NR,NA,0.01,0.03,<.01,<.01,
Massachusetts,,0.75,0.71,0.08,0.07,0.07,0.12,0.03,0.07,NR,<.01,NR,NA,0.06,0.03,0.01,0.01,
Michigan,Yes,0.54,0.78,0.39,0.14,0.02,0.05,0.01,0.03,<.01,0.01,NR,<.01,0.03,0.04,0.03,0.12,
Minnesota,,0.77,0.8,0.1,0.06,0.05,0.05,0.05,0.05,0.02,0.01,<.01,NA,0.01,0.03,0.01,0.01,
Mississippi,,0.45,0.57,0.47,0.38,0.01,0.03,<.01,0.01,0.03,<.01,NR,NA,0.01,0.01,0.02,0.14,
Missouri,Yes,0.55,0.82,0.28,0.11,0.04,0.04,NR,0.02,NR,<.01,NR,<.01,0.05,0.04,0.12,0.13,
Montana,Yes,0.55,0.89,NR,<.01,NR,0.04,NR,0.01,0.28,0.06,NR,NA,NR,0.04,0.17,NR,
Nebraska,Yes,0.79,0.86,0.07,0.04,0.2,0.11,0.04,0.02,0.03,0.01,0,NA,0.03,0.06,0.05,0.12,
Nevada,,0.33,0.49,0.08,0.09,0.15,0.29,0.08,0.08,0.01,0.01,NR,0.01,0.01,0.04,0.36,0.36,
New Hampshire,,0.92,0.9,0.02,0.01,0.03,0.04,0.01,0.03,NR,NA,NR,NA,<.01,0.02,0.02,0.02,
New Jersey,,0.53,0.55,0.18,0.13,0.2,0.21,0.05,0.1,NR,<.01,NR,NA,0.02,0.02,0.02,0.02,
New Mexico,,0.23,0.37,0.01,0.02,0.21,0.49,<.01,0.02,0.54,0.09,NR,NA,NR,0.02,0,0,2
New York (Excludes New York City),,0.6,0.74,0.17,0.09,0.14,0.12,0.04,0.04,NR,NA,NR,NA,0.04,0.01,0.01,0.01,
New York City,,0.25,0.32,0.28,0.22,0.3,0.29,0.08,0.14,NR,NA,NR,NA,NR,0.03,0.08,0.08,3
North Carolina,Yes,0.57,0.68,0.29,0.21,0.09,0.1,0.01,0.03,0.01,0.01,<.01,<.01,0.06,0.06,0.05,0.11,
North Dakota,Yes,NR,0.86,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.04,NR,NR,
Ohio,Yes,0.77,0.81,0.18,0.12,0.02,0.04,0.01,0.02,<.01,<.01,<.01,NA,0.02,0.04,0.01,0.02,
Oklahoma,Yes,0.72,0.72,0.06,0.07,0.07,0.11,0.02,0.02,0.1,0.08,NR,<.01,0.03,0.11,0.06,0.11,
