Location,Race Categories Include Hispanic Individuals,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,Unknown Race % of Deaths,Unknown Ethnicity % of Deaths
Alabama,Yes,0.48,0.68,0.46,0.27,0.02,0.04,0.01,0.01,NR,<.01,NR,NA,0.02,0.04,0.04,0.11
Alaska,Yes,0.58,0.64,0,0.03,0,0.07,0.17,0.06,0.17,0.16,0.08,0.01,0,0.1,0,0
Arizona,,0.46,0.54,0.03,0.04,0.2,0.32,0.01,0.03,0.18,0.04,NR,<.01,0.02,0.02,0.09,NR
Arkansas,Yes,0.55,0.77,0.29,0.15,0.08,0.08,<.01,0.02,0,0.01,0.06,<.01,0.06,0.06,NR,NR
California,,0.33,0.37,0.09,0.05,0.4,0.39,0.14,0.15,<.01,<.01,<.01,<.01,0.02,0.03,0.01,NR
Colorado,,0.63,0.68,0.07,0.04,0.38,0.22,0.03,0.03,0.01,<.01,<.01,<.01,0.01,0.03,0.04,NR
Connecticut,,0.73,0.66,0.15,0.1,0.09,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.01,NR
Delaware,,0.61,0.62,0.27,0.21,0.06,0.09,<.01,0.04,NR,<.01,NR,NA,0.01,0.03,0.05,NR
District of Columbia,,0.11,0.37,0.74,0.45,0.13,0.11,0.01,0.04,NR,NA,NR,NA,NR,0.03,0.01,NR
Florida,,0.49,0.53,0.21,0.15,0.24,0.26,NR,0.03,NR,<.01,NR,<.01,0.03,0.02,0.03,0.06
Georgia,,0.45,0.52,0.48,0.31,0.05,0.1,0.02,0.04,<.01,<.01,<.01,<.01,<.01,0.02,<.01,0.01
Hawaii,Yes,NR,0.23,NR,0.02,NR,0.1,NR,0.39,NR,<.01,NR,0.1,NR,0.26,NR,NR
Idaho,Yes,0.94,0.9,0.01,0.01,0.07,0.13,0.02,0.02,0.01,0.01,NR,NA,0.01,0.06,0,0
Illinois,,0.44,0.61,0.28,0.14,0.2,0.17,0.05,0.06,<.01,<.01,<.01,<.01,0.01,0.02,0.01,NR
Indiana,Yes,0.65,0.83,0.15,0.09,0.02,0.07,0.01,0.02,NR,<.01,NR,NA,0.13,0.05,0.07,0.44
Iowa,Yes,0.8,0.9,0.05,0.03,0.07,0.06,0.03,0.03,0.01,<.01,0.02,NA,0,0.03,0.09,0.12
Kansas,Yes,0.69,0.84,0.24,0.06,0.12,0.12,0.04,0.03,0.01,0.01,NR,NA,0.01,0.06,0.02,0.03
Kentucky,Yes,0.75,0.87,0.16,0.08,0.04,0.04,0.02,0.01,NR,<.01,NR,NA,0.02,0.03,0.06,0.1
Louisiana,Yes,0.45,0.62,0.53,0.32,0.02,0.05,0.01,0.02,<.01,0.01,<.01,NA,0.01,0.04,0,0.1
Maine,Yes,0.87,0.95,0.01,0.01,NR,0.01,0,0.01,NR,<.01,NR,NA,0.01,0.02,0.1,0.18
Maryland,,0.43,0.5,0.41,0.29,0.11,0.1,0.04,0.06,NR,<.01,NR,NA,0.01,0.03,0.01,NR
Massachusetts,,0.74,0.71,0.08,0.07,0.07,0.12,0.03,0.07,NR,<.01,NR,NA,0.07,0.03,0.02,NR
Michigan,Yes,0.52,0.78,0.4,0.14,0.02,0.05,0.01,0.03,<.01,0.01,NR,<.01,0.04,0.04,0.03,0.15
Minnesota,Yes,0.72,0.83,0.07,0.07,0.03,0.05,0.03,0.05,0.02,0.01,<.01,NA,0.02,0.05,0.14,0.18
Mississippi,,0.41,0.57,0.51,0.38,0.02,0.03,0,0.01,0.05,<.01,NR,NA,0.01,0.01,<.01,0.05
Missouri,Yes,0.58,0.82,0.35,0.11,0.02,0.04,NR,0.02,NR,<.01,NR,<.01,0.04,0.04,0.03,0.11
Montana,Yes,NR,0.89,NR,<.01,NR,0.04,NR,0.01,NR,0.06,NR,NA,NR,0.04,NR,NR
Nebraska,Yes,0.75,0.86,0.07,0.04,0.2,0.11,0.06,0.02,0.01,0.01,0,NA,0.02,0.06,0.09,0.2
Nevada,,0.46,0.49,0.12,0.09,0.16,0.29,0.14,0.08,0.01,0.01,NR,0.01,0.02,0.04,0.1,NR
New Hampshire,,0.75,0.9,0.02,0.01,0.03,0.04,0.01,0.03,NR,NA,NR,NA,0.03,0.02,0.17,NR
New Jersey,,0.45,0.55,0.16,0.13,0.17,0.21,0.05,0.1,NR,<.01,NR,NA,0.03,0.02,0.15,NR
New Mexico,,NR,0.37,NR,0.02,NR,0.49,NR,0.02,NR,0.09,NR,NA,NR,0.02,NR,NR
New York (Excludes New York City),,0.59,0.55,0.17,0.14,0.14,0.19,0.04,0.09,NR,<.01,NR,NA,0.04,0.03,0.01,NR
New York City,,0.25,0.32,0.28,0.22,0.31,0.29,0.08,0.07,NR,NA,NR,NA,NR,NA,0.09,NR
North Carolina,Yes,0.57,0.68,0.33,0.21,0.08,0.1,0.01,0.03,0.01,0.01,<.01,<.01,0.05,0.06,0.04,0.06
North Dakota,,NR,0.84,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.02,NR,NR
Ohio,Yes,0.78,0.81,0.18,0.12,0.02,0.04,0.01,0.02,<.01,<.01,<.01,NA,0.02,0.04,<.01,0.01
Oklahoma,Yes,0.76,0.72,0.08,0.07,NR,0.11,0.01,0.02,0.07,0.08,NR,<.01,0.02,0.11,0.05,NR
Oregon,Yes,0.73,0.84,0.03,0.02,0.11,0.13,0.04,0.05,0.02,0.01,0.02,<.01,0.09,0.08,0.07,0.09
Pennsylvania,Yes,0.71,0.8,0.21,0.11,0.06,0.08,0.02,0.04,NR,<.01,NR,<.01,0.05,0.05,<.01,<.01
Rhode Island,,0.69,0.72,0.05,0.06,0.08,0.16,NR,0.03,NR,NA,NR,NA,0.01,0.03,0.17,NR
South Carolina,Yes,0.45,0.67,0.46,0.26,0.03,0.06,0.01,0.02,NR,<.01,NR,NA,0.02,0.04,0.05,0.12
South Dakota,,NR,0.82,NR,0.02,NR,0.04,NR,0.01,NR,0.09,NR,NA,NR,0.02,NR,NR
Tennessee,Yes,0.56,0.78,0.32,0.17,0.08,0.05,0.02,0.02,NR,<.01,NR,<.01,0.05,0.04,0.04,0.07
Texas,,0.41,0.41,0.13,0.12,0.26,0.4,0.02,0.05,NR,<.01,NR,<.01,0.01,0.02,0.18,NR
Utah,,0.55,0.78,0.02,0.01,0.24,0.14,0.04,0.02,0.05,0.01,0.06,0.01,0.08,0.03,0.04,NR
