"state","pct_change_in_cases_14_days","7_day_rolling_avg_positivity_rate","pct_point_increase_in_positivity_rate_over_14_days","hotspot","dates"
"Alabama","58.7%","16.5%",0.0143917286970171,"Yes","June 29-July 13"
"Alaska","163.6%","1.8%",0.0210031309429088,"Yes","June 29-July 13"
"Arizona","12.1%","26.5%",0.0219534485448555,"Yes","June 29-July 13"
"Arkansas","12.3%","12.3%",0.0449561952185655,"Yes","June 29-July 13"
"California","60.3%","7.7%",0.0223693551970515,"Yes","June 29-July 13"
"Colorado","65.0%","6.5%",0.02319221582266,"Yes","June 29-July 13"
"Connecticut","-7.9%","0.8%",-0.00250906976136674,"No","June 29-July 13"
"Delaware","5.4%","4.8%",0.00685540480494038,"No","June 29-July 13"
"District of Columbia","67.1%","1.7%",-0.000194134220296908,"No","June 29-July 13"
"Florida","64.7%","18.7%",0.0373116697746775,"Yes","June 29-July 13"
"Georgia","74.3%","15.8%",0.0545523792999951,"Yes","June 29-July 13"
"Hawaii","153.6%","1.9%",0.018222213793009,"Yes","June 29-July 13"
"Idaho","123.8%","15.3%",0.0862068275388287,"Yes","June 29-July 13"
"Illinois","54.0%","3.0%",0.00302918788166805,"No","June 29-July 13"
"Indiana","35.4%","8.5%",0.0742146636608136,"Yes","June 29-July 13"
"Iowa","43.5%","9.4%",0.0423066809453986,"Yes","June 29-July 13"
"Kansas","68.8%","10.9%",0.0214529976004629,"Yes","June 29-July 13"
"Kentucky","65.8%","6.0%",0.0345138411339764,"Yes","June 29-July 13"
"Louisiana","97.3%","9.7%",0.021444437049003,"Yes","June 29-July 13"
"Maine","-45.6%","0.9%",-0.00493787470565151,"No","June 29-July 13"
"Maryland","36.7%","5.6%",0.00868874863232801,"No","June 29-July 13"
"Massachusetts","8.5%","2.5%",0.000292221349446016,"No","June 29-July 13"
"Michigan","73.5%","2.6%",0.00645882308203223,"No","June 29-July 13"
"Minnesota","59.6%","4.7%",0.0200654074002033,"Yes","June 29-July 13"
"Mississippi","28.0%","18.3%",0.0537630502171944,"Yes","June 29-July 13"
"Missouri","49.8%","5.8%",0.000477635644532452,"No","June 29-July 13"
"Montana","221.1%","3.8%",0.100563039678887,"Yes","June 29-July 13"
"Nebraska","25.4%","6.2%",0.00469452167926577,"No","June 29-July 13"
"Nevada","28.4%","13.4%",-0.0144268908508408,"Yes","June 29-July 13"
"New Hampshire","-23.8%","1.6%",-0.00469263567700231,"No","June 29-July 13"
"New Jersey","2.9%","1.3%",-0.000887948392645799,"No","June 29-July 13"
"New Mexico","38.5%","4.1%",0.00971456385620736,"No","June 29-July 13"
"New York","3.9%","1.1%",-0.000242605056269317,"No","June 29-July 13"
"North Carolina","31.9%","7.7%",0.000479168148911455,"No","June 29-July 13"
"North Dakota","162.4%","5.8%",0.0633213451447485,"Yes","June 29-July 13"
"Ohio","61.5%","6.2%",0.0182008061991012,"Yes","June 29-July 13"
"Oklahoma","79.6%","7.9%",0.0320120222532776,"Yes","June 29-July 13"
"Oregon","45.7%","6.2%",0.0160424531003325,"Yes","June 29-July 13"
"Pennsylvania","34.4%","5.5%",0.0132566274184406,"Yes","June 29-July 13"
"Rhode Island","62.6%","2.8%",-0.00639111558932322,"No","June 29-July 13"
"South Carolina","31.3%","17.5%",0.0495174581734396,"Yes","June 29-July 13"
"South Dakota","7.4%","5.9%",-0.00411275491912683,"No","June 29-July 13"
"Tennessee","96.2%","8.8%",0.000376685788764874,"No","June 29-July 13"
"Texas","64.8%","16.9%",0.0339150984033041,"Yes","June 29-July 13"
"Utah","21.4%","10.7%",-0.0012838274346143,"Yes","June 29-July 13"
"Vermont","11.1%","0.8%",0.0011183302998624,"No","June 29-July 13"
"Virginia","48.8%","5.6%",0.00991426096035024,"No","June 29-July 13"
"Washington","8.5%","6.5%",0.0167056173983692,"Yes","June 29-July 13"
"West Virginia","173.9%","4.2%",0.0621246232567351,"Yes","June 29-July 13"
"Wisconsin","63.2%","6.8%",0.0256967674399204,"Yes","June 29-July 13"
"Wyoming","3.6%","4.9%",0.000153574736114791,"No","June 29-July 13"
